NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.355	35.515	0.054	27.214	0.182	0.923	25000.0
2	0.355	35.519	0.054	27.211	0.181	0.923	30000.0
3	0.355	35.518	0.054	27.211	0.178	0.923	15000.0
4	0.355	35.516	0.054	27.211	0.178	0.923	15000.0
5	0.355	35.519	0.054	27.21	0.179	0.923	15000.0
6	0.355	35.52	0.054	27.211	0.18	0.923	25000.0
7	0.355	35.515	0.054	27.213	0.177	0.923	15000.0
8	0.355	35.516	0.054	27.211	0.178	0.923	15000.0
9	0.355	35.514	0.054	27.213	0.178	0.923	20000.0
10	0.355	35.519	0.054	27.211	0.18	0.923	30000.0
