Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.919	0.406	40.6%	0.055	44.092%	0.13645	0.81
OGG1_0_real_train1	0.9999999999999968	0.998	0.16	16.0%	0.025	6.189%	0.08199	0.998
RNF168_0_real_train1	0.9999999999999989	0.915	0.448	44.8%	0.06	41.314%	0.19199	0.831
UNG_0_real_train1	0.9999999999999982	0.949	0.436	43.6%	0.067	33.4%	0.24132	0.934
ATP2B4_0_real_train1	0.9999999999999971	0.97	0.417	41.7%	0.062	25.664%	0.20287	0.965
ATP2B4_1_real_train1	0.9999999999999967	0.973	0.406	40.6%	0.067	23.978%	0.18341	0.969
MLH1_0_real_train1	0.9999999999999964	0.99	0.154	15.4%	0.027	14.208%	0.0277	0.986
MSH2_0_real_train1	0.999999999999996	0.993	0.149	14.9%	0.023	12.209%	0.03129	0.99
MSH6_0_real_train1	0.9999999999999951	0.992	0.135	13.5%	0.023	12.525%	0.02391	0.989
MSH6_1_real_train1	0.9999999999999969	0.991	0.158	15.8%	0.025	13.449%	0.03844	0.988
PMS1_0_real_train1	0.9999999999999964	0.971	0.312	31.2%	0.055	23.915%	0.13037	0.964
PMS2_0_real_train1	0.9999999999999952	0.98	0.22	22.0%	0.033	20.483%	0.05334	0.966
EXO1_0_multinomial_train1	0.999999999999996	0.907	0.417	41.7%	0.058	45.71%	0.15028	0.782
EXO1_0_multinomial_train1.1	0.9999999999999966	0.91	0.422	42.2%	0.057	45.132%	0.1562	0.787
EXO1_0_multinomial_train1.2	0.9999999999999962	0.904	0.426	42.6%	0.059	46.498%	0.15726	0.768
EXO1_0_multinomial_train1.3	0.9999999999999962	0.897	0.476	47.6%	0.062	46.591%	0.18227	0.769
EXO1_0_multinomial_train1.4	0.9999999999999961	0.881	0.473	47.3%	0.065	51.105%	0.19397	0.715
EXO1_0_multinomial_train1.5	0.9999999999999962	0.903	0.446	44.6%	0.06	46.363%	0.16816	0.778
EXO1_0_multinomial_train1.6	0.9999999999999959	0.882	0.495	49.5%	0.065	51.136%	0.20364	0.722
EXO1_0_multinomial_train1.7	0.9999999999999962	0.873	0.498	49.8%	0.068	54.08%	0.20261	0.692
EXO1_0_multinomial_train1.8	0.9999999999999964	0.909	0.413	41.3%	0.057	44.479%	0.15668	0.78
EXO1_0_multinomial_train1.9	0.9999999999999958	0.877	0.516	51.6%	0.067	51.085%	0.20279	0.711
EXO1_0_multinomial_train1.10	0.9999999999999962	0.902	0.442	44.2%	0.06	45.899%	0.18009	0.773
EXO1_0_multinomial_train1.11	0.9999999999999961	0.898	0.455	45.5%	0.062	48.748%	0.16964	0.771
