gene_KO	SBS96A_MMR_MSH6	SBS96B_MMR_MLH1	SBS96C_MMR_PMS2	SBS96D_HR_EXO1	SBS96E_BER_UNG	SBS96F_MMR_PMS1	SBS96G_Control	SBS96H_BER_OGG1	SBS96I_HR_RNF168	SBS96J_BER_OGG1
ATP2B4	0.011792381925867861	0.011858348517381599	0.021584834175012415	0.046075623554078175	0.055693811871034796	0.04947950575139488	0.5983091492961844	0.10289934327043229	0.014779210185950273	0.08752779145266308
EXO1	0.004847459123473229	0.047557902230398914	0.04238731260256257	0.8744791286913238	0.003121379099695446	0.00928777426165628	0.0030966976198358075	0.0010232115239033298	0.0006384064945764073	0.013560728352574034
RNF168	3.459115742825927e-10	0.002662180176481564	0.006172735229056784	0.3060051882602127	0.021401826269218088	0.010568345434057201	0.015356971328728868	0.01978111241145366	0.6010386086934059	0.01701303185147361
UNG	0.0038176932938210895	0.026123490522230935	0.01913749946211119	0.05421660296722603	0.7609861773529641	0.0331718602190228	0.04332988464523985	0.017716753154823725	0.010072026710840058	0.03142801167171998
OGG1	2.03e-322	2.08e-322	4.3e-322	1.2264992640876946e-281	3.7e-322	1.2006338514817502e-88	0.1096884342924682	0.5165718188300559	5.6e-322	0.37373974687747596
MLH1	0.03283379663813053	0.7947662337389083	0.05541445029054573	0.026432812111239514	0.035860190904266065	0.013781797120532072	0.003412392279316749	0.002796312868021422	0.0280668902184824	0.006635123830557086
MSH2	0.5902923182405302	0.3239252063238746	0.00021095205875321194	0.0036378259807638754	0.03880693835733512	0.025422897753266272	0.0013422672801603466	0.007976743592242095	0.007756476709952102	0.0006283737031220838
MSH6	0.8243172450368237	0.051521708105762704	0.08722929379576767	0.0010580306870894864	0.004639399773873431	0.005792049831865387	0.011278404572340138	0.0035028655210149625	0.001199324086887466	0.009461678588574966
PMS1	0.017576560097970654	0.03220404036045487	0.013148202393626242	0.009282184155732865	0.07175489620038576	0.7102172799560953	0.026658051077951217	0.05517041491241166	0.006149773936498779	0.057838596908872476
PMS2	0.00024666980036652266	1.1541151089185717e-37	0.9307216324158166	0.028950881317333862	0.0014365004845480103	0.0019361453634530934	0.02174519714722638	0.003092692123910956	0.0006961615636250232	0.011174119783719476
