	0	1	2	3	4	5	6	7	8	9
0	[656.5294449707991, 11.887744118944868, 6446.417008518542, 0.12678571045398712, 0.0]	[656.5130382264595, 11.895701460483982, 6446.173367659754, 0.12107142806053162, 0.0]	[656.5615137106444, 11.889559379303677, 6446.719543313406, 0.10035714507102966, 0.0]	[656.58899109575, 11.891208629765698, 6446.977824659842, 0.10892856866121292, 0.0]	[656.5318803382935, 11.884788480966744, 6446.470918573266, 0.13857142627239227, 0.0]	[656.4834244392306, 11.881156730061928, 6446.022677091687, 0.11071428656578064, 0.0]	[656.5550258397061, 11.88977099317511, 6446.652548465309, 0.1103571429848671, 0.0]	[656.5120424567931, 11.885309300773402, 6446.267331560196, 0.11535714566707611, 0.0]	[656.5536449302144, 11.883076395625665, 6446.705685345886, 0.1339285671710968, 0.0]	[656.4682509012803, 11.888610402425895, 6445.796404988543, 0.12321428209543228, 0.0]
100	[8.852332793251556, 3.9040367742017055, 49.4829601904985, 0.9989285469055176, 0.0]	[6.649263427728666, 3.1978681770315593, 34.51395250697107, 1.0, 0.0]	[10.080484661715772, 3.452576742541947, 66.27907919173825, 0.9996428489685059, 0.0]	[9.291310029761448, 3.7076754212220377, 55.8363460853941, 0.9989285469055176, 0.0]	[9.798192980403574, 4.026957403158024, 57.7123557724555, 0.9989285469055176, 0.0]	[7.891011241969707, 3.4124468730139133, 44.785643689557936, 1.0, 0.0]	[10.583552073763899, 3.897975264912678, 66.8557680885122, 1.0, 0.0]	[75.16584948469726, 4.096143674217322, 710.6970581047995, 0.8928571343421936, 0.0]	[9.588441005654609, 5.595970244009015, 39.92470761645593, 1.0, 0.0]	[58.701800885228415, 4.318245541636155, 543.8355534359226, 0.9285714030265808, 0.0]
200	[5.9445840378942965, 3.0519873864005795, 28.925966514937162, 1.0, 0.0]	[4.312216195770089, 2.912242209027012, 13.999739867430767, 1.0, 0.0]	[6.414630810268241, 3.2159641283876566, 31.986666818805837, 0.9996428489685059, 0.0]	[6.880786444934994, 3.182266776630219, 36.98519668304775, 0.9989285469055176, 0.0]	[6.290538735127974, 3.479689505902916, 28.108492292250574, 0.9996428489685059, 0.0]	[5.226532398808319, 3.03368582852478, 21.928465702835393, 1.0, 0.0]	[5.963797071503004, 3.061168100524542, 29.026289709784614, 1.0, 0.0]	[74.21441616736338, 4.026208947086243, 701.8820722027714, 0.8928571343421936, 0.0]	[6.31993380650037, 4.422468069912221, 18.97465736588149, 1.0, 0.0]	[54.80732089949809, 4.15104853481831, 506.56272364679774, 0.9285714030265808, 0.0]
300	[5.083012761178102, 2.9210987732559177, 21.619139879221848, 1.0, 0.0]	[3.7832153052713497, 2.8765535328690035, 9.066617724023464, 1.0, 0.0]	[5.519351435951948, 3.1471012884185243, 23.722501475334234, 0.9996428489685059, 0.0]	[5.3017085038663065, 3.0223020220756194, 22.794064817906868, 1.0, 0.0]	[6.162244525799959, 3.103090040072298, 30.59154485727661, 0.9982143044471741, 0.0]	[4.346504870514247, 2.9230990224578735, 14.234058480563728, 1.0, 0.0]	[4.957119226097851, 2.963023434451259, 19.94095791646592, 1.0, 0.0]	[73.90867326335155, 4.005244817502342, 699.034284458492, 0.8928571343421936, 0.0]	[5.301371821566756, 4.025975221911128, 12.753965996556275, 1.0, 0.0]	[53.441509119951505, 4.089103151044051, 493.52405968907453, 0.9285714030265808, 0.0]
400	[4.8156999065936255, 2.9670354023777326, 18.486645042158933, 0.9996428489685059, 0.0]	[3.5674256979652905, 2.8577712148839254, 7.0965448308136505, 1.0, 0.0]	[5.0724751734928155, 3.109426632687332, 19.63048540805483, 0.9996428489685059, 0.0]	[4.775635726566107, 2.945670103459546, 18.29965623106561, 1.0, 0.0]	[5.089275780116795, 2.963563453867661, 21.25712326249134, 1.0, 0.0]	[3.958022772456615, 2.8901077955462524, 10.679149769103624, 1.0, 0.0]	[4.475414986986774, 2.9110975732130364, 15.643174137737375, 1.0, 0.0]	[73.76123952549963, 3.9926246259838174, 697.6861489951581, 0.8928571343421936, 0.0]	[4.925895224997222, 3.8199436869037937, 11.059515380934283, 1.0, 0.0]	[52.75668137993081, 4.056048801662616, 487.006325782682, 0.9285714030265808, 0.0]
500	[7.994514679472344, 3.7629587041989034, 42.31555975273441, 0.9996428489685059, 0.0]	[3.452470541693075, 2.8454373040773726, 6.070332376157024, 1.0, 0.0]	[4.796444403101196, 3.085623165457965, 17.108212376432306, 0.9996428489685059, 0.0]	[4.500401570979196, 2.90566704234592, 15.947345286332757, 1.0, 0.0]	[4.570805026796531, 2.9237318558861523, 16.470731709103784, 1.0, 0.0]	[3.7369552204811063, 2.8668587070997487, 8.700965133813574, 1.0, 0.0]	[4.202165146963648, 2.877330730940497, 13.248344160231513, 1.0, 0.0]	[73.67399939681744, 3.983346170919884, 696.9065322589755, 0.8928571343421936, 0.0]	[4.691556846618017, 3.691925311908144, 9.996315347098722, 1.0, 0.0]	[52.34741461959742, 4.033842020392448, 483.13572599204974, 0.9285714030265808, 0.0]
600	[4.178061354346391, 2.838758237736244, 13.393031166101467, 1.0, 0.0]	[3.381237092586481, 2.8365845071162035, 5.446525854702776, 1.0, 0.0]	[4.585879408463796, 3.0680506990021157, 15.178287094616806, 0.9996428489685059, 0.0]	[4.337132103465127, 2.8709235360835805, 14.662085673815458, 1.0, 0.0]	[4.268336249246531, 2.8807950934727686, 13.875411557737621, 1.0, 0.0]	[3.6103560724444916, 2.856326570945876, 7.540295014986158, 1.0, 0.0]	[4.031178834596058, 2.8549521915775267, 11.76226643018531, 1.0, 0.0]	[73.61695976859146, 3.9758844616622806, 696.4107530692918, 0.8928571343421936, 0.0]	[4.525022214672973, 3.598669090684969, 9.263531239880034, 1.0, 0.0]	[52.071043047513825, 4.019913126919817, 480.5112992059401, 0.9285714030265808, 0.0]
700	[4.043796241145891, 2.816033608507243, 12.277626326386478, 1.0, 0.0]	[3.332026194753411, 2.8291882349820834, 5.028379597713276, 1.0, 0.0]	[4.51222199987092, 3.053954081161483, 14.582679187094367, 0.9996428489685059, 0.0]	[4.224321539887919, 2.853952291608213, 13.703692482797063, 1.0, 0.0]	[4.263115327000391, 2.8742447638206277, 13.888705631797635, 1.0, 0.0]	[3.5165215228857343, 2.8426083584091475, 6.739131644765869, 1.0, 0.0]	[3.9135111227939676, 2.838481369363312, 10.75029753430655, 1.0, 0.0]	[73.57751403399784, 3.9695192954716636, 696.0799473852617, 0.8928571343421936, 0.0]	[4.621138775016189, 3.4841220602739598, 11.370167147422293, 0.9996428489685059, 0.0]	[51.870026069671525, 4.009268542018605, 478.6075752765292, 0.9285714030265808, 0.0]
800	[3.954716630598476, 2.8020812300730524, 11.526354005254234, 1.0, 0.0]	[3.299868614043596, 2.822246813756087, 4.776218002875088, 1.0, 0.0]	[4.380178784302791, 3.0431593636202625, 13.370194206825282, 0.9996428489685059, 0.0]	[4.126319292698618, 2.8433420473192057, 12.829772453794119, 1.0, 0.0]	[4.121703410846551, 2.8835170720125545, 12.38186338833996, 1.0, 0.0]	[3.457796659100298, 2.8351089053321785, 6.226877537681192, 1.0, 0.0]	[3.826798194329535, 2.8255624374581756, 10.012357568713593, 1.0, 0.0]	[73.54728483269712, 3.964541641463967, 695.8274319123315, 0.8928571343421936, 0.0]	[5.108453211017876, 3.538124862332244, 15.703283486856321, 0.9996428489685059, 0.0]	[51.722244920536525, 4.000763066412887, 477.21481854123635, 0.9285714030265808, 0.0]
900	[3.883055796205138, 2.792329238303099, 10.907265579020391, 1.0, 0.0]	[3.2766115752615663, 2.817181015753244, 4.59430559508322, 1.0, 0.0]	[4.380340747961473, 3.0326041486145914, 13.477365993468808, 0.9996428489685059, 0.0]	[4.0483908950514325, 2.835090576417548, 12.133003186338843, 1.0, 0.0]	[3.9598769523804886, 2.836115028604384, 11.237619237761042, 1.0, 0.0]	[3.4166739219911806, 2.828578689097469, 5.880952328937116, 1.0, 0.0]	[3.762269082957814, 2.815128801865272, 9.471402810925415, 1.0, 0.0]	[73.5236281877435, 3.960505827198368, 695.6312236054513, 0.8928571343421936, 0.0]	[4.564157778877903, 3.3885917776478105, 11.755660012300929, 0.9996428489685059, 0.0]	[51.61184897333266, 3.993037915194423, 476.1881105813824, 0.9285714030265808, 0.0]
1000	[3.822795468784528, 2.785281186898238, 10.375142818862894, 1.0, 0.0]	[3.259679598762671, 2.812782383426405, 4.4689721533626585, 1.0, 0.0]	[4.344267574210944, 3.0201462491720887, 13.241213250388554, 0.9996428489685059, 0.0]	[3.9866580301239676, 2.828506831926664, 11.581511981973037, 1.0, 0.0]	[3.896704504067725, 2.825426409288248, 10.712780947794773, 1.0, 0.0]	[3.3856433042999816, 2.823117798125531, 5.625255061744508, 1.0, 0.0]	[3.7102684640307837, 2.8061501962931543, 9.041182677376295, 1.0, 0.0]	[73.50436232371356, 3.9571550402538738, 695.4720728345968, 0.8928571343421936, 0.0]	[4.38747444742847, 3.3504946981832995, 10.36979749245171, 0.9996428489685059, 0.0]	[51.52603960749597, 3.9866950910380927, 475.39344516457874, 0.9285714030265808, 0.0]
2000	[3.564415109317032, 2.750354468047202, 8.140606412698302, 1.0, 0.0]	[3.2014270599461314, 2.789527719860169, 4.118993400859624, 1.0, 0.0]	[3.8183787735708976, 2.962549268291326, 8.558295052795714, 1.0, 0.0]	[3.7330707945471167, 2.790388740304908, 9.426820542422085, 1.0, 0.0]	[3.6385411122710547, 2.7781706066485095, 8.60370505622545, 1.0, 0.0]	[3.2560765582970563, 2.792258578599803, 4.638179796972531, 1.0, 0.0]	[3.501839559778281, 2.762668711416391, 7.391708483618902, 1.0, 0.0]	[73.42396236089722, 3.9398578761579888, 694.8410448473923, 0.8928571343421936, 0.0]	[4.474225899799162, 3.1919690745147045, 12.82256825284457, 0.9989285469055176, 0.0]	[51.15516961128678, 3.955253549611971, 471.9991606167481, 0.9285714030265808, 0.0]
3000	[3.493983916220604, 2.7399329972009725, 7.540509190196314, 1.0, 0.0]	[3.1944723909547883, 2.7807547530548713, 4.137176378999168, 1.0, 0.0]	[3.7361825557417117, 2.947593862375458, 7.885886933662535, 1.0, 0.0]	[3.6724464508705306, 2.774046088254071, 8.984003626164597, 1.0, 0.0]	[3.571374093291615, 2.761271677687733, 8.101024156038818, 1.0, 0.0]	[3.232545875407893, 2.781772163475603, 4.507737119322899, 1.0, 0.0]	[3.4491212646290794, 2.7450238654720196, 7.040973991570596, 1.0, 0.0]	[73.4031836345303, 3.9334839496611824, 694.6969968486911, 0.8928571343421936, 0.0]	[4.127199860527978, 2.9749277772341123, 11.522720832938658, 0.9992856979370117, 0.0]	[51.04905652802111, 3.9371030165922782, 471.11953511428834, 0.9285714030265808, 0.0]
