Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.988	0.147	14.7%	0.019	15.232%	0.02162	0.965
OGG1_0_real_train1	0.9999999999999968	0.999	0.146	14.6%	0.021	5.198%	0.06637	0.999
RNF168_0_real_train1	0.9999999999999989	0.963	0.316	31.6%	0.039	26.854%	0.11617	0.926
UNG_0_real_train1	0.9999999999999982	0.963	0.322	32.2%	0.054	26.919%	0.14572	0.95
ATP2B4_0_real_train1	0.9999999999999971	0.98	0.353	35.3%	0.049	20.283%	0.17308	0.976
ATP2B4_1_real_train1	0.9999999999999967	0.988	0.342	34.2%	0.048	17.178%	0.15681	0.986
MLH1_0_real_train1	0.9999999999999964	0.992	0.134	13.4%	0.024	12.629%	0.0217	0.989
MSH2_0_real_train1	0.999999999999996	0.996	0.11	11.0%	0.017	9.024%	0.01864	0.994
MSH6_0_real_train1	0.9999999999999951	0.993	0.134	13.4%	0.022	11.981%	0.02109	0.989
MSH6_1_real_train1	0.9999999999999969	0.99	0.161	16.1%	0.027	14.525%	0.03491	0.986
PMS1_0_real_train1	0.9999999999999964	0.984	0.259	25.9%	0.041	17.827%	0.09794	0.98
PMS2_0_real_train1	0.9999999999999952	0.992	0.142	14.2%	0.02	12.414%	0.02175	0.987
EXO1_0_multinomial_train1	0.999999999999996	0.967	0.239	23.9%	0.032	25.219%	0.05264	0.906
EXO1_0_multinomial_train1.1	0.9999999999999966	0.962	0.254	25.4%	0.035	27.713%	0.05888	0.889
EXO1_0_multinomial_train1.2	0.9999999999999962	0.963	0.263	26.3%	0.035	27.583%	0.06265	0.892
EXO1_0_multinomial_train1.3	0.9999999999999962	0.964	0.273	27.3%	0.036	27.053%	0.06912	0.91
EXO1_0_multinomial_train1.4	0.9999999999999961	0.965	0.238	23.8%	0.034	26.732%	0.05739	0.901
EXO1_0_multinomial_train1.5	0.9999999999999962	0.965	0.243	24.3%	0.034	26.272%	0.05931	0.905
EXO1_0_multinomial_train1.6	0.9999999999999959	0.958	0.273	27.3%	0.037	29.108%	0.06744	0.879
EXO1_0_multinomial_train1.7	0.9999999999999962	0.949	0.299	29.9%	0.04	31.812%	0.07411	0.851
EXO1_0_multinomial_train1.8	0.9999999999999964	0.967	0.246	24.6%	0.032	24.971%	0.05648	0.908
EXO1_0_multinomial_train1.9	0.9999999999999958	0.958	0.28	28.0%	0.038	28.973%	0.07535	0.89
EXO1_0_multinomial_train1.10	0.9999999999999962	0.957	0.291	29.1%	0.038	29.069%	0.07786	0.886
EXO1_0_multinomial_train1.11	0.9999999999999961	0.966	0.224	22.4%	0.033	25.947%	0.05376	0.906
EXO1_0_multinomial_train1.12	0.9999999999999959	0.959	0.279	27.9%	0.037	28.931%	0.07007	0.885
EXO1_0_multinomial_train1.13	0.9999999999999958	0.951	0.306	30.6%	0.039	30.774%	0.07253	0.859
EXO1_0_multinomial_train1.14	0.9999999999999958	0.95	0.282	28.2%	0.04	31.179%	0.07773	0.859
EXO1_0_multinomial_train1.15	0.9999999999999959	0.967	0.243	24.3%	0.032	25.399%	0.0657	0.905
EXO1_0_multinomial_train1.16	0.9999999999999967	0.968	0.244	24.4%	0.032	25.106%	0.06056	0.91
EXO1_0_multinomial_train1.17	0.999999999999996	0.963	0.263	26.3%	0.035	27.444%	0.0658	0.894
EXO1_0_multinomial_train1.18	0.999999999999996	0.961	0.275	27.5%	0.036	28.2%	0.07044	0.891
EXO1_0_multinomial_train1.19	0.9999999999999959	0.967	0.243	24.3%	0.033	25.482%	0.05921	0.911
EXO1_0_multinomial_train1.20	0.999999999999996	0.971	0.229	22.9%	0.031	24.45%	0.05274	0.916
EXO1_0_multinomial_train1.21	0.9999999999999963	0.959	0.269	26.9%	0.036	28.713%	0.06604	0.878
EXO1_0_multinomial_train1.22	0.999999999999996	0.972	0.242	24.2%	0.031	23.828%	0.05382	0.924
EXO1_0_multinomial_train1.23	0.9999999999999962	0.947	0.317	31.7%	0.042	32.782%	0.07641	0.854
EXO1_0_multinomial_train1.24	0.9999999999999958	0.968	0.245	24.5%	0.033	25.625%	0.06112	0.91
EXO1_0_multinomial_train1.25	0.9999999999999964	0.962	0.273	27.3%	0.035	27.585%	0.06444	0.891
EXO1_0_multinomial_train1.26	0.9999999999999962	0.971	0.226	22.6%	0.031	24.123%	0.05055	0.92
EXO1_0_multinomial_train1.27	0.9999999999999962	0.966	0.242	24.2%	0.032	25.726%	0.05441	0.9
EXO1_0_multinomial_train1.28	0.9999999999999962	0.953	0.285	28.5%	0.041	30.652%	0.07514	0.884
EXO1_0_multinomial_train1.29	0.999999999999996	0.965	0.25	25.0%	0.033	25.819%	0.06026	0.902
EXO1_0_multinomial_train1.30	0.9999999999999963	0.967	0.234	23.4%	0.032	25.444%	0.05722	0.903
EXO1_0_multinomial_train1.31	0.9999999999999959	0.967	0.24	24.0%	0.033	26.168%	0.06017	0.902
EXO1_0_multinomial_train1.32	0.999999999999996	0.958	0.274	27.4%	0.038	28.677%	0.06356	0.894
EXO1_0_multinomial_train1.33	0.9999999999999966	0.963	0.272	27.2%	0.036	26.994%	0.07162	0.908
EXO1_0_multinomial_train1.34	0.999999999999996	0.965	0.258	25.8%	0.034	26.275%	0.05939	0.904
EXO1_0_multinomial_train1.35	0.999999999999996	0.96	0.269	26.9%	0.036	28.444%	0.06806	0.886
EXO1_0_multinomial_train1.36	0.9999999999999966	0.964	0.262	26.2%	0.034	27.258%	0.05841	0.892
EXO1_0_multinomial_train1.37	0.9999999999999958	0.962	0.267	26.7%	0.036	27.785%	0.06727	0.896
EXO1_0_multinomial_train1.38	0.9999999999999964	0.965	0.248	24.8%	0.034	26.135%	0.06195	0.906
EXO1_0_multinomial_train1.39	0.9999999999999962	0.965	0.266	26.6%	0.034	26.432%	0.06168	0.902
EXO1_0_multinomial_train1.40	0.9999999999999963	0.97	0.238	23.8%	0.032	24.577%	0.05601	0.921
EXO1_0_multinomial_train1.41	0.999999999999996	0.949	0.313	31.3%	0.04	31.609%	0.08209	0.856
EXO1_0_multinomial_train1.42	0.9999999999999961	0.968	0.256	25.6%	0.033	25.099%	0.06299	0.917
EXO1_0_multinomial_train1.43	0.9999999999999962	0.956	0.274	27.4%	0.037	29.24%	0.06061	0.873
EXO1_0_multinomial_train1.44	0.999999999999996	0.962	0.266	26.6%	0.035	27.502%	0.06978	0.892
EXO1_0_multinomial_train1.45	0.9999999999999956	0.963	0.249	24.9%	0.034	26.515%	0.05785	0.898
EXO1_0_multinomial_train1.46	0.9999999999999958	0.965	0.252	25.2%	0.034	26.463%	0.0611	0.903
EXO1_0_multinomial_train1.47	0.9999999999999962	0.97	0.228	22.8%	0.031	23.973%	0.05016	0.919
EXO1_0_multinomial_train1.48	0.9999999999999962	0.966	0.249	24.9%	0.034	26.076%	0.0592	0.908
EXO1_0_multinomial_train1.49	0.9999999999999959	0.971	0.219	21.9%	0.031	24.032%	0.05235	0.922
EXO1_0_multinomial_train1.50	0.9999999999999961	0.957	0.272	27.2%	0.037	28.924%	0.06339	0.878
EXO1_0_multinomial_train1.51	0.9999999999999959	0.965	0.246	24.6%	0.034	26.682%	0.05754	0.9
EXO1_0_multinomial_train1.52	0.9999999999999966	0.97	0.235	23.5%	0.031	24.498%	0.05186	0.914
EXO1_0_multinomial_train1.53	0.999999999999996	0.969	0.232	23.2%	0.032	24.453%	0.05742	0.919
EXO1_0_multinomial_train1.54	0.9999999999999956	0.968	0.255	25.5%	0.033	25.324%	0.06129	0.914
EXO1_0_multinomial_train1.55	0.9999999999999958	0.966	0.264	26.4%	0.033	25.779%	0.0594	0.903
EXO1_0_multinomial_train1.56	0.9999999999999963	0.966	0.24	24.0%	0.033	26.305%	0.05591	0.898
