Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
EXO1_0_real_train1	1.6585223364352315e-110	1.1404126706590415e-89	0.003531922156248345	1.383e-321	0.08794846140335942	1.83e-321	2.08e-321	1.125360070143e-312	0.9085196164403923	1.517e-321	6.327108359762753e-235
OGG1_0_real_train1	0.009857946598789183	5.063042342215716e-69	0.008755957265099229	0.841683504725441	2.728933093164479e-51	3.1685951591727887e-75	2.4104493961585967e-13	0.032680600301335044	7.010633542879493e-61	0.06561493481557562	0.04140705629351893
RNF168_0_real_train1	4.521346658216288e-52	7.300498698805311e-10	0.006889752257135386	0.01957905230192209	0.858878727614722	0.05052624508652436	0.06412622200964643	1.2465002326471385e-185	1.9993445517715645e-35	3.2914306226813464e-205	4.671545209149964e-116
UNG_0_real_train1	0.008836093964365643	2.1657387008974453e-163	0.07700690488102573	7.015096943273234e-138	0.012109385998759678	0.7895595132077515	0.05319531136465065	1.5672762617691489e-167	7.875478649184179e-95	0.056671427496821865	0.002621363086624903
ATP2B4_0_real_train1	2.6e-321	2.297e-321	0.03183154424226394	1.3903654105993302e-12	0.0046695554147243926	0.005940800834412082	0.6294255810200575	8.445961554386911e-85	0.12872878159935625	0.12868043284153802	0.0707233040462574
ATP2B4_1_real_train1	5.0836548151211383e-256	1.774e-321	0.02949880050616602	1.752321067076514e-34	7.1738144397699074e-214	9.54e-322	0.5715951685903402	0.0924753980847253	2.6068339691884295e-271	0.2522882407923558	0.054142392026412696
MLH1_0_real_train1	2.691611673039431e-13	0.9644276539363085	4.039739655154845e-19	8.449726432640264e-25	1.3067661813451302e-56	1.4971344629800184e-134	0.0027576441459308564	0.006338911004043146	2.4969029358909935e-60	0.026475789916184943	9.972634040969224e-10
MSH2_0_real_train1	0.6291657719696124	0.16968645804825264	9.60835378267325e-144	0.011808882387087384	0.016458631929845577	0.01771364217421947	3.605874254058057e-26	0.011689867332535268	4.726853843616195e-25	2.8570772694180575e-151	0.1434767461584471
MSH6_0_real_train1	0.7716035252773628	0.10911291570476817	0.06761827730254366	0.01360144448321468	1.2023763954733047e-59	0.00552878959210011	2.045323301574326e-37	0.020018193753940004	0.012516853886070683	2.481489576255584e-69	6.603644716526366e-52
MSH6_1_real_train1	0.8869034839747668	4.63423777760449e-17	0.07696101028831272	0.01021765121272583	3.2435001454229227e-18	1.8274894887772198e-140	9.356164200896445e-97	2.08e-321	6.136770972795227e-32	0.02591785452419471	1.8862875784336615e-121
PMS1_0_real_train1	2.8085149332542316e-261	1.0977495375689968e-237	0.03472583597279612	8.219900118121347e-92	5.369230932961818e-149	0.026280702621345412	1.4018947633041728e-206	0.8053536990466664	4.84169027643145e-55	0.13363976235919206	1.59e-321
PMS2_0_real_train1	0.0053355993323542135	2.0232138169234333e-41	0.9362245200927244	2.0832701653143818e-52	2.1116921743118447e-183	4.136739477244139e-18	0.03444874539610045	0.010785137132474537	5.4607519853380996e-86	0.013205998046346578	4.2081462369442576e-58
EXO1_0_multinomial_train1	7.499097683952679e-257	3.2853755912183444e-245	0.016899615727021828	5.731242873771438e-47	0.14787887270877667	1.863e-321	2.34e-321	1.576e-321	0.8334302217292735	0.0017912898349280303	1.25e-321
EXO1_0_multinomial_train1.1	8.371159565921848e-27	3.049333928073405e-27	0.020914797334055057	6.1e-322	5.925586443237898e-18	2.0520182093462922e-300	1.3062142740103014e-194	1.0980828066244523e-191	0.9662046779210305	5.14e-322	0.01288052474491454
EXO1_0_multinomial_train1.2	4.288331848021557e-280	8.889211036917714e-170	0.028969269071838954	8.1e-322	0.15540866986810145	1.61e-321	1.42e-321	1.4395784172243224e-306	0.8156220610600596	1.304e-321	1.9260814538938612e-238
EXO1_0_multinomial_train1.3	5.192210529473635e-152	5.004000985370991e-229	5.289214285494209e-274	1.096150825954239e-253	3.163853226316427e-11	4.1133982150713415e-290	8.705042069283482e-129	1.5424707427935e-311	0.9999999999683614	9.24e-322	7.996688963806737e-48
EXO1_0_multinomial_train1.4	1.49e-321	1.877e-321	4.04e-321	6.03e-322	0.08750399186280212	1.863e-321	9.4e-322	1.32e-321	0.9124960081371979	7.76e-322	1.265e-321
EXO1_0_multinomial_train1.5	1.7514298814117967e-298	1.987223563691443e-301	3.45e-321	5.8e-322	0.061292149271665375	3.504110054818543e-279	2.252165389350921e-255	6.495338160691125e-102	0.9199304238242514	7.36e-322	0.01877742690408324
EXO1_0_multinomial_train1.6	0.0030964358679318165	4.604032025264432e-42	0.02294621218713988	0.0063938435629051086	0.09141843564330938	1.087e-321	2.14e-321	1.34e-321	0.8761450727387139	1.394792195765017e-103	1.917e-321
