Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.984	0.172	17.2%	0.023	18.438%	0.02663	0.955
OGG1_0_real_train1	0.9999999999999968	0.999	0.146	14.6%	0.021	5.198%	0.06826	0.999
RNF168_0_real_train1	0.9999999999999989	0.968	0.296	29.6%	0.037	25.477%	0.10132	0.935
UNG_0_real_train1	0.9999999999999982	0.961	0.338	33.8%	0.056	27.916%	0.13542	0.947
ATP2B4_0_real_train1	0.9999999999999971	0.979	0.374	37.4%	0.051	21.111%	0.18096	0.975
ATP2B4_1_real_train1	0.9999999999999967	0.977	0.412	41.2%	0.067	23.978%	0.18533	0.975
MLH1_0_real_train1	0.9999999999999964	0.995	0.109	10.9%	0.019	9.998%	0.01922	0.993
MSH2_0_real_train1	0.999999999999996	0.995	0.123	12.3%	0.02	10.617%	0.02342	0.992
MSH6_0_real_train1	0.9999999999999951	0.995	0.113	11.3%	0.019	10.347%	0.01639	0.993
MSH6_1_real_train1	0.9999999999999969	0.995	0.128	12.8%	0.019	10.221%	0.02724	0.992
PMS1_0_real_train1	0.9999999999999964	0.986	0.249	24.9%	0.039	16.958%	0.09433	0.982
PMS2_0_real_train1	0.9999999999999952	0.993	0.136	13.6%	0.02	12.414%	0.02137	0.988
EXO1_0_multinomial_train1	0.999999999999996	0.962	0.247	24.7%	0.035	27.583%	0.05528	0.895
EXO1_0_multinomial_train1.1	0.9999999999999966	0.963	0.254	25.4%	0.034	26.921%	0.05793	0.896
EXO1_0_multinomial_train1.2	0.9999999999999962	0.959	0.276	27.6%	0.036	28.371%	0.06729	0.886
EXO1_0_multinomial_train1.3	0.9999999999999962	0.962	0.279	27.9%	0.036	27.053%	0.0693	0.905
EXO1_0_multinomial_train1.4	0.9999999999999961	0.956	0.263	26.3%	0.038	29.877%	0.06794	0.878
EXO1_0_multinomial_train1.5	0.9999999999999962	0.964	0.254	25.4%	0.035	27.045%	0.06295	0.903
EXO1_0_multinomial_train1.6	0.9999999999999959	0.949	0.297	29.7%	0.041	32.255%	0.0773	0.857
EXO1_0_multinomial_train1.7	0.9999999999999962	0.946	0.312	31.2%	0.042	33.402%	0.07885	0.847
EXO1_0_multinomial_train1.8	0.9999999999999964	0.963	0.254	25.4%	0.035	27.312%	0.05965	0.898
EXO1_0_multinomial_train1.9	0.9999999999999958	0.952	0.306	30.6%	0.04	30.498%	0.083	0.874
EXO1_0_multinomial_train1.10	0.9999999999999962	0.957	0.296	29.6%	0.038	29.069%	0.07832	0.886
EXO1_0_multinomial_train1.11	0.9999999999999961	0.963	0.243	24.3%	0.035	27.519%	0.05824	0.899
EXO1_0_multinomial_train1.12	0.9999999999999959	0.952	0.295	29.5%	0.04	31.277%	0.07806	0.869
EXO1_0_multinomial_train1.13	0.9999999999999958	0.953	0.301	30.1%	0.039	30.774%	0.07251	0.866
EXO1_0_multinomial_train1.14	0.9999999999999958	0.948	0.293	29.3%	0.041	31.958%	0.08093	0.856
EXO1_0_multinomial_train1.15	0.9999999999999959	0.965	0.26	26.0%	0.033	26.192%	0.06789	0.901
EXO1_0_multinomial_train1.16	0.9999999999999967	0.962	0.261	26.1%	0.035	27.46%	0.06697	0.893
EXO1_0_multinomial_train1.17	0.999999999999996	0.962	0.266	26.6%	0.035	27.444%	0.06597	0.892
EXO1_0_multinomial_train1.18	0.999999999999996	0.954	0.288	28.8%	0.039	30.55%	0.07692	0.876
EXO1_0_multinomial_train1.19	0.9999999999999959	0.96	0.264	26.4%	0.036	27.799%	0.06701	0.893
EXO1_0_multinomial_train1.20	0.999999999999996	0.964	0.252	25.2%	0.034	26.816%	0.06078	0.899
EXO1_0_multinomial_train1.21	0.9999999999999963	0.95	0.297	29.7%	0.04	31.903%	0.07395	0.857
EXO1_0_multinomial_train1.22	0.999999999999996	0.97	0.246	24.6%	0.032	24.596%	0.05711	0.92
EXO1_0_multinomial_train1.23	0.9999999999999962	0.95	0.311	31.1%	0.04	31.221%	0.07382	0.863
EXO1_0_multinomial_train1.24	0.9999999999999958	0.965	0.259	25.9%	0.034	26.402%	0.0633	0.905
EXO1_0_multinomial_train1.25	0.9999999999999964	0.96	0.283	28.3%	0.036	28.373%	0.06993	0.887
EXO1_0_multinomial_train1.26	0.9999999999999962	0.97	0.22	22.0%	0.031	24.123%	0.05094	0.918
EXO1_0_multinomial_train1.27	0.9999999999999962	0.965	0.24	24.0%	0.033	26.53%	0.05447	0.9
EXO1_0_multinomial_train1.28	0.9999999999999962	0.954	0.281	28.1%	0.04	29.904%	0.07298	0.886
EXO1_0_multinomial_train1.29	0.999999999999996	0.961	0.269	26.9%	0.036	28.166%	0.06704	0.892
EXO1_0_multinomial_train1.30	0.9999999999999963	0.958	0.252	25.2%	0.037	29.42%	0.06388	0.882
EXO1_0_multinomial_train1.31	0.9999999999999959	0.961	0.259	25.9%	0.035	27.754%	0.06674	0.89
EXO1_0_multinomial_train1.32	0.999999999999996	0.952	0.289	28.9%	0.041	30.941%	0.06867	0.877
EXO1_0_multinomial_train1.33	0.9999999999999966	0.956	0.293	29.3%	0.039	29.244%	0.07837	0.891
EXO1_0_multinomial_train1.34	0.999999999999996	0.963	0.252	25.2%	0.035	27.048%	0.06134	0.899
EXO1_0_multinomial_train1.35	0.999999999999996	0.96	0.271	27.1%	0.036	28.444%	0.06976	0.888
EXO1_0_multinomial_train1.36	0.9999999999999966	0.957	0.29	29.0%	0.037	29.663%	0.06764	0.879
EXO1_0_multinomial_train1.37	0.9999999999999958	0.958	0.282	28.2%	0.037	28.556%	0.07242	0.888
EXO1_0_multinomial_train1.38	0.9999999999999964	0.958	0.281	28.1%	0.038	29.21%	0.07104	0.887
EXO1_0_multinomial_train1.39	0.9999999999999962	0.957	0.288	28.8%	0.038	29.542%	0.06777	0.883
EXO1_0_multinomial_train1.40	0.9999999999999963	0.965	0.258	25.8%	0.034	26.113%	0.06323	0.907
EXO1_0_multinomial_train1.41	0.999999999999996	0.951	0.305	30.5%	0.04	31.609%	0.08154	0.863
EXO1_0_multinomial_train1.42	0.9999999999999961	0.963	0.266	26.6%	0.036	27.381%	0.07102	0.904
EXO1_0_multinomial_train1.43	0.9999999999999962	0.945	0.3	30.0%	0.042	33.191%	0.07091	0.845
EXO1_0_multinomial_train1.44	0.999999999999996	0.961	0.268	26.8%	0.035	27.502%	0.07226	0.892
EXO1_0_multinomial_train1.45	0.9999999999999956	0.957	0.266	26.6%	0.038	29.635%	0.0656	0.882
EXO1_0_multinomial_train1.46	0.9999999999999958	0.957	0.283	28.3%	0.038	29.576%	0.07052	0.882
EXO1_0_multinomial_train1.47	0.9999999999999962	0.962	0.253	25.3%	0.036	27.84%	0.06057	0.897
EXO1_0_multinomial_train1.48	0.9999999999999962	0.962	0.258	25.8%	0.035	26.843%	0.06127	0.9
EXO1_0_multinomial_train1.49	0.9999999999999959	0.965	0.246	24.6%	0.034	26.358%	0.06286	0.907
EXO1_0_multinomial_train1.50	0.9999999999999961	0.954	0.277	27.7%	0.039	30.487%	0.06551	0.874
EXO1_0_multinomial_train1.51	0.9999999999999959	0.961	0.254	25.4%	0.036	28.252%	0.0604	0.891
EXO1_0_multinomial_train1.52	0.9999999999999966	0.964	0.26	26.0%	0.034	26.869%	0.05936	0.897
EXO1_0_multinomial_train1.53	0.999999999999996	0.962	0.253	25.3%	0.036	27.51%	0.06602	0.902
EXO1_0_multinomial_train1.54	0.9999999999999956	0.962	0.249	24.9%	0.036	27.626%	0.06518	0.9
EXO1_0_multinomial_train1.55	0.9999999999999958	0.961	0.273	27.3%	0.036	28.122%	0.06482	0.891
EXO1_0_multinomial_train1.56	0.9999999999999963	0.959	0.256	25.6%	0.036	28.696%	0.06368	0.884
EXO1_0_multinomial_train1.57	0.9999999999999961	0.961	0.275	27.5%	0.036	28.587%	0.0633	0.89
EXO1_0_multinomial_train1.58	0.9999999999999953	0.961	0.28	28.0%	0.036	27.633%	0.06982	0.896
EXO1_0_multinomial_train1.59	0.9999999999999962	0.966	0.261	26.1%	0.034	26.49%	0.06551	0.906
EXO1_0_multinomial_train1.60	0.9999999999999962	0.957	0.284	28.4%	0.038	29.374%	0.07086	0.885
EXO1_0_multinomial_train1.61	0.9999999999999962	0.954	0.285	28.5%	0.039	30.469%	0.07711	0.873
EXO1_0_multinomial_train1.62	0.999999999999996	0.959	0.264	26.4%	0.036	28.625%	0.06493	0.884
EXO1_0_multinomial_train1.63	0.999999999999996	0.965	0.25	25.0%	0.034	26.756%	0.06243	0.904
EXO1_0_multinomial_train1.64	0.9999999999999962	0.971	0.231	23.1%	0.031	24.209%	0.05419	0.919
EXO1_0_multinomial_train1.65	0.9999999999999958	0.958	0.279	27.9%	0.037	28.855%	0.06892	0.885
EXO1_0_multinomial_train1.66	0.999999999999996	0.96	0.268	26.8%	0.036	27.878%	0.06639	0.893
EXO1_0_multinomial_train1.67	0.9999999999999959	0.959	0.291	29.1%	0.036	28.641%	0.06663	0.884
EXO1_0_multinomial_train1.68	0.9999999999999958	0.952	0.291	29.1%	0.041	30.852%	0.07564	0.88
EXO1_0_multinomial_train1.69	0.999999999999996	0.948	0.292	29.2%	0.041	32.576%	0.06885	0.854
EXO1_0_multinomial_train1.70	0.999999999999996	0.933	0.327	32.7%	0.047	36.138%	0.08988	0.821
EXO1_0_multinomial_train1.71	0.999999999999996	0.958	0.286	28.6%	0.038	28.988%	0.07933	0.891
EXO1_0_multinomial_train1.72	0.999999999999996	0.964	0.262	26.2%	0.034	26.511%	0.05836	0.901
EXO1_0_multinomial_train1.73	0.9999999999999962	0.962	0.269	26.9%	0.035	27.443%	0.06699	0.893
EXO1_0_multinomial_train1.74	0.999999999999996	0.957	0.291	29.1%	0.038	29.599%	0.07125	0.881
EXO1_0_multinomial_train1.75	0.9999999999999966	0.959	0.267	26.7%	0.037	28.942%	0.07306	0.888
EXO1_0_multinomial_train1.76	0.9999999999999959	0.966	0.255	25.5%	0.033	26.161%	0.05699	0.906
EXO1_0_multinomial_train1.77	0.9999999999999956	0.965	0.251	25.1%	0.035	26.47%	0.06032	0.911
EXO1_0_multinomial_train1.78	0.9999999999999961	0.961	0.281	28.1%	0.036	27.57%	0.06921	0.897
EXO1_0_multinomial_train1.79	0.9999999999999967	0.959	0.284	28.4%	0.037	28.472%	0.07538	0.89
EXO1_0_multinomial_train1.80	0.9999999999999963	0.963	0.265	26.5%	0.035	27.323%	0.06609	0.898
EXO1_0_multinomial_train1.81	0.999999999999996	0.967	0.252	25.2%	0.033	26.232%	0.05573	0.908
EXO1_0_multinomial_train1.82	0.9999999999999962	0.961	0.265	26.5%	0.036	27.927%	0.06266	0.894
EXO1_0_multinomial_train1.83	0.9999999999999962	0.963	0.274	27.4%	0.035	27.215%	0.06673	0.9
EXO1_0_multinomial_train1.84	0.9999999999999964	0.951	0.313	31.3%	0.041	31.366%	0.0853	0.871
EXO1_0_multinomial_train1.85	0.9999999999999962	0.955	0.271	27.1%	0.038	30.321%	0.06507	0.873
EXO1_0_multinomial_train1.86	0.999999999999996	0.961	0.273	27.3%	0.036	27.649%	0.06591	0.897
EXO1_0_multinomial_train1.87	0.9999999999999959	0.962	0.274	27.4%	0.035	27.276%	0.06139	0.896
EXO1_0_multinomial_train1.88	0.9999999999999962	0.95	0.3	30.0%	0.041	32.394%	0.06961	0.861
EXO1_0_multinomial_train1.89	0.9999999999999963	0.958	0.281	28.1%	0.037	28.946%	0.08096	0.884
EXO1_0_multinomial_train1.90	0.9999999999999967	0.958	0.28	28.0%	0.037	28.672%	0.06552	0.885
EXO1_0_multinomial_train1.91	0.9999999999999961	0.965	0.251	25.1%	0.034	27.362%	0.05842	0.897
EXO1_0_multinomial_train1.92	0.9999999999999967	0.958	0.294	29.4%	0.038	29.174%	0.06993	0.888
EXO1_0_multinomial_train1.93	0.9999999999999964	0.945	0.3	30.0%	0.042	33.89%	0.07664	0.843
EXO1_0_multinomial_train1.94	0.9999999999999962	0.942	0.298	29.8%	0.044	33.807%	0.09141	0.846
EXO1_0_multinomial_train1.95	0.9999999999999961	0.959	0.27	27.0%	0.037	29.016%	0.06631	0.885
EXO1_0_multinomial_train1.96	0.999999999999996	0.941	0.342	34.2%	0.046	33.866%	0.0975	0.857
EXO1_0_multinomial_train1.97	0.9999999999999962	0.963	0.254	25.4%	0.035	27.605%	0.05979	0.896
EXO1_0_multinomial_train1.98	0.9999999999999961	0.953	0.286	28.6%	0.039	30.586%	0.07674	0.872
OGG1_0_multinomial_train1	0.9999999999999978	0.996	0.243	24.3%	0.043	10.667%	0.13216	0.996
OGG1_0_multinomial_train1.1	0.9999999999999981	0.996	0.245	24.5%	0.04	9.797%	0.1397	0.996
OGG1_0_multinomial_train1.2	0.9999999999999972	0.996	0.24	24.0%	0.039	9.868%	0.11418	0.995
OGG1_0_multinomial_train1.3	0.9999999999999979	0.997	0.213	21.3%	0.037	8.699%	0.13974	0.997
OGG1_0_multinomial_train1.4	0.9999999999999976	0.994	0.28	28.0%	0.054	12.302%	0.13592	0.994
OGG1_0_multinomial_train1.5	0.9999999999999978	0.994	0.3	30.0%	0.06	14.307%	0.14384	0.994
OGG1_0_multinomial_train1.6	0.9999999999999979	0.998	0.197	19.7%	0.032	8.123%	0.10087	0.998
OGG1_0_multinomial_train1.7	0.9999999999999977	0.993	0.265	26.5%	0.048	12.131%	0.12741	0.992
OGG1_0_multinomial_train1.8	0.9999999999999973	0.994	0.311	31.1%	0.065	14.695%	0.1801	0.994
OGG1_0_multinomial_train1.9	0.9999999999999977	0.992	0.251	25.1%	0.054	12.677%	0.10792	0.991
OGG1_0_multinomial_train1.10	0.999999999999998	0.994	0.315	31.5%	0.059	13.767%	0.15676	0.993
OGG1_0_multinomial_train1.11	0.9999999999999977	0.996	0.254	25.4%	0.048	11.103%	0.12367	0.995
OGG1_0_multinomial_train1.12	0.9999999999999976	0.996	0.214	21.4%	0.034	8.841%	0.11769	0.996
OGG1_0_multinomial_train1.13	0.9999999999999977	0.995	0.236	23.6%	0.04	9.988%	0.14475	0.995
OGG1_0_multinomial_train1.14	0.9999999999999979	0.997	0.209	20.9%	0.034	8.519%	0.12136	0.996
OGG1_0_multinomial_train1.15	0.9999999999999972	0.996	0.237	23.7%	0.04	9.752%	0.13038	0.996
OGG1_0_multinomial_train1.16	0.9999999999999977	0.994	0.235	23.5%	0.047	11.422%	0.10181	0.993
OGG1_0_multinomial_train1.17	0.9999999999999976	0.995	0.22	22.0%	0.042	10.435%	0.11091	0.994
OGG1_0_multinomial_train1.18	0.9999999999999976	0.995	0.229	22.9%	0.042	10.04%	0.1249	0.995
OGG1_0_multinomial_train1.19	0.9999999999999978	0.991	0.299	29.9%	0.059	14.257%	0.1473	0.991
OGG1_0_multinomial_train1.20	0.9999999999999978	0.995	0.252	25.2%	0.045	10.777%	0.1189	0.994
OGG1_0_multinomial_train1.21	0.9999999999999976	0.996	0.213	21.3%	0.035	8.836%	0.10451	0.996
OGG1_0_multinomial_train1.22	0.9999999999999979	0.997	0.232	23.2%	0.039	9.389%	0.11614	0.997
OGG1_0_multinomial_train1.23	0.9999999999999977	0.996	0.238	23.8%	0.048	11.524%	0.11069	0.997
OGG1_0_multinomial_train1.24	0.9999999999999978	0.995	0.213	21.3%	0.037	9.895%	0.11584	0.995
OGG1_0_multinomial_train1.25	0.9999999999999974	0.994	0.317	31.7%	0.07	16.09%	0.15874	0.994
OGG1_0_multinomial_train1.26	0.9999999999999978	0.995	0.248	24.8%	0.044	10.766%	0.13179	0.994
OGG1_0_multinomial_train1.27	0.9999999999999973	0.996	0.255	25.5%	0.042	10.098%	0.14476	0.996
OGG1_0_multinomial_train1.28	0.9999999999999977	0.997	0.206	20.6%	0.032	7.825%	0.11588	0.997
OGG1_0_multinomial_train1.29	0.9999999999999976	0.996	0.238	23.8%	0.039	9.559%	0.11808	0.996
OGG1_0_multinomial_train1.30	0.9999999999999969	0.996	0.202	20.2%	0.035	8.658%	0.11354	0.996
OGG1_0_multinomial_train1.31	0.9999999999999977	0.997	0.229	22.9%	0.039	9.734%	0.11359	0.997
OGG1_0_multinomial_train1.32	0.9999999999999976	0.995	0.26	26.0%	0.041	10.303%	0.14648	0.995
OGG1_0_multinomial_train1.33	0.9999999999999976	0.996	0.249	24.9%	0.047	10.811%	0.12403	0.996
OGG1_0_multinomial_train1.34	0.9999999999999972	0.997	0.217	21.7%	0.036	8.974%	0.11474	0.997
OGG1_0_multinomial_train1.35	0.999999999999998	0.995	0.23	23.0%	0.042	10.02%	0.11063	0.995
OGG1_0_multinomial_train1.36	0.9999999999999976	0.995	0.272	27.2%	0.051	12.169%	0.12758	0.995
OGG1_0_multinomial_train1.37	0.9999999999999972	0.993	0.303	30.3%	0.052	12.79%	0.15694	0.993
OGG1_0_multinomial_train1.38	0.9999999999999976	0.99	0.247	24.7%	0.052	13.88%	0.12314	0.99
OGG1_0_multinomial_train1.39	0.9999999999999977	0.996	0.212	21.2%	0.038	9.246%	0.11756	0.996
OGG1_0_multinomial_train1.40	0.9999999999999973	0.992	0.29	29.0%	0.051	12.57%	0.15571	0.992
OGG1_0_multinomial_train1.41	0.9999999999999976	0.995	0.277	27.7%	0.052	11.883%	0.15184	0.995
OGG1_0_multinomial_train1.42	0.9999999999999977	0.996	0.234	23.4%	0.035	9.401%	0.13712	0.996
OGG1_0_multinomial_train1.43	0.9999999999999974	0.997	0.214	21.4%	0.033	8.203%	0.10307	0.997
OGG1_0_multinomial_train1.44	0.999999999999998	0.998	0.198	19.8%	0.033	7.735%	0.09984	0.998
OGG1_0_multinomial_train1.45	0.9999999999999977	0.996	0.235	23.5%	0.041	10.053%	0.11039	0.996
OGG1_0_multinomial_train1.46	0.9999999999999974	0.993	0.248	24.8%	0.048	11.831%	0.13647	0.993
OGG1_0_multinomial_train1.47	0.9999999999999979	0.997	0.211	21.1%	0.032	8.05%	0.12126	0.997
OGG1_0_multinomial_train1.48	0.9999999999999977	0.995	0.217	21.7%	0.041	10.238%	0.11346	0.995
OGG1_0_multinomial_train1.49	0.999999999999998	0.992	0.335	33.5%	0.064	15.949%	0.1577	0.992
OGG1_0_multinomial_train1.50	0.9999999999999977	0.993	0.228	22.8%	0.045	11.507%	0.10974	0.993
OGG1_0_multinomial_train1.51	0.9999999999999976	0.997	0.225	22.5%	0.038	9.482%	0.12754	0.997
OGG1_0_multinomial_train1.52	0.9999999999999978	0.994	0.251	25.1%	0.046	10.977%	0.13194	0.994
OGG1_0_multinomial_train1.53	0.9999999999999979	0.996	0.214	21.4%	0.037	8.944%	0.11999	0.996
OGG1_0_multinomial_train1.54	0.9999999999999974	0.994	0.275	27.5%	0.05	11.717%	0.14005	0.994
OGG1_0_multinomial_train1.55	0.9999999999999978	0.991	0.27	27.0%	0.049	13.241%	0.14776	0.991
OGG1_0_multinomial_train1.56	0.9999999999999977	0.997	0.217	21.7%	0.034	9.015%	0.11844	0.997
OGG1_0_multinomial_train1.57	0.9999999999999974	0.992	0.276	27.6%	0.051	12.93%	0.14829	0.991
OGG1_0_multinomial_train1.58	0.9999999999999982	0.992	0.322	32.2%	0.051	13.377%	0.19376	0.992
