Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
EXO1_0_real_train1	0.0003881208209585132	8.42016453739393e-19	5.65151795749768e-238	1.8612869584279767e-217	9.414801669546376e-27	0.0013491694136253168	0.9921387451839562	0.001967939671052121	2.689394182752406e-27	6.221459698083567e-288	0.004156024910407819
OGG1_0_real_train1	6.922583829624967e-64	0.002349215782657383	0.010348941234216074	0.8404941126093906	8.584734781851762e-47	1.5047541617648944e-49	5.033377656871813e-71	0.031069908937338235	3.7656743161314814e-11	0.07138134767128176	0.04435647372745936
RNF168_0_real_train1	1.0814968988323606e-165	4.462519713958554e-205	5.875132031748255e-38	0.015850061651606604	0.018674625357525666	0.8642547297811602	0.009273163641824976	1.2279826262088399e-222	0.09194741956788266	1.0755322692847147e-141	3.00939507e-315
UNG_0_real_train1	1.94e-321	1.007354229335698e-210	0.08253283787026731	0.03613936568392694	0.8450117596822979	8.56119855463358e-114	1.211332835473776e-175	1.1300844473674427e-190	0.03631603676350798	8.061457653911379e-95	6.8131462512e-313
ATP2B4_0_real_train1	1.403e-321	1.78e-321	0.06321382852171006	0.020350265129067943	0.11289052652749504	0.03774542541035058	1.3665421555710075e-22	9.417774972091935e-86	0.572199600745018	0.14565582561156656	0.04794452805479186
ATP2B4_1_real_train1	9.44e-322	1.077e-321	0.014287581219184017	0.02497176706263241	1.04e-321	5.783009906477487e-229	4.749677556128789e-288	0.08711708295598268	0.503952471559465	0.27541118301749723	0.09425991418523862
MLH1_0_real_train1	0.9519012900174167	1.097248447000156e-20	0.001677763189817401	0.003607417198307778	2.0427092995571504e-107	1.3042354804516129e-40	1.0808598495444306e-47	9.908355902766446e-10	1.3974022995818963e-17	0.025790878600861763	0.01702265000276062
MSH2_0_real_train1	0.32506912867127524	0.46281933601808967	1.3649555985262514e-181	0.013190236821827156	0.030757490239297414	0.009003819129196062	1.4799452598601113e-41	4.8337103796661946e-29	4.382813975411364e-67	7.113710112068297e-55	0.15915998912031448
MSH6_0_real_train1	0.12754354719953884	0.7714383593238165	0.03757036096412028	0.009246486264590667	4.2269568386118055e-79	1.4980172077911601e-46	0.026948294042447477	0.02725295220548622	4.059168060328328e-37	2.1055805183850658e-79	8.031973071478146e-48
MSH6_1_real_train1	6.994836491997174e-06	0.9085953000755658	0.04469774470797447	0.00590102685692046	1.7954991948290963e-154	0.013749429320279026	1.894902947918805e-19	2.31e-321	7.013900396683143e-117	0.027049504202768318	2.283380884473222e-74
PMS1_0_real_train1	1.9759225206704092e-240	2.57656999572552e-247	0.037218766429790266	2.243647117304413e-47	2.1385962250619935e-79	5.6811377967351015e-133	1.83693033995823e-11	0.8278340816628127	1.0178075087240742e-189	0.13494715188902778	3.043758837349128e-277
PMS2_0_real_train1	2.4178884148198072e-48	0.062154996253832175	0.8653311438604001	2.0845395976701164e-50	0.006712890052206777	4.48192643409663e-176	1.0925042953511431e-54	0.009322455698133697	0.0383840627390853	0.018094451396341932	4.18893650403029e-45
EXO1_0_multinomial_train1	1.148935812705362e-69	5.658018581578718e-49	4.668446805082928e-83	0.004595395223990626	2.6795497073902656e-84	0.060494869007772525	0.9331823714348846	1.9475355240295458e-302	8.404404110274278e-108	0.0017273643333523003	1.88e-321
EXO1_0_multinomial_train1.1	2.372851723842996e-197	3.148763568825356e-197	2.396721057914821e-200	8.25e-322	0.00499476784882656	7.940422353863615e-69	0.931252457293796	6.860030746311414e-115	0.005105847926181209	7.86e-322	0.05864692693119622
EXO1_0_multinomial_train1.2	0.0023095702255284895	1.2706627631542065e-101	1.6893817085201287e-08	1.23e-321	6.741407306100113e-61	0.08677048575199692	0.9109199271286574	1.0074934265864371e-31	4.0380973032554444e-234	2.075e-321	1.0475366671059029e-71
EXO1_0_multinomial_train1.3	3.097630775635643e-221	4.237011088010694e-170	2.12e-321	1.0549075535189493e-205	0.021684380541775357	2.581443335150618e-66	0.9479448738292188	5.1147772996960595e-204	0.01356760386343263	1.15e-321	0.01680314176557333
EXO1_0_multinomial_train1.4	2.21e-321	1.833e-321	1.89e-321	1.013e-321	2.947143690493406e-171	2.0240561914764473e-41	1.0	2.69e-321	1.69e-321	1.275e-321	1.25e-321
EXO1_0_multinomial_train1.5	3.05e-321	3.04e-321	1.833e-321	5.83e-322	0.008202073365519156	2.4444237158082838e-17	0.9422366802321366	0.01559089136971363	2.0688290807492105e-58	7.36e-322	0.03397035503263062
EXO1_0_multinomial_train1.6	2.6095514385819568e-58	0.023310742687131503	3.551837132113163e-178	0.012088884506278	1.937e-321	5.238622619777421e-33	0.9646003728065904	1.873e-321	7.423349751658424e-169	8.069572883040191e-163	2.174e-321
EXO1_0_multinomial_train1.7	0.00899306668042349	2.260278922678102e-58	2.37e-321	1.07e-321	2.644928174571464e-35	1.3623692442651735e-78	0.9910069333195766	1.3444395114413428e-49	3.928693880447808e-239	1.344e-321	5.418900087565194e-72
EXO1_0_multinomial_train1.8	0.013443430870928084	5.265145484291406e-61	0.016259110529354807	1.606e-321	1.5972815372610977e-84	0.039249052311527186	0.9310484062881901	2.1444636777179094e-73	2.078685278720607e-291	9.159152311621654e-116	1.0356482070946421e-260
EXO1_0_multinomial_train1.9	2.2297479261641106e-48	3.2559142209616646e-176	1.8e-321	5.8e-322	3.1461039942673863e-161	0.05974142802251205	0.940258571977488	1.4629700002157487e-269	2.07e-321	7.36e-322	3.758803200239478e-176
EXO1_0_multinomial_train1.10	0.004313580659490365	1.215538301456923e-55	1.8404351012802138e-132	5.2947108524079365e-273	0.037773939893491225	2.5948100186202616e-21	0.9522713594287298	0.0056411200182886236	5.456568483679401e-68	1.443e-321	3.092160693724701e-18
EXO1_0_multinomial_train1.11	2.048060097561285e-107	1.1034092566448746e-74	2.73e-321	1.85373813081507e-243	5.6135718786405197e-39	6.8064623826257295e-96	0.9421197484833091	0.05788025151669094	3.9958999743382493e-41	2.4543401613284648e-257	3.939284248674604e-223
EXO1_0_multinomial_train1.12	5.603108806471269e-15	2.0724286709893232e-55	1.2179564934720713e-275	2.2878412834383707e-43	2.972122621028428e-249	1.3561501092344308e-47	0.9593469030326842	0.025907095497634633	2.1947566304181644e-08	0.014745979522109223	9.678608389176774e-45
EXO1_0_multinomial_train1.13	1.4640697558792218e-131	8.155421281091653e-149	0.02995771308235272	1.042e-321	0.017384560950876742	2.8870221128096666e-143	0.9485068678984533	3.0809558666043347e-109	9.106517503864779e-149	2.367e-321	0.004150858068317292
EXO1_0_multinomial_train1.14	1.628854436554815e-31	5.089295106300879e-89	2.51268490341402e-218	1.02e-321	1.0448093863869259e-69	3.670684771364694e-84	0.9987901021412618	0.0012098978587382714	8.19851423343314e-169	7.7e-322	9.63627542707656e-24
EXO1_0_multinomial_train1.15	0.022514443533640092	7.871431387022646e-57	2.0185634443386333e-134	1.04e-321	0.0032847321191371488	7.065004938217344e-31	0.9552262177641988	3.324602669581245e-214	1.78593889e-315	2.33e-321	0.01897460658302389
EXO1_0_multinomial_train1.16	0.0044907484468636695	7.73839724553469e-06	2.321887933133578e-61	1.6e-321	8.918166066306542e-213	2.039419420523618e-11	0.9955015131354964	7.49472328803461e-294	3.416776899642953e-227	1.764e-321	6.701183487331047e-308
EXO1_0_multinomial_train1.17	0.05032864898093696	2.956159979385601e-41	1.6662017669368413e-149	8.2e-322	9.77656403287087e-09	1.6980151005333346e-48	0.9496713412424992	1.2007057883348385e-173	2.43e-321	1.023e-321	3.145800710254866e-32
EXO1_0_multinomial_train1.18	1.191092245527957e-177	9.520346059471565e-144	3.3283473935184287e-180	0.013980946510291364	1.4015341263402705e-170	0.0002713553437039611	0.9714533313847086	0.006868903265413008	0.007425463495882969	5.889898969651011e-248	1.8583268999209528e-80
EXO1_0_multinomial_train1.19	0.004829697154139423	9.369587976315363e-63	2.535e-321	3.0348256711709813e-307	5.134395579878204e-159	0.058209711578046566	0.936960591267814	1.387946717082207e-277	8.455797393514889e-238	2.223e-321	3.3888786980831783e-197
EXO1_0_multinomial_train1.20	0.007055217705066239	4.3860829741040366e-44	2.26e-321	5.354059357319914e-44	5.7990715727854966e-18	5.3015447515385426e-12	0.9891786932612765	4.345956893958273e-56	9.53286690744148e-128	0.0037660890283558435	1.917834016918958e-108
EXO1_0_multinomial_train1.21	0.03648870904121604	2.500144441963377e-138	2.3e-321	1.714e-321	2.8668984943748277e-289	1.1225229707832387e-68	0.963511290958784	3.00101084382609e-309	2.283e-321	2.396e-321	2.48e-321
EXO1_0_multinomial_train1.22	0.011609651102696957	3.641507293809772e-54	8.233856603302429e-269	1.5391341464367938e-274	0.017413443241392462	0.08878164349458756	0.8330244747033952	0.049170787457927786	3.4754001170154242e-105	1.877e-321	2.040365340316011e-76
EXO1_0_multinomial_train1.23	2.1180338040854954e-217	3.3764e-320	2.77e-321	8.05e-322	0.05017708452013462	3.607692360585102e-231	0.9498229154798653	5.92857352989302e-19	2.16e-321	1.265e-321	1.3997690966958836e-270
EXO1_0_multinomial_train1.24	0.021719758495339088	1.7606349657742116e-102	4.671619201741074e-224	5.416367914395878e-301	0.010454721624244837	0.05954675433052113	0.9082787655498947	4.349470885944719e-298	4.3037836640265345e-188	1.986e-321	2.0392860877651228e-255
EXO1_0_multinomial_train1.25	1.0858191822017166e-51	0.010472317917666086	1.0870325986802631e-62	8.15e-322	4.273109490270613e-27	0.017074780916032307	0.9445589825784697	0.011888827932854992	3.4857742447997e-211	1.285e-321	0.016005090654976958
EXO1_0_multinomial_train1.26	3.3496605558993567e-44	4.88733498780977e-31	1.81096563104977e-32	9.73e-322	2.815021192109498e-06	0.0011887232230654123	0.9711389427040327	1.2759522960137754e-56	0.004059018896470154	9.83e-322	0.023610500155239533
EXO1_0_multinomial_train1.27	0.02747973009134179	1.9353186705919212e-66	2.71e-321	8.45e-322	0.012335999705640012	3.907662390933265e-106	0.9601842702030182	2.204e-321	1.5e-321	2.376e-321	3.113e-321
EXO1_0_multinomial_train1.28	2.947012631221079e-146	1.0986207811887385e-215	2.8188603418173924e-239	7.7e-322	1.8752619910191202e-50	1.2310507946891243e-44	0.907508020947721	8.175112973949761e-17	0.00247117763368275	7.2e-322	0.09002080141859618
EXO1_0_multinomial_train1.29	6.058475825123298e-155	3.65217805567798e-154	6.449028374660736e-142	6.1e-322	1.6722963497296255e-243	0.10720047375369719	0.8702538588416924	1.3825073710378846e-171	1.9e-321	5.1e-322	0.022545667404610382
EXO1_0_multinomial_train1.30	0.02092060521736578	3.0906372986723675e-66	3.794e-321	0.0015219866178480513	1.55044922313e-312	5.685969957618477e-51	0.9775574081647861	9.211656507715772e-273	5.922720222829781e-147	9.575959636748971e-24	3.093e-321
EXO1_0_multinomial_train1.31	3.638841826772952e-89	3.4206113728511718e-99	6.835786877623473e-90	1.03e-321	8.533596439504138e-114	0.005255004153709279	0.9947449958462907	2.315786804905984e-259	1.2651755646174959e-200	7.76e-322	8.061757114123844e-187
EXO1_0_multinomial_train1.32	5.110768485141838e-255	3.083e-321	7.359414e-318	9.44e-322	2.0157050517742422e-116	2.2323897868970685e-41	1.0	1.507e-321	1.58e-321	1.67e-321	1.38907e-319
EXO1_0_multinomial_train1.33	0.0155774875392606	1.1645278735316852e-73	4.015740303794033e-266	0.0035060335432139478	7.047365794253013e-199	0.0891514062312638	0.8912028691188898	2.754078957887517e-07	0.0005619281594760638	4.508681250749469e-254	1.651267110773135e-115
EXO1_0_multinomial_train1.34	4.4013606386014915e-25	7.138487744491079e-162	2.623e-321	4.83369035489e-311	0.032863156005905655	7.865812617767054e-49	0.9640267377832217	0.0031101062108727447	1.595896546644954e-138	6.495550089972923e-65	3.533045100777363e-175
EXO1_0_multinomial_train1.35	6.144399302651781e-07	0.009888581617985316	2.8377824906409674e-223	2.86464274511266e-73	0.013903240987784893	4.30625577575509e-67	0.9405063508785656	3.153854042331771e-10	0.015742126870008984	4.86685118874746e-50	0.01995908489033976
EXO1_0_multinomial_train1.36	3.22489739593976e-45	6.819210139097802e-68	2.076728209118618e-247	1.3358984436380433e-263	1.0137104921967473e-192	0.12629011581612443	0.8653604792843201	0.00834940489955533	8.502454037582312e-51	1.61e-321	2.9882688585807817e-59
EXO1_0_multinomial_train1.37	6.818074676271951e-09	1.7651693400652362e-06	3.735e-321	1.135151773625264e-61	5.973899625022659e-132	4.355584192658823e-143	0.9555492946568656	0.0117881266814687	1.5516696276658006e-50	0.019698278573171895	0.012962528101078993
