Samples	SBS96A	SBS96B	SBS96C	SBS96D
EXO1_0_real_train1	0.7366983047286398	0.2583579427904526	0.004943752480907571	1.6989808437460265e-73
OGG1_0_real_train1	0.015351183860976668	1.7735728314558357e-11	0.9846488161212876	4.893650703960304e-29
RNF168_0_real_train1	0.6797003457792188	0.23941649698214412	0.08088315723863712	1.6933259385907162e-77
UNG_0_real_train1	0.11987661193943441	0.8801233880605656	2.8e-322	6.5e-322
ATP2B4_0_real_train1	0.09533135044788678	0.4306518191154485	0.22463856308170943	0.2493782673549553
ATP2B4_1_real_train1	0.033361100094118364	0.12983335340732885	0.25647739476472486	0.5803281517338278
MLH1_0_real_train1	1.0	5.3e-322	1.7e-322	3.36e-322
MSH2_0_real_train1	1.0	1.04e-321	1.63e-322	4.94e-322
MSH6_0_real_train1	1.0	5.34e-322	1.7e-322	3.4e-322
MSH6_1_real_train1	1.0	3.5e-322	1.63e-322	3.36e-322
PMS1_0_real_train1	0.07177449712980098	0.015260092816799084	3.3e-322	0.9129654100533998
PMS2_0_real_train1	1.0	2.5e-322	4.84e-322	2.4e-322
EXO1_0_multinomial_train1	0.7532023735321792	0.21222548150439488	0.03457214496342598	9.126842919073754e-238
EXO1_0_multinomial_train1.1	0.736761450189299	0.263238549810701	2.124e-321	1.1903247099773831e-182
EXO1_0_multinomial_train1.2	0.7621149125126951	0.2378850874873049	3.152269694815149e-83	9.75219070353496e-79
EXO1_0_multinomial_train1.3	0.6740187513720508	0.32598124862794925	1.595600621931851e-74	6.612301027035372e-178
EXO1_0_multinomial_train1.4	0.7139060708993079	0.28609392910069203	1.5339252280713282e-183	3.7206028402912885e-174
EXO1_0_multinomial_train1.5	0.700779374078259	0.2992206259217409	1.457e-321	2.0290293152168648e-104
EXO1_0_multinomial_train1.6	0.8029613384513419	0.1315799541919416	0.06545870735671648	1.440977293647868e-219
EXO1_0_multinomial_train1.7	0.7335226867415929	0.266477313258407	9.462159070225118e-220	7.304969402930857e-114
EXO1_0_multinomial_train1.8	0.7819841368674869	0.21639111320167154	0.0016247499308416505	7.932307267916361e-93
EXO1_0_multinomial_train1.9	0.7494016917038218	0.25059830829617824	2.101e-320	3.412420480277071e-163
EXO1_0_multinomial_train1.10	0.7024796685581579	0.2975203314418421	7.877850105394823e-149	1.5215129165265338e-133
EXO1_0_multinomial_train1.11	0.6706842676128396	0.2759443586114066	3.3709739290674607e-108	0.05337137377575393
EXO1_0_multinomial_train1.12	0.7275726861660503	0.2008496541028561	0.036801359596172804	0.03477630013492078
EXO1_0_multinomial_train1.13	0.7491630441812436	0.25083695581875654	4.2480912852773265e-255	3.2259229709653e-204
EXO1_0_multinomial_train1.14	0.7415507146894325	0.2584492853105677	3.227512563799459e-150	9.15772686292105e-82
EXO1_0_multinomial_train1.15	0.7615252196339409	0.23847478036605907	2.48e-321	8.756562749747849e-256
EXO1_0_multinomial_train1.16	0.7780131857308532	0.20884794636050333	0.013138867908643643	5.139644053677371e-164
EXO1_0_multinomial_train1.17	0.7819064867477282	0.21809351325227175	1.863e-321	1.4716936747857623e-274
EXO1_0_multinomial_train1.18	0.7304312675843553	0.21368949429972378	0.055879238115920916	4.678696805864911e-31
EXO1_0_multinomial_train1.19	0.7560079526312136	0.23338714500908037	0.010604902359706103	9.274174934146539e-157
EXO1_0_multinomial_train1.20	0.7279617288884237	0.25685045693015335	0.01518781418142287	4.1450193851555565e-115
EXO1_0_multinomial_train1.21	0.7798751673204035	0.21321140319016588	0.006913429489430519	1.0527426091091263e-111
EXO1_0_multinomial_train1.22	0.6918856675201573	0.29463785537936416	4.298032376520715e-92	0.01347647710047861
EXO1_0_multinomial_train1.23	0.6686507008136147	0.3313492991863853	1.537e-321	2.669701716034456e-239
EXO1_0_multinomial_train1.24	0.743402045009282	0.2565979549907181	2.303493214718426e-71	3.3656835378669667e-252
EXO1_0_multinomial_train1.25	0.7548782000086394	0.2451217999913607	8.2654e-319	9.861682390911172e-90
EXO1_0_multinomial_train1.26	0.7496327012320061	0.2503672987679939	1.860688585711705e-271	1.0129685948635012e-135
EXO1_0_multinomial_train1.27	0.738456132433317	0.26154386756668296	2.28e-321	3.46e-321
EXO1_0_multinomial_train1.28	0.7557984676424281	0.24420153235757192	1.63e-321	1.6975840867183086e-103
EXO1_0_multinomial_train1.29	0.7907987128073253	0.20920128719267467	2.604e-321	5.56630374146614e-97
EXO1_0_multinomial_train1.30	0.788504195017819	0.1737264895098341	0.037769315472346826	2.6713276901086093e-142
EXO1_0_multinomial_train1.31	0.7581144508697674	0.24188554913023264	5.0511432766640804e-142	1.0385332418968247e-191
EXO1_0_multinomial_train1.32	0.7327522788663902	0.26724772113360995	1.6016856104145247e-116	3.676e-321
EXO1_0_multinomial_train1.33	0.7734357076768681	0.1933294828297752	0.03323480949335682	5.230732313773493e-45
EXO1_0_multinomial_train1.34	0.6867245444451715	0.31327545555482833	3.1523354748289984e-170	3.404498034991103e-122
EXO1_0_multinomial_train1.35	0.7106276152623805	0.28245995246818484	0.0069124322694346	2.63827804102521e-80
EXO1_0_multinomial_train1.36	0.7608840840523777	0.20956984212366903	0.014943568579837899	0.01460250524411521
EXO1_0_multinomial_train1.37	0.7201077145884285	0.24524553568927202	0.03464674972229951	1.9439888584424429e-28
EXO1_0_multinomial_train1.38	0.7863548845261379	0.20487634755933998	0.008768767914522302	9.577297031854788e-103
EXO1_0_multinomial_train1.39	0.757570501556183	0.23242235278569734	0.010007145658119639	2.3010908889830802e-147
EXO1_0_multinomial_train1.40	0.6744472509599191	0.3255527490400811	1.0288228450659107e-84	1.0456540174211434e-34
EXO1_0_multinomial_train1.41	0.6818743569969603	0.3181256430030397	1.4498229993226737e-234	4.46159783940961e-177
EXO1_0_multinomial_train1.42	0.7006669275973603	0.29933307223520617	7.123968269237551e-21	1.6743364557263957e-10
EXO1_0_multinomial_train1.43	0.835333994373992	0.1546036249706878	0.010062380655320162	1.4263595358436566e-184
EXO1_0_multinomial_train1.44	0.7463839201828586	0.25361607981714135	7.257498756620421e-192	1.544448229511371e-134
EXO1_0_multinomial_train1.45	0.7789129462016599	0.1770335459603758	0.04405350783796421	1.3951976458230363e-96
EXO1_0_multinomial_train1.46	0.7864597871599933	0.16925242591306797	0.04428778692693885	8.530263440984679e-122
EXO1_0_multinomial_train1.47	0.7428116137731617	0.24142287178321023	0.015765514443628094	4.924883489796847e-32
EXO1_0_multinomial_train1.48	0.7849993292733503	0.21500067072651502	1.3482646484181573e-13	2.2235924554443785e-274
EXO1_0_multinomial_train1.49	0.6367795768511505	0.31839720708276664	0.03029890121145819	0.014524314854624689
EXO1_0_multinomial_train1.50	0.7158925502028195	0.28410744979718056	3.002580252260367e-109	4.35391489027143e-176
EXO1_0_multinomial_train1.51	0.7352459818949366	0.2647539913536674	2.6751396051241552e-08	7.077128299849563e-224
EXO1_0_multinomial_train1.52	0.7685452155032331	0.21441685692816462	0.017037927568602357	6.863114969930847e-104
EXO1_0_multinomial_train1.53	0.7173025322467124	0.2593896888459317	5.562320885282044e-98	0.023307778907355865
EXO1_0_multinomial_train1.54	0.7178768230723107	0.2346851076223731	0.04743806930531603	1.8473840514503566e-141
EXO1_0_multinomial_train1.55	0.7561749254159235	0.23633079628241724	0.007494278301659158	3.749403728947118e-64
EXO1_0_multinomial_train1.56	0.7874324801867953	0.21256751981320451	2.67e-321	1.1941944520404805e-267
EXO1_0_multinomial_train1.57	0.7094103237888715	0.282698200672864	0.007891475538264532	1.4149223288090612e-40
EXO1_0_multinomial_train1.58	0.7797422722091308	0.22025772779086916	1.754e-321	7.819031049724241e-166
EXO1_0_multinomial_train1.59	0.7312631597830659	0.26873684021693395	2.974e-321	1.2167191403786103e-79
EXO1_0_multinomial_train1.60	0.7322946833867041	0.23842329657427927	0.029282020039016646	1.8130404882814566e-86
EXO1_0_multinomial_train1.61	0.7308146030550008	0.2665878474822905	0.0025975494627086143	4.208577320214877e-133
EXO1_0_multinomial_train1.62	0.77374406318152	0.21989688326089693	0.006359053557582923	8.394960180915472e-17
EXO1_0_multinomial_train1.63	0.6967715304210763	0.2896256537365046	0.013602815842419047	5.35209205450392e-102
EXO1_0_multinomial_train1.64	0.7220980849089972	0.26543833069429995	0.01246358439670275	5.500022842466008e-160
EXO1_0_multinomial_train1.65	0.7340465238175413	0.22179244428433648	0.04416103189812221	1.2430644220956077e-67
EXO1_0_multinomial_train1.66	0.726670404762953	0.2733295952370469	2.683e-321	3.293584218281545e-204
EXO1_0_multinomial_train1.67	0.66868649577402	0.3286228457005517	0.0026906585254283734	1.0002056270777883e-92
EXO1_0_multinomial_train1.68	0.6820800600402108	0.30993036718194766	0.007989572777841573	2.418234778807698e-76
EXO1_0_multinomial_train1.69	0.781121148930675	0.21887885106932492	1.32e-321	2.57464381483133e-295
EXO1_0_multinomial_train1.70	0.7061988698997159	0.2501247940189336	0.04367633608135046	4.7482122165073964e-182
EXO1_0_multinomial_train1.71	0.7690388427573924	0.21951198375843592	0.011449173484171795	4.127090043520873e-74
EXO1_0_multinomial_train1.72	0.7217014919768998	0.24701080333794054	0.03128770468515962	8.794425549029276e-96
EXO1_0_multinomial_train1.73	0.7292217531733591	0.26848379313233656	0.002294453694304148	2.0715657593569984e-19
EXO1_0_multinomial_train1.74	0.77700424031268	0.22299575968731997	1.11158331912e-312	3.00621876839475e-253
EXO1_0_multinomial_train1.75	0.6934636473140843	0.30653635268591567	1.443e-321	1.9565358799918818e-221
EXO1_0_multinomial_train1.76	0.7031302567036937	0.2952514578061332	2.7048161562300887e-35	0.0016182854901729477
EXO1_0_multinomial_train1.77	0.7612586836482059	0.20397119030791128	0.03477012604388278	1.1654443228242502e-90
EXO1_0_multinomial_train1.78	0.7054087281759776	0.28527675269965846	0.009314519124364167	1.532630311607404e-66
EXO1_0_multinomial_train1.79	0.7153483753386936	0.27318973720794854	0.01146188745335798	8.166154545391954e-67
EXO1_0_multinomial_train1.80	0.7478433915472055	0.25215660845279453	2.78e-321	2.9e-321
EXO1_0_multinomial_train1.81	0.7593197759025745	0.18208267135579384	0.05859755274163164	4.625882312111779e-115
EXO1_0_multinomial_train1.82	0.7457165391176974	0.2279041743861127	0.026379286496190032	6.738945363951516e-135
EXO1_0_multinomial_train1.83	0.6846204058957086	0.28118330427404176	5.239111597028124e-71	0.03419628983024964
EXO1_0_multinomial_train1.84	0.7664980685583744	0.19668643346060777	0.03681549798101785	3.1953071384180347e-81
EXO1_0_multinomial_train1.85	0.7714767488548958	0.2285232511450958	2.767e-321	8.247887303648854e-15
