Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.846	0.588	58.8%	0.081	64.935%	0.32789	0.697
OGG1_0_real_train1	0.9999999999999968	0.997	0.19	19.0%	0.032	7.921%	0.08676	0.997
RNF168_0_real_train1	0.9999999999999989	0.853	0.597	59.7%	0.084	57.839%	0.327	0.738
UNG_0_real_train1	0.9999999999999982	0.95	0.383	38.3%	0.063	31.406%	0.16529	0.933
ATP2B4_0_real_train1	0.9999999999999971	0.964	0.422	42.2%	0.065	26.906%	0.20629	0.955
ATP2B4_1_real_train1	0.9999999999999967	0.968	0.421	42.1%	0.072	25.767%	0.19955	0.963
MLH1_0_real_train1	0.9999999999999964	0.885	0.493	49.3%	0.091	47.887%	0.175	0.844
MSH2_0_real_train1	0.999999999999996	0.902	0.428	42.8%	0.085	45.12%	0.14755	0.869
MSH6_0_real_train1	0.9999999999999951	0.913	0.415	41.5%	0.078	42.477%	0.12598	0.881
MSH6_1_real_train1	0.9999999999999969	0.907	0.393	39.3%	0.081	43.574%	0.13462	0.875
PMS1_0_real_train1	0.9999999999999964	0.962	0.349	34.9%	0.063	27.393%	0.1437	0.952
PMS2_0_real_train1	0.9999999999999952	0.868	0.472	47.2%	0.08	49.656%	0.15814	0.768
EXO1_0_multinomial_train1	0.999999999999996	0.828	0.61	61.0%	0.086	67.776%	0.33827	0.657
EXO1_0_multinomial_train1.1	0.9999999999999966	0.843	0.577	57.7%	0.082	64.927%	0.34584	0.687
EXO1_0_multinomial_train1.2	0.9999999999999962	0.824	0.605	60.5%	0.086	67.776%	0.33811	0.641
EXO1_0_multinomial_train1.3	0.9999999999999962	0.826	0.642	64.2%	0.087	65.377%	0.38988	0.664
EXO1_0_multinomial_train1.4	0.9999999999999961	0.783	0.68	68.0%	0.095	74.691%	0.41134	0.557
EXO1_0_multinomial_train1.5	0.9999999999999962	0.828	0.619	61.9%	0.086	66.454%	0.37015	0.662
EXO1_0_multinomial_train1.6	0.9999999999999959	0.818	0.644	64.4%	0.088	69.231%	0.39912	0.635
EXO1_0_multinomial_train1.7	0.9999999999999962	0.801	0.646	64.6%	0.091	72.372%	0.40396	0.593
EXO1_0_multinomial_train1.8	0.9999999999999964	0.837	0.577	57.7%	0.082	63.987%	0.31344	0.667
EXO1_0_multinomial_train1.9	0.9999999999999958	0.795	0.682	68.2%	0.092	70.146%	0.42002	0.584
EXO1_0_multinomial_train1.10	0.9999999999999962	0.831	0.607	60.7%	0.085	65.024%	0.35007	0.669
EXO1_0_multinomial_train1.11	0.9999999999999961	0.838	0.601	60.1%	0.085	66.833%	0.3477	0.691
EXO1_0_multinomial_train1.12	0.9999999999999959	0.828	0.628	62.8%	0.087	68.027%	0.37303	0.664
EXO1_0_multinomial_train1.13	0.9999999999999958	0.825	0.62	62.0%	0.086	67.861%	0.3594	0.645
EXO1_0_multinomial_train1.14	0.9999999999999958	0.804	0.637	63.7%	0.091	70.931%	0.39762	0.599
EXO1_0_multinomial_train1.15	0.9999999999999959	0.842	0.595	59.5%	0.081	64.29%	0.36561	0.683
EXO1_0_multinomial_train1.16	0.9999999999999967	0.821	0.618	61.8%	0.086	67.473%	0.36451	0.633
EXO1_0_multinomial_train1.17	0.999999999999996	0.839	0.581	58.1%	0.082	64.298%	0.34235	0.671
