Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_real_train1	1.01E-01	3.39E-02	3.62E-02	9.10E-03	1.53E-26	1.53E-26
OGG1_0_real_train1	1.87E-02	1.48E-09	7.89E-03	1.87E-02	3.78E-02	8.66E-03
RNF168_0_real_train1	4.68E-02	1.48E-01	9.51E-02	5.44E-03	3.63E-02	6.53E-03
UNG_0_real_train1	3.76E-02	2.09E-02	2.50E-02	4.26E-03	1.82E-02	3.00E-02
ATP2B4_0_real_train1	1.31E-02	1.02E-01	2.83E-02	4.25E-02	6.99E-02	6.49E-02
ATP2B4_1_real_train1	1.06E-02	1.19E-01	2.09E-02	5.34E-02	7.69E-02	6.62E-02
MLH1_0_real_train1	1.53E-01	1.02E-01	1.60E-26	4.76E-03	8.62E-03	1.53E-26
MSH2_0_real_train1	1.00E-26	1.00E-26	9.84E-02	1.33E-26	2.49E-03	1.00E-26
MSH6_0_real_train1	1.45E-01	3.77E-14	1.46E-01	4.72E-03	5.96E-03	2.52E-02
MSH6_1_real_train1	1.47E-01	1.53E-26	1.49E-01	6.42E-03	1.53E-26	2.50E-02
PMS1_0_real_train1	3.65E-02	6.13E-02	8.79E-03	4.68E-03	5.28E-02	3.90E-02
PMS2_0_real_train1	2.40E-02	1.29E-19	1.42E-01	4.10E-03	7.54E-03	5.80E-03
EXO1_0_multinomial_train1	1.00E-01	3.15E-02	3.56E-02	9.82E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.1	9.99E-02	3.52E-02	3.65E-02	7.93E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.2	1.00E-01	3.47E-02	3.76E-02	8.37E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.3	1.04E-01	3.63E-02	3.74E-02	1.05E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.4	1.00E-01	3.23E-02	3.40E-02	8.13E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.5	1.02E-01	3.67E-02	3.56E-02	8.08E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.6	9.99E-02	3.05E-02	3.46E-02	1.01E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.7	9.89E-02	3.31E-02	3.34E-02	7.95E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.8	1.01E-01	3.57E-02	3.97E-02	8.82E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.9	1.02E-01	3.48E-02	3.60E-02	7.98E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.10	1.02E-01	3.77E-02	3.88E-02	9.99E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.11	1.01E-01	3.50E-02	3.43E-02	9.90E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.12	1.00E-01	3.32E-02	3.47E-02	1.04E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.13	9.95E-02	3.36E-02	3.72E-02	8.08E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.14	1.00E-01	3.41E-02	3.59E-02	8.26E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.15	9.98E-02	3.50E-02	3.71E-02	7.97E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.16	1.01E-01	3.26E-02	3.65E-02	8.67E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.17	1.00E-01	3.63E-02	3.83E-02	7.68E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.18	9.96E-02	3.18E-02	3.47E-02	1.07E-02	1.33E-26	1.53E-26
EXO1_0_multinomial_train1.19	1.02E-01	3.33E-02	3.60E-02	9.08E-03	1.53E-26	1.53E-26
