NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.572	57.183	0.092	50.688	160.423	0.783	15000.0
2	0.552	55.211	0.089	47.848	102.442	0.798	15000.0
3	0.526	52.567	0.085	45.076	95.759	0.816	15000.0
4	0.458	45.805	0.073	37.705	533.379	0.87	25000.0
5	0.499	49.937	0.08	42.849	0.238	0.869	15000.0
6	0.528	52.841	0.085	45.219	11.709	0.811	15000.0
7	0.561	56.102	0.096	49.086	100.062	0.753	15000.0
8	0.597	59.654	0.099	53.103	157.469	0.732	20000.0
9	0.535	53.477	0.088	46.341	14.292	0.818	15000.0
10	0.536	53.611	0.09	46.662	89.226	0.848	15000.0
