Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
EXO1_0_real_train1	6.77e-322	0.8340994478746868	2.594e-321	0.04113330859559417	0.12476724352971898	9.025925059126688e-180	1.5011171008183595e-188
OGG1_0_real_train1	0.04788567745218207	2.708932649873683e-26	0.01423464568406255	0.015670257027822262	5.917858742748693e-21	0.8840641398898959	0.03814527994603728
RNF168_0_real_train1	2.9e-322	0.7498040164719018	2.56e-321	7.730080941728526e-104	0.2500731377903788	0.00012284573771955236	3.47138161372e-312
UNG_0_real_train1	9.24e-322	1.440699560585382e-265	0.015121537991350586	0.8590756543291177	0.1258028076795318	3.356482477758587e-66	2.0132965318658635e-273
ATP2B4_0_real_train1	3.44199722349823e-308	6.134089358382984e-11	0.0934257023116817	0.10101248962733352	0.748642405393338	0.056919402606306	2.255929371339741e-44
ATP2B4_1_real_train1	0.03720946975114086	9.922026144388586e-232	0.029754186888079397	1.01e-321	0.782209954283539	0.10269326703902673	0.048133122038213925
MLH1_0_real_train1	0.7742901082825467	0.06342115645223935	0.07170831988420925	0.04997914482478278	5.757199514156923e-125	1.9097227618984786e-185	0.040601270556221855
MSH2_0_real_train1	0.708740652850532	0.09603137773335244	0.047938210002033216	0.08770227050952932	0.025290393645008034	2.21e-321	0.034297095259544975
MSH6_0_real_train1	0.6849093588270158	0.019093878865761908	0.20276464850417342	0.019789163455303443	0.0701950701991334	6.684902834360074e-116	0.003247880148612074
MSH6_1_real_train1	0.6964628953492052	0.00030618714831053695	0.22456928317721728	7.76875887769567e-28	0.0641558344196471	0.014505799905619909	1.92e-321
PMS1_0_real_train1	1.33944735518924e-10	8.615886852744042e-110	0.011636934623024082	0.03761976593981257	1.1132279146421867e-92	0.013120985782946983	0.9376223135202716
PMS2_0_real_train1	5.93e-322	1.635e-321	0.9475989440575546	1.72e-321	0.029281299157958934	0.02311975678448634	1.9137312180166857e-264
EXO1_0_multinomial_train1	3.46e-322	0.8480587652598786	3.51e-321	0.028983666104326514	0.10599574294306109	0.016961825692733603	2.554e-321
EXO1_0_multinomial_train1.1	6.8e-322	0.8108977850603742	3.94e-321	0.08341474832497434	0.1056874666146515	1.25e-321	5.1097201649105754e-179
EXO1_0_multinomial_train1.2	3.36e-322	0.8448392297747594	3.92e-321	0.05898597555745871	0.09617479466778187	9.945267091974069e-175	1.862777367508653e-83
