Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
EXO1_0_real_train1	2.90E-01	2.89E-26	2.89E-26	2.89E-26	2.21E-02	2.89E-26	2.89E-26
OGG1_0_real_train1	4.28E-02	1.59E-02	2.26E-01	2.26E-01	2.49E-01	1.49E-02	3.69E-03
RNF168_0_real_train1	1.70E-01	6.85E-03	2.50E-26	6.27E-03	2.40E-01	1.23E-01	1.08E-01
UNG_0_real_train1	1.23E-01	1.67E-02	1.92E-01	2.03E-02	2.20E-01	0.00E+00	2.28E-01
ATP2B4_0_real_train1	1.93E-01	1.92E-01	1.34E-01	5.01E-02	3.16E-02	5.06E-03	1.42E-01
ATP2B4_1_real_train1	2.37E-01	2.48E-01	1.15E-01	4.20E-02	9.05E-02	2.02E-09	1.58E-01
MLH1_0_real_train1	2.50E-26	1.54E-01	6.21E-02	6.85E-02	2.50E-26	2.50E-26	2.42E-01
MSH2_0_real_train1	1.04E-01	2.00E-01	2.44E-01	1.11E-20	2.50E-26	2.50E-26	8.47E-02
MSH6_0_real_train1	1.19E-01	1.49E-01	1.01E-03	8.87E-04	1.05E-02	2.79E-01	2.41E-01
MSH6_1_real_train1	1.24E-01	1.54E-01	4.82E-03	5.04E-03	1.44E-02	2.89E-01	2.48E-01
PMS1_0_real_train1	2.41E-01	2.37E-01	9.78E-02	1.05E-02	6.41E-03	2.44E-01	1.67E-108
PMS2_0_real_train1	1.28E-02	5.69E-03	4.83E-03	2.24E-01	5.50E-03	6.97E-03	1.97E-02
EXO1_0_multinomial_train1	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.40E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.1	2.90E-01	2.89E-26	2.89E-26	2.89E-26	1.97E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.2	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.02E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.3	2.96E-01	2.89E-26	2.89E-26	2.89E-26	2.42E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.4	2.91E-01	2.89E-26	2.89E-26	2.89E-26	1.99E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.5	2.93E-01	2.89E-26	2.89E-26	2.89E-26	1.98E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.6	2.86E-01	2.89E-26	2.89E-26	2.89E-26	2.49E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.7	2.87E-01	2.89E-26	2.89E-26	2.89E-26	1.99E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.8	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.06E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.9	2.96E-01	2.89E-26	2.89E-26	2.89E-26	1.89E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.10	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.28E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.11	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.46E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.12	2.83E-01	2.89E-26	2.89E-26	2.89E-26	2.60E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.13	2.88E-01	2.89E-26	2.89E-26	2.67E-21	2.01E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.14	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.03E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.15	2.92E-01	2.89E-26	2.89E-26	2.89E-26	1.92E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.16	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.12E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.17	2.94E-01	2.89E-26	2.89E-26	2.89E-26	1.81E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.18	2.84E-01	2.89E-26	2.89E-26	2.89E-26	2.67E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.19	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.17E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.20	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.32E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.21	2.87E-01	2.89E-26	2.89E-26	2.89E-26	2.03E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.22	2.92E-01	2.89E-26	2.89E-26	2.89E-26	2.43E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.23	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.04E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.24	2.95E-01	2.89E-26	2.89E-26	2.89E-26	2.14E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.25	2.90E-01	2.89E-26	2.89E-26	2.89E-26	1.97E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.26	2.94E-01	2.89E-26	2.89E-26	2.89E-26	2.04E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.27	2.90E-01	2.89E-26	2.89E-26	2.89E-26	1.91E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.28	2.97E-01	2.89E-26	2.89E-26	2.89E-26	1.98E-02	2.89E-26	1.62E-18
EXO1_0_multinomial_train1.29	2.94E-01	2.89E-26	2.89E-26	2.89E-26	1.74E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.30	2.87E-01	2.89E-26	2.89E-26	2.89E-26	2.29E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.31	2.90E-01	2.89E-26	2.89E-26	2.89E-26	1.96E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.32	2.97E-01	2.89E-26	2.89E-26	2.89E-26	2.07E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.33	2.95E-01	2.89E-26	2.89E-26	2.89E-26	2.41E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.34	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.28E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.35	2.86E-01	2.89E-26	2.89E-26	2.89E-26	2.39E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.36	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.17E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.37	2.87E-01	2.89E-26	2.89E-26	2.89E-26	2.62E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.38	2.94E-01	2.89E-26	2.89E-26	2.89E-26	2.04E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.39	2.92E-01	2.89E-26	2.89E-26	2.89E-26	2.11E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.40	2.92E-01	2.89E-26	2.89E-26	2.89E-26	2.32E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.41	2.87E-01	2.89E-26	2.89E-26	2.89E-26	2.21E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.42	2.94E-01	2.89E-26	2.89E-26	2.89E-26	2.28E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.43	2.90E-01	2.89E-26	2.89E-26	2.89E-26	1.80E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.44	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.10E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.45	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.46E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.46	2.90E-01	2.89E-26	2.89E-26	2.89E-26	2.41E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.47	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.21E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.48	2.97E-01	2.89E-26	2.89E-26	2.89E-26	2.09E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.49	2.86E-01	2.89E-26	2.89E-26	2.89E-26	2.78E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.50	2.90E-01	2.89E-26	2.89E-26	2.89E-26	2.15E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.51	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.12E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.52	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.16E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.53	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.16E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.54	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.62E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.55	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.21E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.56	2.92E-01	2.89E-26	2.89E-26	2.89E-26	1.75E-02	2.89E-26	2.89E-26
