NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.365	36.541	0.056	28.127	13.677	0.924	15000.0
2	0.359	35.929	0.055	27.474	76.273	0.931	20000.0
3	0.532	53.223	0.086	46.537	1.703	0.799	15000.0
4	0.477	47.717	0.076	41.285	1.654	0.873	15000.0
5	0.486	48.634	0.077	41.399	0.688	0.837	15000.0
6	0.534	53.353	0.086	46.686	3.505	0.801	15000.0
7	0.504	50.384	0.081	44.04	3.808	0.855	15000.0
8	0.403	40.288	0.064	32.356	171.905	0.895	15000.0
9	0.362	36.201	0.055	27.671	0.278	0.929	15000.0
10	0.373	37.31	0.057	28.768	1.515	0.925	15000.0
