Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.966	0.255	25.5%	0.034	27.257%	0.06086	0.907
OGG1_0_real_train1	0.9999999999999968	0.998	0.147	14.7%	0.022	5.446%	0.07135	0.998
RNF168_0_real_train1	0.9999999999999989	0.951	0.346	34.6%	0.045	30.985%	0.12931	0.902
UNG_0_real_train1	0.9999999999999982	0.96	0.363	36.3%	0.056	27.916%	0.16288	0.946
ATP2B4_0_real_train1	0.9999999999999971	0.965	0.417	41.7%	0.065	26.906%	0.20488	0.958
ATP2B4_1_real_train1	0.9999999999999967	0.968	0.431	43.1%	0.074	26.483%	0.19615	0.964
MLH1_0_real_train1	0.9999999999999964	0.99	0.164	16.4%	0.027	14.208%	0.03527	0.986
MSH2_0_real_train1	0.999999999999996	0.991	0.16	16.0%	0.025	13.271%	0.03686	0.988
MSH6_0_real_train1	0.9999999999999951	0.992	0.147	14.7%	0.023	12.525%	0.02848	0.989
MSH6_1_real_train1	0.9999999999999969	0.991	0.16	16.0%	0.024	12.911%	0.04176	0.988
PMS1_0_real_train1	0.9999999999999964	0.977	0.303	30.3%	0.051	22.175%	0.12795	0.973
PMS2_0_real_train1	0.9999999999999952	0.991	0.148	14.8%	0.022	13.655%	0.02274	0.984
EXO1_0_multinomial_train1	0.999999999999996	0.95	0.298	29.8%	0.041	32.312%	0.08145	0.868
EXO1_0_multinomial_train1.1	0.9999999999999966	0.942	0.32	32.0%	0.044	34.839%	0.09568	0.843
EXO1_0_multinomial_train1.2	0.9999999999999962	0.946	0.312	31.2%	0.042	33.1%	0.09545	0.855
EXO1_0_multinomial_train1.3	0.9999999999999962	0.939	0.355	35.5%	0.046	34.567%	0.11324	0.849
EXO1_0_multinomial_train1.4	0.9999999999999961	0.935	0.353	35.3%	0.046	36.166%	0.10744	0.824
EXO1_0_multinomial_train1.5	0.9999999999999962	0.945	0.322	32.2%	0.043	33.227%	0.0941	0.857
EXO1_0_multinomial_train1.6	0.9999999999999959	0.935	0.357	35.7%	0.047	36.975%	0.11202	0.828
EXO1_0_multinomial_train1.7	0.9999999999999962	0.925	0.369	36.9%	0.05	39.765%	0.11613	0.793
EXO1_0_multinomial_train1.8	0.9999999999999964	0.95	0.312	31.2%	0.041	31.994%	0.09065	0.865
EXO1_0_multinomial_train1.9	0.9999999999999958	0.937	0.372	37.2%	0.046	35.073%	0.11708	0.836
EXO1_0_multinomial_train1.10	0.9999999999999962	0.939	0.349	34.9%	0.046	35.189%	0.11119	0.843
EXO1_0_multinomial_train1.11	0.9999999999999961	0.941	0.324	32.4%	0.045	35.382%	0.09679	0.846
EXO1_0_multinomial_train1.12	0.9999999999999959	0.931	0.365	36.5%	0.049	38.314%	0.11803	0.821
EXO1_0_multinomial_train1.13	0.9999999999999958	0.927	0.373	37.3%	0.049	38.665%	0.11651	0.801
EXO1_0_multinomial_train1.14	0.9999999999999958	0.924	0.372	37.2%	0.05	38.973%	0.12467	0.797
EXO1_0_multinomial_train1.15	0.9999999999999959	0.95	0.306	30.6%	0.041	32.542%	0.10372	0.862
EXO1_0_multinomial_train1.16	0.9999999999999967	0.944	0.339	33.9%	0.043	33.736%	0.09745	0.849
EXO1_0_multinomial_train1.17	0.999999999999996	0.945	0.326	32.6%	0.043	33.717%	0.09917	0.85
EXO1_0_multinomial_train1.18	0.999999999999996	0.936	0.359	35.9%	0.047	36.816%	0.1151	0.835
EXO1_0_multinomial_train1.19	0.9999999999999959	0.945	0.33	33.0%	0.043	33.204%	0.09471	0.855
EXO1_0_multinomial_train1.20	0.999999999999996	0.947	0.312	31.2%	0.042	33.126%	0.09256	0.859
EXO1_0_multinomial_train1.21	0.9999999999999963	0.929	0.366	36.6%	0.048	38.283%	0.11466	0.804
EXO1_0_multinomial_train1.22	0.999999999999996	0.957	0.29	29.0%	0.039	29.977%	0.08646	0.889
EXO1_0_multinomial_train1.23	0.9999999999999962	0.915	0.398	39.8%	0.054	42.149%	0.11881	0.776
EXO1_0_multinomial_train1.24	0.9999999999999958	0.954	0.291	29.1%	0.039	30.284%	0.09458	0.877
EXO1_0_multinomial_train1.25	0.9999999999999964	0.945	0.342	34.2%	0.043	33.89%	0.10205	0.851
EXO1_0_multinomial_train1.26	0.9999999999999962	0.953	0.285	28.5%	0.04	31.127%	0.07992	0.875
EXO1_0_multinomial_train1.27	0.9999999999999962	0.944	0.333	33.3%	0.043	34.57%	0.10287	0.844
