Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
EXO1_0_real_train1	2.55E-02	1.67E-01	0.00E+00	1.75E-01	1.52E-01	2.06E-01	0.00E+00	8.06E-132
OGG1_0_real_train1	1.07E-01	1.89E-03	1.45E-01	1.39E-02	1.48E-01	1.46E-02	1.83E-01	1.43E-01
RNF168_0_real_train1	1.67E-26	1.67E-26	1.27E-01	1.30E-01	1.11E-01	6.60E-02	4.75E-02	2.02E-01
UNG_0_real_train1	1.45E-01	1.57E-01	1.75E-01	1.46E-01	9.07E-03	1.53E-02	1.30E-02	1.47E-01
ATP2B4_0_real_train1	1.94E-02	1.52E-01	4.23E-02	2.04E-02	1.41E-01	8.06E-03	1.37E-01	7.56E-02
ATP2B4_1_real_train1	9.67E-03	1.92E-01	2.19E-02	6.39E-03	1.74E-01	9.25E-03	1.61E-01	1.03E-01
MLH1_0_real_train1	1.80E-01	1.66E-17	6.02E-02	1.26E-01	1.68E-01	1.67E-26	1.19E-01	1.56E-03
MSH2_0_real_train1	1.01E-01	1.71E-01	8.82E-02	9.42E-02	2.24E-26	2.03E-03	2.24E-26	1.31E-02
MSH6_0_real_train1	9.99E-02	1.60E-01	1.89E-41	8.65E-02	1.73E-01	1.64E-01	1.04E-01	8.75E-02
MSH6_1_real_train1	1.02E-01	1.63E-01	2.80E-03	8.81E-02	1.75E-01	1.67E-01	1.03E-01	8.76E-02
PMS1_0_real_train1	1.57E-01	8.52E-35	1.16E-02	1.57E-01	4.26E-03	1.89E-01	1.51E-01	1.56E-01
PMS2_0_real_train1	1.32E-01	1.50E-03	1.93E-01	1.59E-01	1.01E-02	1.48E-01	1.53E-01	1.31E-02
EXO1_0_multinomial_train1	2.62E-02	1.66E-01	0.00E+00	1.75E-01	1.50E-01	2.05E-01	4.46E-56	1.54E-103
EXO1_0_multinomial_train1.1	3.06E-02	1.65E-01	0.00E+00	1.73E-01	1.74E-01	2.03E-01	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.2	2.81E-02	1.66E-01	1.19E-114	1.75E-01	1.63E-01	2.04E-01	1.91E-118	4.76E-102
EXO1_0_multinomial_train1.3	2.60E-02	1.72E-01	0.00E+00	1.80E-01	1.52E-01	2.11E-01	2.12E-95	5.33E-97
EXO1_0_multinomial_train1.4	2.88E-02	1.66E-01	0.00E+00	1.74E-01	1.65E-01	2.05E-01	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.5	2.84E-02	1.68E-01	0.00E+00	1.76E-01	1.69E-01	2.08E-01	0.00E+00	5.60E-130
EXO1_0_multinomial_train1.6	2.68E-02	1.65E-01	0.00E+00	1.73E-01	1.48E-01	2.03E-01	1.29E-04	0.00E+00
EXO1_0_multinomial_train1.7	3.23E-02	1.63E-01	0.00E+00	1.70E-01	1.72E-01	2.02E-01	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.8	2.47E-02	1.68E-01	3.83E-25	1.77E-01	1.56E-01	2.06E-01	9.34E-14	1.16E-116
EXO1_0_multinomial_train1.9	2.40E-02	1.69E-01	0.00E+00	1.78E-01	1.59E-01	2.09E-01	0.00E+00	1.27E-85
EXO1_0_multinomial_train1.10	2.59E-02	1.69E-01	0.00E+00	1.77E-01	1.51E-01	2.08E-01	0.00E+00	3.23E-114
EXO1_0_multinomial_train1.11	2.68E-02	1.66E-01	0.00E+00	1.71E-01	1.47E-01	2.03E-01	0.00E+00	2.83E-03
EXO1_0_multinomial_train1.12	2.73E-02	1.66E-01	0.00E+00	1.73E-01	1.45E-01	2.04E-01	5.47E-04	1.20E-103
EXO1_0_multinomial_train1.13	3.01E-02	1.65E-01	1.87E-39	1.73E-01	1.70E-01	2.03E-01	9.79E-33	0.00E+00
EXO1_0_multinomial_train1.14	2.98E-02	1.66E-01	0.00E+00	1.74E-01	1.66E-01	2.04E-01	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.15	2.87E-02	1.66E-01	2.83E-161	1.73E-01	1.69E-01	2.03E-01	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.16	2.48E-02	1.67E-01	2.19E-137	1.76E-01	1.55E-01	2.06E-01	5.03E-158	1.53E-139
EXO1_0_multinomial_train1.17	2.83E-02	1.67E-01	0.00E+00	1.73E-01	1.72E-01	2.03E-01	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.18	2.75E-02	1.65E-01	6.45E-149	1.74E-01	1.44E-01	2.03E-01	1.26E-03	2.82E-150
