Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
EXO1_0_real_train1	1.714e-321	0.9877561138357311	2.623e-321	5.460341071446922e-92	0.009686072913258945	0.002557813251009965	7.361543937903373e-75	2.663e-321
OGG1_0_real_train1	0.03631809491986014	1.8391358297345812e-170	0.006948439414266272	2.4185291615002748e-161	0.867293712782241	0.04100673076690815	0.04843302211672446	1.0762356204280816e-80
RNF168_0_real_train1	1.225e-321	0.8944631208996273	3.8859754369020656e-207	1.5166278624722642e-122	0.01065319052393167	9.267489649926488e-121	0.09488368857644099	2.41267e-319
UNG_0_real_train1	8.94e-322	1.8374669791360812e-142	0.04091550721426489	0.8759754347953148	0.003364334087152153	5.690073612123155e-201	0.07974472390326806	1.625e-321
ATP2B4_0_real_train1	2.065e-321	0.0191577929674137	0.08815436038057803	0.24399145455874843	3.4029469816969614e-65	0.004508530877824377	0.6441878612154357	8.475552689871116e-198
ATP2B4_1_real_train1	0.06135901204415998	4.242223205078847e-203	0.03304992014448734	2.3752855021256136e-82	3.8318631026182034e-95	0.09714328557281142	0.8084477822385412	1.5215195462031958e-97
MLH1_0_real_train1	0.8017888832194066	0.09216910529854208	0.05199442380732313	0.025242209879780337	0.0013248037558903866	0.02748057403905764	2.2163117016195284e-101	1.7654843630252452e-21
MSH2_0_real_train1	0.5514728691066075	4.139287551872371e-90	0.0030045032334215897	0.04840988052719251	9.722870176297567e-201	0.04233742091070639	0.009387840075199152	0.3453874861468728
MSH6_0_real_train1	0.7012325145385128	6.883342045750391e-17	0.15106880706821765	0.02615892602635349	7.155702334594902e-103	1.1026491618844103e-15	0.05158354221718035	0.0699562101497346
MSH6_1_real_train1	0.6816717806307437	2.974483382594837e-70	0.15330542169256717	4.0983254591961966e-57	0.014374593894721987	1.65e-321	0.0436572913507253	0.10699091243124191
PMS1_0_real_train1	0.02489911152181793	1.1973898229897719e-102	0.04392785085937443	4.015273854781799e-141	0.05690412798312147	0.8742689096356862	1.8365489805185078e-105	1.3674554460407238e-90
PMS2_0_real_train1	0.04953643327104981	3.0138976715712253e-161	0.869679472594679	0.010194690353660356	0.011136125543903813	0.01781580478913776	0.04163747344756923	4.601025168531105e-62
EXO1_0_multinomial_train1	1.41e-321	0.9780729004742751	3.0812233464581045e-241	4.972861628196083e-200	0.02192709952572489	2.406e-321	2.0945259318851851e-206	2.376e-321
EXO1_0_multinomial_train1.1	2.436e-321	0.9621571516468194	3.5854309699799643e-245	0.019090682318410594	1.82e-321	0.01875216603476991	4.141025559110831e-123	3.3733294222552197e-301
EXO1_0_multinomial_train1.2	1.374e-321	0.991734525461577	3.7606336757902515e-216	9.22706597090964e-130	5.86618392509442e-41	0.008265474538423091	1.2465325008971022e-183	2.33e-321
EXO1_0_multinomial_train1.3	1.61e-321	0.9592357990996178	1.784e-321	0.025284118158414266	0.01548008274196809	4.0522952143596723e-79	7.046991755929362e-105	2.184e-321
EXO1_0_multinomial_train1.4	6.9e-322	0.9995243059388201	1.51e-321	8.335296211502322e-190	0.00047569406117973454	1.4429985013483304e-166	6.795914816002083e-231	1.35e-321
EXO1_0_multinomial_train1.5	1.324e-321	0.955985397062706	1.48e-321	7.692829729423479e-27	1.05e-321	0.04401460293729407	7.446969272318743e-240	2.27e-321
EXO1_0_multinomial_train1.6	3.25e-321	0.972408264197532	2.3025576523266203e-232	2.02e-321	0.027591735802467914	1.625e-321	4.5909773326e-314	8.38947019495131e-272
EXO1_0_multinomial_train1.7	1.813e-321	0.9926192520041957	1.59e-321	1.0561865727588791e-47	1.9923155735232756e-13	0.007380747995605075	6.222094137579794e-192	2.475e-321
EXO1_0_multinomial_train1.8	2e-321	0.9973408116314706	6.214724855300137e-66	6.052219141879505e-135	0.002659188368529155	6.4743410386592e-17	3.9805852448546286e-189	2.915e-321
EXO1_0_multinomial_train1.9	1.3e-321	1.0	1.42e-321	3.2906437354122984e-193	2.204e-321	5.061046471197602e-173	5.840861062752535e-293	1.89e-321
EXO1_0_multinomial_train1.10	1.665e-321	0.9544703186172109	3.35e-321	0.02213477562768296	0.007231288710273868	0.016163617044832348	2.6386146886255694e-208	2.594e-321
EXO1_0_multinomial_train1.11	1.76e-321	0.9273435040851272	1.986e-321	1.5495332262920196e-103	0.005558579809503616	0.0670979161053691	3.4038960629717895e-72	2.4e-321
EXO1_0_multinomial_train1.12	2.154e-321	0.953747745511704	2.77e-321	1.1435605385427984e-254	0.025473450991665876	0.02077880349663017	9.912537228982673e-49	2.77e-321
EXO1_0_multinomial_train1.13	1.413e-321	0.9797237379929615	0.004164402082447611	0.007360901445269157	1.124030920674039e-78	0.008750958479321542	6.974025928965814e-38	2.416e-321
EXO1_0_multinomial_train1.14	1.4e-321	0.9887373030848022	3.07e-321	1.4275554756753576e-109	1.4989374755633332e-24	0.011262696915197629	1.122169794693051e-160	2.04e-321
EXO1_0_multinomial_train1.15	3.424e-321	0.9859604236430636	4.187350383690721e-258	0.01403957635693647	3.462064629969615e-232	1.1011198999214503e-62	1.0451334645391242e-211	3.0747388260349714e-254
EXO1_0_multinomial_train1.16	1.7e-321	0.9947148235214882	1.5615800928122824e-263	6.726350165685168e-247	0.0052851764785118984	5.400543368110499e-247	1.777455114856257e-132	2.307e-321
EXO1_0_multinomial_train1.17	2.042466897429376e-170	0.993589361123817	1.038562879411655e-201	0.006410638876183138	1.606e-321	5.744209698513029e-90	2.21e-321	1.1797546700463654e-166
EXO1_0_multinomial_train1.18	1.453e-321	0.9643404967438866	3.57e-321	1.2050115535368956e-226	0.035614761724572806	4.474153154079393e-05	2.705237785849929e-43	2.095e-321
EXO1_0_multinomial_train1.19	1.65e-321	0.992848212990843	1.803e-321	4.281615341661122e-221	0.007151787009156967	8.364536202984843e-250	1.4572780502248536e-195	2.243e-321
EXO1_0_multinomial_train1.20	2.09e-321	0.9828910596319212	1.9e-321	1.7945703912834095e-104	0.01710894036807879	2.034525105767079e-107	1.991912181364812e-215	2.7e-321
EXO1_0_multinomial_train1.21	1.2584032090380519e-253	0.9973292826183353	1.956e-321	4.399955414130858e-224	0.0026707173816647206	6.623595750710999e-205	2.5191096438774415e-254	3.342676699279364e-285
EXO1_0_multinomial_train1.22	2.288e-321	0.9320964805496965	2.584e-321	7.241831229820227e-25	0.0018633124488731134	0.06604020700143029	4.1054417974725077e-119	3.18e-321
EXO1_0_multinomial_train1.23	1.06e-321	0.9330773991452015	2.43e-321	0.04665155702055156	2.288e-321	0.020271043834247018	2.698807126255678e-236	1.74e-321
EXO1_0_multinomial_train1.24	2.32e-321	0.9911894285655843	2.905e-321	0.0017460991879735097	0.007064472246442131	2.498637555612094e-208	1.4899219924421062e-268	1.596455626e-315
EXO1_0_multinomial_train1.25	2.4e-321	0.9730996874534119	1.7058739334496292e-205	2.7867727678981075e-78	1.79e-321	0.026900312546588055	2.1681946182371703e-202	2.083894e-316
EXO1_0_multinomial_train1.26	1.64e-321	0.9835027554072604	5.3985437201402954e-217	1.1140734135851585e-39	1.693340766627553e-210	0.016497244592739616	2.450958306516706e-34	2.56e-321
EXO1_0_multinomial_train1.27	2.836e-321	0.9794187699816986	2.357e-321	0.020581230018301477	7.56636202725738e-222	8.138424125859918e-248	2.297e-321	3.113e-321
EXO1_0_multinomial_train1.28	1.4868751215669913e-77	0.9578235750328057	2.5678740861530414e-191	5.60516390657017e-10	1.01e-321	0.042176424406677814	1.5412811553920966e-284	6.940906266346044e-95
EXO1_0_multinomial_train1.29	1.675e-321	1.0	3.65e-321	8.041884905089121e-232	1.136e-321	2.0091648547371147e-29	2.184e-321	2.604e-321
EXO1_0_multinomial_train1.30	2.846e-321	0.9841731306175133	3.11e-321	2.9e-321	0.015826869382486678	1.1920500483784633e-299	1.1141875040923214e-215	4.817e-321
EXO1_0_multinomial_train1.31	1.383e-321	1.0	3.41e-321	1.2870679508284905e-152	1.0140800920301811e-58	1.6998889267690973e-153	7.175520194033404e-192	2.026e-321
EXO1_0_multinomial_train1.32	9.63e-322	0.9979576288990527	2.11e-321	2.048219783700408e-150	0.0020423711009473194	2.07e-321	2.2312993703121416e-287	1.566e-321
EXO1_0_multinomial_train1.33	2.23e-321	0.9821417791178393	3.13e-321	8.113220803548033e-262	0.017858220882160557	1.125035683694187e-68	3.5583175487679817e-212	3.083e-321
EXO1_0_multinomial_train1.34	1.344e-321	0.9584981947295791	1.87e-321	0.016456971336464662	0.005629763704464369	0.019415070229491894	4.456847452020036e-75	1.96e-321
EXO1_0_multinomial_train1.35	3.2e-321	0.9549381015000845	3.953e-321	0.012314679438935187	0.01442028405674164	0.018326935004238643	3.653101933328729e-34	1.4817118348019252e-273
EXO1_0_multinomial_train1.36	1.443e-321	0.9844804114142528	2.76e-321	4.368725955285686e-268	0.007733911240189689	0.007785677345557305	3.468092322407776e-103	2.446e-321
EXO1_0_multinomial_train1.37	2.787e-321	0.9573526653062426	2.683e-321	1.076621791864685e-117	0.02586733388826644	0.01678000080549095	5.188830719118395e-36	3.36e-321
EXO1_0_multinomial_train1.38	9.73e-322	1.0	9.487546257714584e-233	2.717e-321	4.6627802920838635e-61	3.411295301684348e-181	2.9086972920453978e-28	1.58e-321
EXO1_0_multinomial_train1.39	1.013e-321	0.9954122238023926	3.31e-321	1.0471172391566729e-264	0.004587776197607348	4.439336558935423e-222	2.26782537972753e-105	1.64e-321
EXO1_0_multinomial_train1.40	6.67e-322	0.9564268732478353	3.325e-321	3.3037943800460425e-103	6.566685346172386e-66	0.029959842829107845	0.013613283923056899	1.294e-321
EXO1_0_multinomial_train1.41	1.08e-321	0.9478344301595519	3.25e-321	0.036510030839972396	0.007105992588545587	0.008549546411930007	4.511780047494647e-126	1.764e-321
EXO1_0_multinomial_train1.42	9.7e-322	0.9703319489942874	2.144e-321	4.322791560329767e-149	2.2261120704025222e-27	0.019323614182458638	0.010344436823253804	1.566e-321
EXO1_0_multinomial_train1.43	2.105e-321	1.0	9.343399656083384e-233	1.76e-321	1.9e-321	1.42e-321	1.527e-321	2.386e-321
EXO1_0_multinomial_train1.44	2.39e-321	0.975248662696772	1.1060678753694845e-206	0.003287230494889023	3.00683032954734e-67	0.02146410680833899	5.831821101009626e-104	5.252812348388639e-291
EXO1_0_multinomial_train1.45	3.3487888286388818e-276	0.9761428465440938	1.350075717769e-311	5.6738603490302645e-257	0.023857153455906204	1.643006655020791e-144	1.0008739515363195e-234	2.2503859876414194e-221
