Samples	SBS96A	SBS96B	SBS96C
EXO1_0_real_train1	1.51E-01	3.54E-02	1.63E-26
OGG1_0_real_train1	6.56E-02	1.53E-26	1.62E-01
RNF168_0_real_train1	1.63E-01	3.62E-02	8.56E-03
UNG_0_real_train1	7.29E-02	8.18E-02	5.74E-02
ATP2B4_0_real_train1	1.29E-01	4.82E-02	1.12E-01
ATP2B4_1_real_train1	1.65E-01	5.21E-02	1.36E-01
MLH1_0_real_train1	0.00E+00	1.05E-02	0.00E+00
MSH2_0_real_train1	4.23E-03	1.15E-02	7.35E-27
MSH6_0_real_train1	1.49E-03	1.04E-02	4.48E-04
MSH6_1_real_train1	3.63E-70	9.93E-03	1.42E-03
PMS1_0_real_train1	8.67E-02	5.93E-02	6.82E-02
PMS2_0_real_train1	3.12E-02	3.03E-02	2.87E-107
EXO1_0_multinomial_train1	1.52E-01	3.52E-02	1.63E-26
RNF168_0_multinomial_train1	1.59E-01	3.53E-02	1.31E-02
RNF168_0_multinomial_train1.1	1.65E-01	3.40E-02	1.61E-02
EXO1_0_multinomial_train1.1	1.51E-01	3.53E-02	1.63E-26
RNF168_0_multinomial_train1.2	1.64E-01	3.60E-02	1.43E-02
RNF168_0_multinomial_train1.3	1.63E-01	3.73E-02	1.08E-02
RNF168_0_multinomial_train1.4	1.67E-01	3.69E-02	1.75E-02
RNF168_0_multinomial_train1.5	1.62E-01	3.58E-02	2.03E-03
RNF168_0_multinomial_train1.6	1.71E-01	3.79E-02	1.17E-02
RNF168_0_multinomial_train1.7	1.61E-01	3.68E-02	1.63E-26
RNF168_0_multinomial_train1.8	1.63E-01	3.55E-02	1.24E-02
EXO1_0_multinomial_train1.2	1.55E-01	3.59E-02	1.63E-26
EXO1_0_multinomial_train1.3	1.51E-01	3.48E-02	1.63E-26
RNF168_0_multinomial_train1.9	1.61E-01	3.51E-02	4.98E-03
EXO1_0_multinomial_train1.4	1.50E-01	3.49E-02	1.63E-26
EXO1_0_multinomial_train1.5	1.51E-01	3.55E-02	1.63E-26
EXO1_0_multinomial_train1.6	1.53E-01	3.54E-02	1.63E-26
EXO1_0_multinomial_train1.7	1.49E-01	3.43E-02	1.63E-26
EXO1_0_multinomial_train1.8	1.51E-01	3.55E-02	1.63E-26
RNF168_0_multinomial_train1.10	1.59E-01	3.56E-02	1.54E-02
EXO1_0_multinomial_train1.9	1.52E-01	3.51E-02	1.63E-26
RNF168_0_multinomial_train1.11	1.61E-01	3.68E-02	2.42E-03
RNF168_0_multinomial_train1.12	1.68E-01	3.75E-02	9.02E-03
EXO1_0_multinomial_train1.10	1.49E-01	3.43E-02	1.63E-26
EXO1_0_multinomial_train1.11	1.51E-01	3.55E-02	1.63E-26
RNF168_0_multinomial_train1.13	1.54E-01	3.66E-02	1.63E-26
RNF168_0_multinomial_train1.14	1.63E-01	3.66E-02	1.19E-02
RNF168_0_multinomial_train1.15	1.63E-01	3.71E-02	5.37E-20
RNF168_0_multinomial_train1.16	1.61E-01	3.63E-02	1.29E-02
EXO1_0_multinomial_train1.12	1.54E-01	3.51E-02	1.62E-03
RNF168_0_multinomial_train1.17	1.68E-01	3.80E-02	1.17E-02
EXO1_0_multinomial_train1.13	1.51E-01	3.48E-02	9.51E-04
RNF168_0_multinomial_train1.18	1.58E-01	3.42E-02	1.57E-02
EXO1_0_multinomial_train1.14	1.51E-01	3.53E-02	1.63E-26
RNF168_0_multinomial_train1.19	1.61E-01	3.57E-02	1.63E-26
RNF168_0_multinomial_train1.20	1.58E-01	3.61E-02	1.63E-26
EXO1_0_multinomial_train1.15	1.53E-01	3.58E-02	1.63E-26
RNF168_0_multinomial_train1.21	1.61E-01	3.66E-02	1.25E-02
RNF168_0_multinomial_train1.22	1.63E-01	3.78E-02	1.58E-02
EXO1_0_multinomial_train1.16	1.49E-01	3.52E-02	1.63E-26
EXO1_0_multinomial_train1.17	1.51E-01	3.55E-02	1.63E-26
RNF168_0_multinomial_train1.23	1.62E-01	3.58E-02	2.94E-18
EXO1_0_multinomial_train1.18	1.48E-01	3.50E-02	1.63E-26
RNF168_0_multinomial_train1.24	1.71E-01	3.64E-02	4.82E-03
RNF168_0_multinomial_train1.25	1.66E-01	3.63E-02	7.13E-03
RNF168_0_multinomial_train1.26	1.64E-01	3.58E-02	1.63E-26
RNF168_0_multinomial_train1.27	1.59E-01	3.48E-02	2.05E-02
RNF168_0_multinomial_train1.28	1.65E-01	3.67E-02	2.24E-03
EXO1_0_multinomial_train1.19	1.49E-01	3.51E-02	1.63E-26
RNF168_0_multinomial_train1.29	1.65E-01	3.74E-02	1.40E-03
EXO1_0_multinomial_train1.20	1.53E-01	3.59E-02	1.63E-26
RNF168_0_multinomial_train1.30	1.67E-01	3.63E-02	9.90E-03
RNF168_0_multinomial_train1.31	1.61E-01	3.62E-02	7.07E-03
RNF168_0_multinomial_train1.32	1.64E-01	3.60E-02	5.02E-03
RNF168_0_multinomial_train1.33	1.65E-01	3.47E-02	1.28E-02
EXO1_0_multinomial_train1.21	1.48E-01	3.39E-02	1.63E-26
RNF168_0_multinomial_train1.34	1.65E-01	3.40E-02	1.63E-26
EXO1_0_multinomial_train1.22	1.57E-01	3.63E-02	1.63E-26
EXO1_0_multinomial_train1.23	1.53E-01	3.54E-02	1.63E-26
RNF168_0_multinomial_train1.35	1.68E-01	3.79E-02	8.99E-03
RNF168_0_multinomial_train1.36	1.57E-01	3.50E-02	1.12E-02
EXO1_0_multinomial_train1.24	1.49E-01	3.47E-02	1.63E-26
RNF168_0_multinomial_train1.37	1.62E-01	3.58E-02	5.26E-03
EXO1_0_multinomial_train1.25	1.51E-01	3.55E-02	1.67E-03
RNF168_0_multinomial_train1.38	1.67E-01	3.47E-02	1.01E-02
EXO1_0_multinomial_train1.26	1.50E-01	3.50E-02	1.63E-26
EXO1_0_multinomial_train1.27	1.54E-01	3.54E-02	1.63E-26
EXO1_0_multinomial_train1.28	1.50E-01	3.49E-02	1.63E-26
EXO1_0_multinomial_train1.29	1.53E-01	3.53E-02	1.63E-26
EXO1_0_multinomial_train1.30	1.53E-01	3.55E-02	1.63E-26
RNF168_0_multinomial_train1.39	1.58E-01	3.59E-02	1.63E-26
RNF168_0_multinomial_train1.40	1.60E-01	3.36E-02	1.88E-02
EXO1_0_multinomial_train1.31	1.50E-01	3.53E-02	1.63E-26
EXO1_0_multinomial_train1.32	1.50E-01	3.50E-02	1.63E-26
EXO1_0_multinomial_train1.33	1.53E-01	3.56E-02	1.63E-26
