Samples	SBS96A	SBS96B	SBS96C
EXO1_0_real_train1	3.47E-01	3.33E-26	3.33E-26
OGG1_0_real_train1	1.58E-01	2.63E-01	0.00E+00
RNF168_0_real_train1	3.74E-01	3.33E-26	3.33E-26
UNG_0_real_train1	6.17E-02	1.45E-01	1.71E-01
ATP2B4_0_real_train1	4.28E-28	2.67E-01	2.69E-01
ATP2B4_1_real_train1	1.52E-02	2.96E-01	2.97E-01
MLH1_0_real_train1	0.00E+00	3.62E-01	3.67E-01
MSH2_0_real_train1	3.08E-57	3.53E-01	3.58E-01
MSH6_0_real_train1	4.16E-12	3.50E-01	3.55E-01
MSH6_1_real_train1	3.04E-03	3.54E-01	3.60E-01
PMS1_0_real_train1	0.00E+00	2.11E-01	1.16E-01
PMS2_0_real_train1	0.00E+00	2.30E-01	2.39E-01
EXO1_0_multinomial_train1	3.49E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1	3.71E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.1	3.86E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.1	3.48E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.2	3.81E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.3	3.78E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.4	3.92E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.5	3.62E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.6	3.94E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.7	3.61E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.8	3.79E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.2	3.50E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.3	3.47E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.9	3.65E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.4	3.45E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.5	3.47E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.6	3.49E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.7	3.45E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.8	3.47E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.10	3.81E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.9	3.46E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.11	3.61E-01	3.33E-26	3.22E-26
RNF168_0_multinomial_train1.12	3.83E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.10	3.44E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.11	3.48E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.13	3.56E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.14	3.78E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.15	3.66E-01	3.33E-26	3.10E-26
RNF168_0_multinomial_train1.16	3.77E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.12	3.54E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.17	3.86E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.13	3.48E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.18	3.75E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.14	3.47E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.19	3.61E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.20	3.53E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.15	3.50E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.21	3.80E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.22	3.86E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.16	3.44E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.17	3.45E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.23	3.63E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.18	3.44E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.24	3.78E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.25	3.74E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.26	3.64E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.27	3.81E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.28	3.67E-01	3.33E-26	3.12E-26
EXO1_0_multinomial_train1.19	3.44E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.29	3.68E-01	3.33E-26	3.02E-26
EXO1_0_multinomial_train1.20	3.50E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.30	3.81E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.31	3.66E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.32	3.70E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.33	3.81E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.21	3.44E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.34	3.66E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.22	3.54E-01	3.33E-26	1.33E-41
