Samples	SBS96A	SBS96B	SBS96C
EXO1_0_real_train1	0.6716989634076851	0.32830103659231497	5.04e-322
OGG1_0_real_train1	4.9e-322	4.35e-322	1.0
RNF168_0_real_train1	0.7986241331433797	0.20137586685662032	5.04e-322
UNG_0_real_train1	0.7259118600849673	0.2535777230951514	0.020510416819881142
ATP2B4_0_real_train1	0.7041966850994459	0.024614569830472853	0.2711887450700812
ATP2B4_1_real_train1	0.4933328472686316	0.06214419412640914	0.4445229586049592
MLH1_0_real_train1	7.6e-322	1.0	5.04e-322
MSH2_0_real_train1	2.016e-321	1.0	1.7534373244494312e-59
MSH6_0_real_train1	1.324e-321	1.0	2.11e-321
MSH6_1_real_train1	1.32e-321	1.0	2.5741190089507093e-123
PMS1_0_real_train1	0.5731616629750926	0.2326952566812724	0.19414308034363478
PMS2_0_real_train1	0.18992821493878206	0.8100717850612179	1.067e-321
EXO1_0_multinomial_train1	0.6983053936636527	0.3016946063363473	5.04e-322
RNF168_0_multinomial_train1	0.8486542495785023	0.15134575042149762	4.84e-322
RNF168_0_multinomial_train1.1	0.9393267699447517	0.06067323005524825	5.7e-322
EXO1_0_multinomial_train1.1	0.6273953846868605	0.37260461531313943	4.9e-322
RNF168_0_multinomial_train1.2	0.8367471092980969	0.163252890701903	5.83e-322
RNF168_0_multinomial_train1.3	0.7701172044948554	0.22988279550514462	6.37e-322
RNF168_0_multinomial_train1.4	0.8355177225303212	0.16448227746967886	6.6e-322
RNF168_0_multinomial_train1.5	0.7577746274178164	0.24222537258218366	3.9e-322
RNF168_0_multinomial_train1.6	0.7960847034204313	0.2039152965795688	5.7e-322
RNF168_0_multinomial_train1.7	0.6885969259457414	0.31140307405425843	4.2e-322
RNF168_0_multinomial_train1.8	0.8673315045932372	0.13266849540676276	7.86e-322
EXO1_0_multinomial_train1.2	0.6728022360808552	0.3271977639191447	4.64e-322
EXO1_0_multinomial_train1.3	0.6869134283441003	0.31308657165589976	5.3e-322
RNF168_0_multinomial_train1.9	0.8171188986381888	0.18288110136181113	3.8e-322
EXO1_0_multinomial_train1.4	0.685037256392987	0.3149627436070131	5.24e-322
EXO1_0_multinomial_train1.5	0.6648106983174131	0.335189301682587	5e-322
EXO1_0_multinomial_train1.6	0.6870087593913994	0.3129912406086007	4.9e-322
EXO1_0_multinomial_train1.7	0.6462234523270178	0.3537765476729822	5.4e-322
EXO1_0_multinomial_train1.8	0.6661429575620424	0.33385704243795755	4.9e-322
RNF168_0_multinomial_train1.10	0.8806291336740749	0.11937086632592518	6.4955756565e-314
EXO1_0_multinomial_train1.9	0.6053836852571641	0.39461631474283587	5.6e-322
RNF168_0_multinomial_train1.11	0.7062247488675208	0.2937752511324792	3.85e-322
RNF168_0_multinomial_train1.12	0.7678818604844959	0.2321181395155042	4.64e-322
EXO1_0_multinomial_train1.10	0.612656539862082	0.3873434601379181	5.63e-322
EXO1_0_multinomial_train1.11	0.6405678461934918	0.3594321538065083	4.94e-322
RNF168_0_multinomial_train1.13	0.6052841533349791	0.394715846665021	6.4e-322
RNF168_0_multinomial_train1.14	0.8059136399432523	0.19408636005674768	6.2e-322
RNF168_0_multinomial_train1.15	0.6850716489785422	0.31492835102145783	3.9e-322
RNF168_0_multinomial_train1.16	0.8233128921148458	0.17668710788515418	6.27e-322
EXO1_0_multinomial_train1.12	0.7543538674462775	0.24564613255372242	6.77e-322
RNF168_0_multinomial_train1.17	0.7656319674174665	0.2343680325825336	4.4e-322
EXO1_0_multinomial_train1.13	0.7387243560793029	0.2612756439206973	7.36e-322
RNF168_0_multinomial_train1.18	0.9230480141054432	0.0769519858945568	6.27e-322
EXO1_0_multinomial_train1.14	0.6716444257658776	0.32835557423412254	5.04e-322
RNF168_0_multinomial_train1.19	0.749473721719934	0.2505262782800659	4.15e-322
RNF168_0_multinomial_train1.20	0.6588357310214767	0.34116426897852337	2.4e-322
EXO1_0_multinomial_train1.15	0.6683712367556138	0.33162876324438634	4.8e-322
RNF168_0_multinomial_train1.21	0.8161159088403858	0.1838840911596142	9.54e-322
RNF168_0_multinomial_train1.22	0.7811221284205452	0.21887787157945485	8.5e-322
EXO1_0_multinomial_train1.16	0.6290160579701678	0.3709839420298323	5.34e-322
