Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.867	0.495	49.5%	0.078	62.53%	0.19553	0.761
OGG1_0_real_train1	0.9999999999999968	0.983	0.368	36.8%	0.092	22.774%	0.14203	0.983
RNF168_0_real_train1	0.9999999999999989	0.894	0.48	48.0%	0.072	49.577%	0.19715	0.815
UNG_0_real_train1	0.9999999999999982	0.858	0.635	63.5%	0.104	51.845%	0.38567	0.804
ATP2B4_0_real_train1	0.9999999999999971	0.971	0.42	42.0%	0.062	25.664%	0.20917	0.966
ATP2B4_1_real_train1	0.9999999999999967	0.971	0.455	45.5%	0.076	27.198%	0.20671	0.968
MLH1_0_real_train1	0.9999999999999964	0.972	0.235	23.5%	0.047	24.733%	0.0528	0.962
MSH2_0_real_train1	0.999999999999996	0.984	0.196	19.6%	0.037	19.641%	0.03951	0.979
MSH6_0_real_train1	0.9999999999999951	0.983	0.198	19.8%	0.035	19.06%	0.03693	0.976
MSH6_1_real_train1	0.9999999999999969	0.974	0.236	23.6%	0.044	23.67%	0.05523	0.963
PMS1_0_real_train1	0.9999999999999964	0.897	0.533	53.3%	0.104	45.221%	0.33134	0.873
PMS2_0_real_train1	0.9999999999999952	0.76	0.623	62.3%	0.111	68.898%	0.26162	0.596
EXO1_0_multinomial_train1	0.9999999999999962	0.847	0.517	51.7%	0.083	65.163%	0.21056	0.717
RNF168_0_multinomial_train1	0.999999999999999	0.866	0.567	56.7%	0.083	54.314%	0.32804	0.774
RNF168_0_multinomial_train1.1	0.999999999999999	0.841	0.654	65.4%	0.096	57.058%	0.37604	0.749
EXO1_0_multinomial_train1.1	0.9999999999999961	0.858	0.523	52.3%	0.079	61.296%	0.21477	0.73
RNF168_0_multinomial_train1.2	0.9999999999999989	0.845	0.611	61.1%	0.091	55.213%	0.36414	0.747
RNF168_0_multinomial_train1.3	0.9999999999999989	0.848	0.657	65.7%	0.088	55.702%	0.41381	0.741
RNF168_0_multinomial_train1.4	0.999999999999999	0.898	0.497	49.7%	0.074	45.566%	0.26324	0.832
RNF168_0_multinomial_train1.5	0.999999999999999	0.786	0.683	68.3%	0.103	66.744%	0.40093	0.629
RNF168_0_multinomial_train1.6	0.9999999999999989	0.837	0.626	62.6%	0.094	55.815%	0.38018	0.737
RNF168_0_multinomial_train1.7	0.9999999999999991	0.788	0.683	68.3%	0.1	66.575%	0.4022	0.619
RNF168_0_multinomial_train1.8	0.999999999999999	0.854	0.643	64.3%	0.087	55.402%	0.34278	0.757
EXO1_0_multinomial_train1.2	0.999999999999996	0.85	0.532	53.2%	0.082	62.016%	0.24026	0.716
EXO1_0_multinomial_train1.3	0.9999999999999962	0.824	0.564	56.4%	0.088	68.813%	0.25013	0.663
RNF168_0_multinomial_train1.9	0.999999999999999	0.812	0.663	66.3%	0.097	64.229%	0.40305	0.674
EXO1_0_multinomial_train1.4	0.9999999999999966	0.835	0.551	55.1%	0.086	67.885%	0.24229	0.688
EXO1_0_multinomial_train1.5	0.9999999999999964	0.852	0.515	51.5%	0.082	64.206%	0.2138	0.721
EXO1_0_multinomial_train1.6	0.999999999999996	0.834	0.546	54.6%	0.086	65.763%	0.25364	0.684
EXO1_0_multinomial_train1.7	0.9999999999999961	0.831	0.553	55.3%	0.086	68.191%	0.24789	0.674
EXO1_0_multinomial_train1.8	0.999999999999996	0.857	0.522	52.2%	0.08	62.338%	0.22054	0.733
RNF168_0_multinomial_train1.10	0.9999999999999989	0.852	0.631	63.1%	0.088	56.07%	0.39127	0.755
EXO1_0_multinomial_train1.9	0.9999999999999964	0.807	0.568	56.8%	0.091	70.008%	0.27748	0.616
RNF168_0_multinomial_train1.11	0.9999999999999988	0.815	0.623	62.3%	0.093	62.178%	0.38742	0.669
RNF168_0_multinomial_train1.12	0.999999999999999	0.849	0.595	59.5%	0.088	54.87%	0.33977	0.745
EXO1_0_multinomial_train1.10	0.9999999999999959	0.808	0.569	56.9%	0.091	70.838%	0.28442	0.618
EXO1_0_multinomial_train1.11	0.9999999999999963	0.856	0.513	51.3%	0.08	62.57%	0.22855	0.728
RNF168_0_multinomial_train1.13	0.9999999999999989	0.823	0.642	64.2%	0.089	61.481%	0.39766	0.67
RNF168_0_multinomial_train1.14	0.999999999999999	0.863	0.599	59.9%	0.083	52.943%	0.37055	0.768
RNF168_0_multinomial_train1.15	0.9999999999999989	0.804	0.641	64.1%	0.097	63.925%	0.35679	0.65
RNF168_0_multinomial_train1.16	0.9999999999999989	0.853	0.628	62.8%	0.087	55.159%	0.34944	0.753
EXO1_0_multinomial_train1.12	0.9999999999999957	0.848	0.519	51.9%	0.084	63.344%	0.24431	0.723
RNF168_0_multinomial_train1.17	0.999999999999999	0.864	0.565	56.5%	0.084	51.83%	0.29786	0.773
EXO1_0_multinomial_train1.13	0.9999999999999964	0.839	0.55	55.0%	0.086	66.487%	0.26646	0.703
RNF168_0_multinomial_train1.18	0.999999999999999	0.879	0.571	57.1%	0.081	52.882%	0.32234	0.802
EXO1_0_multinomial_train1.14	0.999999999999996	0.848	0.53	53.0%	0.083	65.287%	0.22652	0.714
RNF168_0_multinomial_train1.19	0.9999999999999989	0.771	0.695	69.5%	0.105	69.156%	0.42525	0.597
RNF168_0_multinomial_train1.20	0.9999999999999991	0.759	0.734	73.4%	0.105	71.383%	0.44282	0.558
EXO1_0_multinomial_train1.15	0.9999999999999964	0.853	0.538	53.8%	0.081	62.578%	0.24219	0.723
RNF168_0_multinomial_train1.21	0.9999999999999989	0.852	0.607	60.7%	0.087	55.556%	0.34146	0.75
RNF168_0_multinomial_train1.22	0.9999999999999989	0.865	0.553	55.3%	0.084	51.275%	0.31675	0.776
EXO1_0_multinomial_train1.16	0.9999999999999962	0.839	0.537	53.7%	0.084	66.567%	0.25732	0.691
EXO1_0_multinomial_train1.17	0.9999999999999958	0.842	0.539	53.9%	0.084	66.169%	0.23902	0.698
RNF168_0_multinomial_train1.23	0.999999999999999	0.761	0.724	72.4%	0.108	69.705%	0.45953	0.587
EXO1_0_multinomial_train1.18	0.9999999999999963	0.849	0.539	53.9%	0.082	64.738%	0.23864	0.714
RNF168_0_multinomial_train1.24	0.9999999999999991	0.8	0.693	69.3%	0.103	62.06%	0.41072	0.672
RNF168_0_multinomial_train1.25	0.999999999999999	0.839	0.619	61.9%	0.09	57.664%	0.32577	0.725
RNF168_0_multinomial_train1.26	0.999999999999999	0.797	0.647	64.7%	0.099	65.79%	0.35853	0.643
RNF168_0_multinomial_train1.27	0.999999999999999	0.894	0.559	55.9%	0.076	47.898%	0.31523	0.828
RNF168_0_multinomial_train1.28	0.999999999999999	0.806	0.675	67.5%	0.097	62.856%	0.41494	0.661
EXO1_0_multinomial_train1.19	0.9999999999999963	0.846	0.528	52.8%	0.082	64.173%	0.24697	0.703
RNF168_0_multinomial_train1.29	0.9999999999999991	0.818	0.65	65.0%	0.093	61.072%	0.36274	0.677
EXO1_0_multinomial_train1.20	0.9999999999999961	0.863	0.505	50.5%	0.079	60.839%	0.20787	0.745
RNF168_0_multinomial_train1.30	0.999999999999999	0.864	0.573	57.3%	0.083	53.12%	0.31437	0.769
RNF168_0_multinomial_train1.31	0.9999999999999991	0.844	0.59	59.0%	0.087	58.237%	0.3314	0.725
RNF168_0_multinomial_train1.32	0.9999999999999991	0.795	0.679	67.9%	0.102	64.776%	0.41817	0.652
RNF168_0_multinomial_train1.33	0.999999999999999	0.854	0.61	61.0%	0.088	54.957%	0.34763	0.762
