Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.935	0.325	32.5%	0.051	40.885%	0.09632	0.865
OGG1_0_real_train1	0.9999999999999968	0.987	0.295	29.5%	0.065	16.09%	13.6881	0.987
RNF168_0_real_train1	0.9999999999999989	0.944	0.386	38.6%	0.048	33.051%	0.13961	0.888
UNG_0_real_train1	0.9999999999999982	0.861	0.635	63.5%	0.103	51.346%	0.37544	0.812
ATP2B4_0_real_train1	0.9999999999999971	0.965	0.417	41.7%	0.067	27.734%	0.21472	0.959
ATP2B4_1_real_train1	0.9999999999999967	0.966	0.445	44.5%	0.076	27.198%	0.20723	0.962
MLH1_0_real_train1	0.9999999999999964	0.957	0.281	28.1%	0.058	30.521%	0.07404	0.943
MSH2_0_real_train1	0.999999999999996	0.975	0.232	23.2%	0.046	24.418%	0.05289	0.969
MSH6_0_real_train1	0.9999999999999951	0.971	0.237	23.7%	0.046	25.051%	0.05232	0.96
MSH6_1_real_train1	0.9999999999999969	0.96	0.285	28.5%	0.054	29.05%	0.07104	0.945
PMS1_0_real_train1	0.9999999999999964	0.889	0.543	54.3%	0.107	46.525%	0.32987	0.861
PMS2_0_real_train1	0.9999999999999952	0.758	0.63	63.0%	0.109	67.657%	0.27425	0.581
EXO1_0_multinomial_train1	0.9999999999999962	0.918	0.359	35.9%	0.056	43.965%	0.1169	0.822
RNF168_0_multinomial_train1	0.999999999999999	0.899	0.503	50.3%	0.067	43.844%	0.2707	0.81
RNF168_0_multinomial_train1.1	0.999999999999999	0.874	0.573	57.3%	0.082	48.737%	0.34276	0.792
EXO1_0_multinomial_train1.1	0.9999999999999961	0.914	0.378	37.8%	0.057	44.226%	0.12724	0.808
RNF168_0_multinomial_train1.2	0.9999999999999989	0.87	0.584	58.4%	0.081	49.145%	0.33923	0.778
RNF168_0_multinomial_train1.3	0.9999999999999989	0.887	0.554	55.4%	0.073	46.207%	0.34207	0.796
RNF168_0_multinomial_train1.4	0.999999999999999	0.922	0.481	48.1%	0.063	38.792%	0.2441	0.868
RNF168_0_multinomial_train1.5	0.999999999999999	0.852	0.573	57.3%	0.082	53.136%	0.31165	0.724
RNF168_0_multinomial_train1.6	0.9999999999999989	0.883	0.57	57.0%	0.079	46.909%	0.31597	0.808
RNF168_0_multinomial_train1.7	0.9999999999999991	0.849	0.592	59.2%	0.081	53.925%	0.31503	0.707
