Samples	SBS96A	SBS96B	SBS96C	SBS96D
EXO1_0_real_train1	0.9679983721936236	0.027398023135435108	2.645748779623853e-151	0.00460360467094135
OGG1_0_real_train1	5.917168222096347e-214	0.007972832244503783	3.5450067816120464e-70	0.9920271677554963
RNF168_0_real_train1	0.9411432379749819	1.1492393593026676e-96	6.853281664767713e-16	0.05885676202501741
UNG_0_real_train1	0.5022276900189888	0.20301905851579194	0.29475325146521936	1.184163506137559e-80
ATP2B4_0_real_train1	0.282982140350228	0.030712465874109994	0.6435173325686693	0.04278806120699273
ATP2B4_1_real_train1	8.767204574033512e-117	0.07406785340713469	0.9067491002736137	0.019183046319251575
MLH1_0_real_train1	1.423e-321	1.0	7.66e-322	1.823e-321
MSH2_0_real_train1	2.495e-321	0.9870767472389173	5.194781231442639e-248	0.012923252761082686
MSH6_0_real_train1	1.774e-321	0.9911949460841903	1.79e-321	0.008805053915809795
MSH6_1_real_train1	1.45e-321	0.9843048790799118	1.22e-321	0.015695120920088027
PMS1_0_real_train1	0.07293272870755109	0.2955992562846506	0.6314680150077983	6.445861526069198e-256
PMS2_0_real_train1	0.35614844180287447	0.641122411952182	2.0262760861057788e-271	0.0027291462449436465
EXO1_0_multinomial_train1	0.975747565844476	0.007829591973323077	2.273e-321	0.016422842182201004
RNF168_0_multinomial_train1	0.8514957667884734	1.956521221845779e-210	0.14850423321152675	1.718801830563245e-48
RNF168_0_multinomial_train1.1	0.8586410879387819	1.24e-321	0.09956295786169024	0.041795954199528015
EXO1_0_multinomial_train1.1	0.8909130156900786	0.08981969476235278	1.860627e-318	0.01926728954756858
RNF168_0_multinomial_train1.2	0.8453830745613282	6.373801597490881e-53	0.14938627889347644	0.005230646545195386
RNF168_0_multinomial_train1.3	0.892478242359334	0.02919359197374441	0.028419081469411925	0.049909084197509744
RNF168_0_multinomial_train1.4	0.8429806652583156	0.015520662332348261	0.08596907296404081	0.055529599445295424
RNF168_0_multinomial_train1.5	0.9811206159552316	2.895e-321	0.01887938404476835	1.457e-321
RNF168_0_multinomial_train1.6	0.9307833827078993	3.4623798270147394e-15	2.8671226698202564e-138	0.06921661729209727
RNF168_0_multinomial_train1.7	0.9664869211168098	0.020155594181738984	7.45810084116016e-218	0.013357484701451408
RNF168_0_multinomial_train1.8	0.8987761251381029	1.033825207757758e-250	1.4365488603991852e-129	0.10122387486189707
EXO1_0_multinomial_train1.2	0.9826475195355701	0.017352480464430105	1.270259236771121e-136	1.546e-321
EXO1_0_multinomial_train1.3	0.9590995460382944	0.019499174753931897	1.853e-321	0.0214012792077736
RNF168_0_multinomial_train1.9	0.9606058031851673	2.04e-321	0.007239457970469561	0.0321547388443632
EXO1_0_multinomial_train1.4	0.9963501036229774	0.0036498963770227183	1.890225026855603e-176	8.322979879863026e-86
EXO1_0_multinomial_train1.5	0.9441750015900954	0.044638857835869586	9.602332604071544e-174	0.011186140574035015
EXO1_0_multinomial_train1.6	1.0	1.145186957156596e-30	5.48751343822072e-257	2.6787024985256624e-139
EXO1_0_multinomial_train1.7	0.9490775040166701	0.04477666437545197	2.456e-321	0.006145831607877797
EXO1_0_multinomial_train1.8	0.9368069126463213	0.05150528042496633	7.044737028742377e-29	0.011687806928712376
RNF168_0_multinomial_train1.10	0.8680231658810724	2.408200350653957e-94	1.2275196048824694e-255	0.1319768341189276
EXO1_0_multinomial_train1.9	0.9551193768148	0.0448806231851999	7.95e-322	9.73e-322
RNF168_0_multinomial_train1.11	0.9574279926471772	0.016858766377333568	0.025713240975489274	1.744512953930385e-154
RNF168_0_multinomial_train1.12	0.9168343775386947	0.02268644410336243	1.769980471592677e-18	0.06047917835794293
EXO1_0_multinomial_train1.10	0.9492340195312778	0.05076598046872203	1.374e-321	1.013e-321
EXO1_0_multinomial_train1.11	0.9276052964826018	0.06353775574822801	1.9546251401719024e-222	0.00885694776917011
RNF168_0_multinomial_train1.13	0.8207184376438844	0.1448689246799146	8.462244335599653e-264	0.034412637676200904
RNF168_0_multinomial_train1.14	0.8873788389520157	0.003266939700349325	0.08393941557591246	0.025414805771722386
RNF168_0_multinomial_train1.15	0.9444450124389139	0.0335672452064331	7.826377684223065e-289	0.021987742354653016
RNF168_0_multinomial_train1.16	0.8914994353344199	0.008563525421809992	0.0226184279043531	0.07731861133941696
EXO1_0_multinomial_train1.12	0.963050078276337	2.574997332169703e-108	4.664240940244981e-248	0.03694992172366312
RNF168_0_multinomial_train1.17	0.8745334402546522	0.030522027128566654	0.07463737620239715	0.020307156414383944
EXO1_0_multinomial_train1.13	0.9695316664621266	2.0644910241069457e-39	3.669074774277661e-191	0.030468333537873333
RNF168_0_multinomial_train1.18	0.8409900392849615	2.164e-321	0.10337122722767074	0.05563873348736785
EXO1_0_multinomial_train1.14	0.9585756516332895	0.030279265817420683	1.1372753132957156e-280	0.011145082549289866
RNF168_0_multinomial_train1.19	0.9705954474168758	1.9014170733621512e-177	6.792606236485292e-301	0.02940455258312415
RNF168_0_multinomial_train1.20	0.9999999999999999	4.364336187796358e-47	9.04e-322	6.2e-322
EXO1_0_multinomial_train1.15	0.9651297529418845	0.030006842077371344	3.1816046375707417e-168	0.00486340498074422
RNF168_0_multinomial_train1.21	0.8764008142514093	0.021375694727601396	4.5446947992687366e-207	0.10222349102098932
RNF168_0_multinomial_train1.22	0.7993319859171139	0.07040780705888287	0.07110434012803649	0.05915586689596684
EXO1_0_multinomial_train1.16	0.9489694683746219	0.05103053162537811	2.406e-321	1.98e-321
EXO1_0_multinomial_train1.17	0.9652440301602792	0.034755969839720895	2.1e-321	1.937e-321
RNF168_0_multinomial_train1.23	0.9662546612117254	1.9547038302383927e-208	1.65e-321	0.033745338788274536
EXO1_0_multinomial_train1.18	0.9354181146967143	0.06189219878288445	5.898653045922917e-07	0.002689096655096648
RNF168_0_multinomial_train1.24	0.9516439670910011	2.594e-321	0.04835603290899891	4.7419710598477003e-35
