Samples	SBS96A	SBS96B	SBS96C	SBS96D
EXO1_0_real_train1	1.80E-04	0.00E+00	0.00E+00	0.00E+00
OGG1_0_real_train1	0.00E+00	7.66E-04	6.08E-37	8.15E-04
RNF168_0_real_train1	1.16E-03	0.00E+00	1.50E-03	8.31E-04
UNG_0_real_train1	1.04E-03	8.72E-04	0.00E+00	4.36E-04
ATP2B4_0_real_train1	4.24E-03	4.22E-03	8.07E-03	6.41E-63
ATP2B4_1_real_train1	8.02E-03	3.09E-03	1.08E-02	3.48E-10
MLH1_0_real_train1	0.00E+00	3.87E-04	0.00E+00	0.00E+00
MSH2_0_real_train1	0.00E+00	4.07E-04	1.17E-08	2.02E-04
MSH6_0_real_train1	0.00E+00	2.61E-04	1.81E-144	1.92E-04
MSH6_1_real_train1	0.00E+00	1.37E-04	0.00E+00	1.95E-04
PMS1_0_real_train1	0.00E+00	4.21E-02	6.17E-03	2.87E-03
PMS2_0_real_train1	0.00E+00	3.97E-04	5.36E-04	0.00E+00
EXO1_0_multinomial_train1	1.92E-04	0.00E+00	0.00E+00	1.50E-124
RNF168_0_multinomial_train1	1.84E-03	0.00E+00	1.55E-03	6.64E-64
RNF168_0_multinomial_train1.1	1.83E-03	0.00E+00	1.67E-03	6.66E-04
EXO1_0_multinomial_train1.1	1.90E-04	0.00E+00	0.00E+00	7.20E-159
RNF168_0_multinomial_train1.2	1.75E-03	0.00E+00	1.43E-03	7.13E-27
RNF168_0_multinomial_train1.3	1.29E-03	0.00E+00	1.13E-03	2.41E-04
RNF168_0_multinomial_train1.4	1.69E-03	0.00E+00	1.35E-03	3.71E-04
RNF168_0_multinomial_train1.5	4.11E-04	0.00E+00	2.92E-04	0.00E+00
RNF168_0_multinomial_train1.6	4.93E-04	0.00E+00	8.42E-04	5.25E-04
RNF168_0_multinomial_train1.7	1.29E-04	0.00E+00	0.00E+00	1.12E-38
RNF168_0_multinomial_train1.8	2.80E-03	0.00E+00	3.90E-03	1.96E-03
EXO1_0_multinomial_train1.2	1.64E-04	0.00E+00	2.54E-152	0.00E+00
EXO1_0_multinomial_train1.3	2.51E-04	0.00E+00	0.00E+00	1.54E-132
RNF168_0_multinomial_train1.9	7.06E-04	0.00E+00	5.24E-04	1.42E-27
EXO1_0_multinomial_train1.4	1.95E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.5	1.78E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.6	1.61E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.7	1.63E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.8	1.48E-04	0.00E+00	1.18E-101	0.00E+00
RNF168_0_multinomial_train1.10	2.29E-03	0.00E+00	3.15E-03	1.60E-03
EXO1_0_multinomial_train1.9	2.06E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.11	7.68E-04	0.00E+00	6.14E-04	7.27E-108
RNF168_0_multinomial_train1.12	7.58E-04	0.00E+00	6.94E-04	3.94E-04
EXO1_0_multinomial_train1.10	1.71E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.11	1.48E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.13	2.45E-04	1.41E-04	1.32E-75	5.48E-06
RNF168_0_multinomial_train1.14	1.59E-03	0.00E+00	1.33E-03	1.28E-16
RNF168_0_multinomial_train1.15	2.10E-04	0.00E+00	9.48E-161	1.50E-04
RNF168_0_multinomial_train1.16	1.49E-03	0.00E+00	1.42E-03	4.05E-04
EXO1_0_multinomial_train1.12	2.77E-04	0.00E+00	2.44E-27	1.41E-04
RNF168_0_multinomial_train1.17	1.51E-03	0.00E+00	1.29E-03	9.88E-16
EXO1_0_multinomial_train1.13	2.24E-04	0.00E+00	2.15E-42	2.18E-15
RNF168_0_multinomial_train1.18	1.97E-03	0.00E+00	1.93E-03	6.97E-04
EXO1_0_multinomial_train1.14	1.76E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.19	3.02E-04	0.00E+00	2.64E-154	1.51E-04
RNF168_0_multinomial_train1.20	1.08E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.15	1.49E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.21	2.01E-03	0.00E+00	2.75E-03	1.38E-03
RNF168_0_multinomial_train1.22	1.75E-03	0.00E+00	1.72E-03	6.24E-04
EXO1_0_multinomial_train1.16	1.44E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.17	1.85E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.23	2.94E-04	0.00E+00	0.00E+00	1.48E-04
EXO1_0_multinomial_train1.18	1.57E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.24	8.10E-04	0.00E+00	6.30E-04	6.20E-72
RNF168_0_multinomial_train1.25	1.02E-03	0.00E+00	8.33E-04	6.96E-100
RNF168_0_multinomial_train1.26	1.68E-04	0.00E+00	1.11E-65	4.72E-66
RNF168_0_multinomial_train1.27	2.18E-03	0.00E+00	1.87E-03	6.27E-04
RNF168_0_multinomial_train1.28	6.37E-04	0.00E+00	5.20E-04	4.72E-05
EXO1_0_multinomial_train1.19	1.91E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.29	1.03E-04	0.00E+00	1.70E-05	6.06E-48
EXO1_0_multinomial_train1.20	1.70E-04	0.00E+00	1.19E-114	1.29E-134
RNF168_0_multinomial_train1.30	9.74E-04	0.00E+00	8.28E-04	3.90E-04
RNF168_0_multinomial_train1.31	1.07E-03	0.00E+00	8.69E-04	1.38E-100
RNF168_0_multinomial_train1.32	6.29E-04	0.00E+00	1.04E-03	5.88E-04
RNF168_0_multinomial_train1.33	1.33E-03	0.00E+00	1.13E-03	1.89E-136
EXO1_0_multinomial_train1.21	1.47E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.34	3.35E-04	0.00E+00	0.00E+00	1.48E-04
EXO1_0_multinomial_train1.22	1.63E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.23	1.68E-04	0.00E+00	1.67E-149	0.00E+00
RNF168_0_multinomial_train1.35	1.60E-03	0.00E+00	2.19E-03	1.05E-03
RNF168_0_multinomial_train1.36	1.60E-03	0.00E+00	1.32E-03	2.43E-84
EXO1_0_multinomial_train1.24	2.85E-04	0.00E+00	6.37E-50	5.02E-141
RNF168_0_multinomial_train1.37	5.39E-04	0.00E+00	4.26E-04	1.18E-86
EXO1_0_multinomial_train1.25	4.72E-04	0.00E+00	3.05E-04	9.63E-31
RNF168_0_multinomial_train1.38	1.11E-03	0.00E+00	1.69E-03	1.14E-03
EXO1_0_multinomial_train1.26	2.09E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.27	1.74E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.28	1.96E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.29	1.88E-04	0.00E+00	7.61E-156	0.00E+00
EXO1_0_multinomial_train1.30	1.64E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.39	1.90E-04	0.00E+00	0.00E+00	1.36E-04
RNF168_0_multinomial_train1.40	2.10E-03	0.00E+00	1.87E-03	3.80E-04
EXO1_0_multinomial_train1.31	1.55E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.32	1.91E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.33	1.75E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.41	3.83E-04	0.00E+00	6.05E-04	5.41E-04
RNF168_0_multinomial_train1.42	1.48E-03	0.00E+00	2.26E-03	1.20E-03
EXO1_0_multinomial_train1.34	1.50E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.43	1.38E-03	0.00E+00	1.10E-03	2.40E-14
EXO1_0_multinomial_train1.35	7.41E-04	0.00E+00	6.02E-04	1.48E-55
EXO1_0_multinomial_train1.36	2.00E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.44	1.44E-03	0.00E+00	1.25E-03	3.59E-04
EXO1_0_multinomial_train1.37	1.42E-04	0.00E+00	0.00E+00	0.00E+00
RNF168_0_multinomial_train1.45	1.54E-03	0.00E+00	1.27E-03	4.06E-70
RNF168_0_multinomial_train1.46	2.99E-04	0.00E+00	1.62E-30	1.55E-04
RNF168_0_multinomial_train1.47	4.93E-04	0.00E+00	3.84E-04	0.00E+00
RNF168_0_multinomial_train1.48	9.03E-04	0.00E+00	7.26E-04	0.00E+00
