NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.461	46.051	0.073	35.35	118.94	0.877	15000.0
2	0.46	45.98	0.072	35.277	1.633	0.878	15000.0
3	0.456	45.626	0.072	35.092	0.791	0.879	15000.0
4	0.459	45.932	0.072	35.215	5.13	0.877	25000.0
5	0.456	45.613	0.072	35.07	5.86	0.879	15000.0
6	0.457	45.66	0.072	35.106	1.644	0.879	15000.0
7	0.457	45.653	0.072	35.142	1.646	0.879	15000.0
8	0.456	45.595	0.072	35.009	14.128	0.879	15000.0
9	0.457	45.685	0.072	35.181	5.12	0.878	25000.0
10	0.46	45.999	0.072	35.273	9.31	0.877	30000.0
