Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.954	0.289	28.9%	0.041	32.868%	0.08547	0.892
OGG1_0_real_train1	0.9999999999999968	0.997	0.195	19.5%	0.032	7.921%	0.50047	0.997
RNF168_0_real_train1	0.9999999999999989	0.945	0.371	37.1%	0.048	33.051%	0.14746	0.889
UNG_0_real_train1	0.9999999999999982	0.877	0.6	60.0%	0.098	48.854%	0.35146	0.835
ATP2B4_0_real_train1	0.9999999999999971	0.976	0.389	38.9%	0.054	22.353%	0.19568	0.971
ATP2B4_1_real_train1	0.9999999999999967	0.986	0.348	34.8%	0.049	17.536%	0.16505	0.983
MLH1_0_real_train1	0.9999999999999964	0.974	0.228	22.8%	0.044	23.154%	0.61704	0.964
MSH2_0_real_train1	0.999999999999996	0.985	0.184	18.4%	0.034	18.048%	0.76005	0.979
MSH6_0_real_train1	0.9999999999999951	0.983	0.207	20.7%	0.034	18.516%	0.3177	0.975
MSH6_1_real_train1	0.9999999999999969	0.974	0.238	23.8%	0.043	23.132%	1.71899	0.963
PMS1_0_real_train1	0.9999999999999964	0.916	0.46	46.0%	0.092	40.003%	0.26877	0.894
PMS2_0_real_train1	0.9999999999999952	0.756	0.63	63.0%	0.109	67.657%	0.27785	0.573
EXO1_0_multinomial_train1	0.9999999999999962	0.936	0.321	32.1%	0.048	37.684%	0.10971	0.848
RNF168_0_multinomial_train1	0.999999999999999	0.895	0.506	50.6%	0.069	45.153%	0.27721	0.804
RNF168_0_multinomial_train1.1	0.999999999999999	0.868	0.585	58.5%	0.083	49.331%	0.35097	0.782
EXO1_0_multinomial_train1.1	0.9999999999999961	0.927	0.359	35.9%	0.051	39.571%	0.11971	0.823
RNF168_0_multinomial_train1.2	0.9999999999999989	0.864	0.593	59.3%	0.083	50.359%	0.35117	0.768
RNF168_0_multinomial_train1.3	0.9999999999999989	0.888	0.541	54.1%	0.073	46.207%	0.34072	0.799
RNF168_0_multinomial_train1.4	0.999999999999999	0.918	0.488	48.8%	0.064	39.408%	0.25359	0.861
RNF168_0_multinomial_train1.5	0.999999999999999	0.869	0.552	55.2%	0.076	49.248%	0.30396	0.751
RNF168_0_multinomial_train1.6	0.9999999999999989	0.891	0.571	57.1%	0.077	45.721%	0.31407	0.823
RNF168_0_multinomial_train1.7	0.9999999999999991	0.866	0.575	57.5%	0.075	49.931%	0.30844	0.734
RNF168_0_multinomial_train1.8	0.999999999999999	0.891	0.546	54.6%	0.071	45.214%	0.3047	0.804
EXO1_0_multinomial_train1.2	0.999999999999996	0.941	0.345	34.5%	0.046	34.789%	0.12169	0.859
