Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_real_train1	0.8788201921003993	0.005455372229289962	0.09907814710845557	5.08e-321	0.016646288561855283	4.18e-321
OGG1_0_real_train1	1.068964736234345e-252	0.011028413269036304	0.05286644242523029	1.1160944639396741e-253	0.19447997003399542	0.7416251742717381
RNF168_0_real_train1	0.8413934326713695	6.49e-321	0.04022566644098881	6.46e-321	0.09198013522177313	0.026400765665868544
UNG_0_real_train1	0.03405860946551345	4.51e-321	0.8382704942668636	0.11871208411827948	0.008956658835874319	2.153313469191931e-06
ATP2B4_0_real_train1	0.12990086150471702	3.646e-321	0.11047910706959005	0.43747916352145766	0.28143758331634877	0.04070328458788658
ATP2B4_1_real_train1	5.85e-321	0.01683939734653564	1.625e-321	0.7684812284596068	0.21467937419385758	2.223e-321
MLH1_0_real_train1	1.74e-321	0.8834384694606402	0.11656153053935966	2.045e-321	1.75e-321	1.51e-321
MSH2_0_real_train1	1.64e-321	0.8267394996914175	0.1444159301391579	1.79e-321	0.028844570169424506	1.225e-321
MSH6_0_real_train1	2.09e-321	0.8958895975580448	0.07697427134602329	1.1556e-320	0.021700858711732406	0.005435272384199688
MSH6_1_real_train1	2.367e-321	0.9169094726005612	0.06171556333299826	7.347016006440034e-204	2.317e-321	0.021374964066440516
PMS1_0_real_train1	4.22e-321	0.144059008710194	0.09592958572933714	0.280928854379219	0.4655345396720998	0.013548011509150039
PMS2_0_real_train1	0.39581077545200166	0.5954428347359917	6.27e-322	3.18e-321	1.3e-321	0.00874638981200653
EXO1_0_multinomial_train1	0.9045847267536467	6.8155192125922555e-133	0.08334786077963294	7.243e-321	2.94e-321	0.01206741246672025
RNF168_0_multinomial_train1	0.7832881468331901	3.636e-321	0.019261985895642562	0.1093877243513504	0.08806214291981686	2.757e-321
RNF168_0_multinomial_train1.1	0.7876049364526505	1.324e-321	3.23e-321	6.196e-321	0.1751817962146615	0.037213267332688
EXO1_0_multinomial_train1.1	0.858805257670325	0.07723306989699685	0.03362416698383769	4.86e-321	0.015520105909014438	0.0148173995398259
RNF168_0_multinomial_train1.2	0.8008729386688683	0.004430086813423723	1.546e-321	9.83e-321	0.16014216757113683	0.034554806946571114
