Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
EXO1_0_real_train1	1.81E-03	1.33E-88	3.38E-03	1.77E-03	0.00E+00	2.47E-03	1.81E-03
OGG1_0_real_train1	1.32E-158	1.35E-03	5.86E-03	4.35E-02	8.69E-02	1.31E-03	4.31E-02
RNF168_0_real_train1	9.94E-04	0.00E+00	5.25E-03	9.15E-03	3.17E-03	1.08E-02	1.74E-03
UNG_0_real_train1	1.31E-04	0.00E+00	2.64E-03	5.23E-03	3.50E-03	1.86E-03	1.49E-03
ATP2B4_0_real_train1	8.77E-03	3.44E-03	3.75E-03	9.89E-02	6.83E-02	5.62E-02	6.16E-02
ATP2B4_1_real_train1	0.00E+00	3.95E-03	0.00E+00	1.23E-01	9.23E-02	5.43E-02	7.01E-02
MLH1_0_real_train1	0.00E+00	1.88E-02	1.47E-02	3.26E-02	0.00E+00	2.41E-03	7.08E-03
MSH2_0_real_train1	2.87E-113	1.69E-02	1.92E-02	3.19E-02	0.00E+00	4.72E-03	4.69E-05
MSH6_0_real_train1	0.00E+00	2.48E-02	8.92E-03	4.11E-02	4.46E-04	7.09E-03	3.47E-03
MSH6_1_real_train1	0.00E+00	2.90E-02	9.46E-03	4.37E-02	3.22E-03	0.00E+00	3.00E-03
PMS1_0_real_train1	0.00E+00	4.14E-02	0.00E+00	6.87E-03	2.76E-02	5.92E-02	1.31E-02
PMS2_0_real_train1	2.33E-02	5.71E-02	0.00E+00	9.61E-02	3.23E-03	3.67E-03	1.25E-03
EXO1_0_multinomial_train1	2.85E-03	0.00E+00	8.36E-04	9.65E-04	8.70E-04	0.00E+00	5.02E-03
RNF168_0_multinomial_train1	7.93E-04	0.00E+00	2.21E-03	1.73E-02	9.80E-03	1.15E-02	6.99E-03
RNF168_0_multinomial_train1.1	5.18E-03	0.00E+00	0.00E+00	1.75E-02	3.86E-03	1.82E-02	1.83E-03
EXO1_0_multinomial_train1.1	2.16E-03	1.45E-03	2.63E-03	1.99E-03	1.18E-03	8.86E-04	2.41E-03
RNF168_0_multinomial_train1.2	3.15E-03	0.00E+00	0.00E+00	1.76E-02	3.89E-03	1.61E-02	1.56E-03
RNF168_0_multinomial_train1.3	1.49E-03	2.33E-03	4.78E-03	6.67E-03	8.18E-04	6.56E-03	1.28E-03
RNF168_0_multinomial_train1.4	2.87E-04	5.59E-04	2.18E-03	1.63E-02	4.67E-03	1.29E-02	1.86E-03
RNF168_0_multinomial_train1.5	1.05E-03	0.00E+00	1.19E-02	6.16E-03	0.00E+00	1.62E-02	0.00E+00
RNF168_0_multinomial_train1.6	1.50E-03	0.00E+00	6.46E-03	8.66E-03	6.04E-03	7.82E-03	1.70E-03
RNF168_0_multinomial_train1.7	1.54E-03	9.98E-120	8.54E-03	5.57E-03	1.92E-03	8.86E-03	0.00E+00
RNF168_0_multinomial_train1.8	4.66E-03	0.00E+00	0.00E+00	7.89E-03	9.08E-03	5.89E-03	3.88E-03
EXO1_0_multinomial_train1.2	9.68E-04	3.09E-37	6.89E-03	0.00E+00	0.00E+00	5.45E-03	0.00E+00
EXO1_0_multinomial_train1.3	2.27E-03	4.48E-60	0.00E+00	2.11E-03	1.45E-03	0.00E+00	4.51E-03
RNF168_0_multinomial_train1.9	2.13E-03	0.00E+00	1.55E-03	1.11E-02	2.23E-03	8.09E-03	1.80E-03
EXO1_0_multinomial_train1.4	1.29E-03	0.00E+00	4.96E-03	2.39E-03	0.00E+00	3.32E-03	6.66E-04
EXO1_0_multinomial_train1.5	2.51E-03	2.03E-35	1.70E-03	1.14E-03	2.02E-04	1.80E-03	3.52E-03
EXO1_0_multinomial_train1.6	1.62E-03	0.00E+00	4.93E-03	2.69E-03	0.00E+00	2.97E-03	5.97E-04
EXO1_0_multinomial_train1.7	1.43E-03	1.80E-131	1.81E-03	1.92E-03	0.00E+00	2.38E-04	1.71E-03
EXO1_0_multinomial_train1.8	9.53E-04	1.54E-03	5.15E-03	1.23E-03	0.00E+00	2.48E-03	0.00E+00
RNF168_0_multinomial_train1.10	1.93E-03	0.00E+00	1.05E-03	5.23E-03	1.03E-02	6.69E-41	5.00E-03
EXO1_0_multinomial_train1.9	2.66E-03	1.79E-03	0.00E+00	2.91E-03	0.00E+00	1.52E-03	0.00E+00
RNF168_0_multinomial_train1.11	6.89E-04	7.78E-130	6.88E-03	4.51E-03	0.00E+00	9.17E-03	0.00E+00
RNF168_0_multinomial_train1.12	7.99E-04	8.63E-04	1.01E-38	1.35E-02	3.49E-03	1.07E-02	2.29E-03
EXO1_0_multinomial_train1.10	1.59E-03	1.12E-03	7.63E-03	4.87E-04	0.00E+00	5.19E-03	0.00E+00
EXO1_0_multinomial_train1.11	1.02E-03	5.37E-44	2.78E-03	2.01E-03	3.65E-144	9.48E-04	9.77E-04
RNF168_0_multinomial_train1.13	2.22E-03	3.45E-03	0.00E+00	4.23E-03	4.00E-03	0.00E+00	2.45E-03
RNF168_0_multinomial_train1.14	1.06E-03	0.00E+00	3.42E-03	1.07E-02	5.36E-03	1.06E-02	3.05E-03
RNF168_0_multinomial_train1.15	2.78E-03	6.31E-12	2.66E-03	3.66E-03	2.29E-03	8.47E-04	2.47E-04
RNF168_0_multinomial_train1.16	1.15E-03	0.00E+00	4.59E-03	1.00E-02	5.00E-03	1.32E-02	2.77E-03
EXO1_0_multinomial_train1.12	9.10E-04	0.00E+00	5.87E-03	6.45E-03	3.63E-03	5.63E-03	8.70E-04
RNF168_0_multinomial_train1.17	1.16E-03	2.15E-03	1.14E-02	1.62E-02	3.09E-03	2.10E-02	6.73E-04
EXO1_0_multinomial_train1.13	1.78E-03	0.00E+00	3.04E-03	2.52E-03	2.52E-03	2.70E-03	7.83E-04
RNF168_0_multinomial_train1.18	1.01E-03	0.00E+00	0.00E+00	8.97E-03	5.96E-03	6.90E-03	3.65E-03
EXO1_0_multinomial_train1.14	2.90E-03	3.91E-37	1.27E-03	6.46E-04	2.06E-04	4.87E-04	3.65E-03
RNF168_0_multinomial_train1.19	1.02E-03	0.00E+00	0.00E+00	3.63E-03	3.94E-03	2.41E-03	1.33E-03
RNF168_0_multinomial_train1.20	1.38E-03	1.77E-03	9.82E-03	2.34E-03	0.00E+00	6.29E-03	0.00E+00
