	0	1	2	3	4	5	6	7	8	9
0	[174.51383234084625, 8.177115324728632, 1663.367170161176, 0.27000001072883606, 0.0]	[174.53022740952272, 8.17271950404828, 1663.5750790547445, 0.2541666626930237, 0.0]	[174.51661294068208, 8.172635364943758, 1663.439775757383, 0.2691666781902313, 0.0]	[174.52638559873557, 8.17166006204523, 1663.5472553669033, 0.2524999976158142, 0.0]	[174.50210700201157, 8.17005616499591, 1663.3205083701564, 0.273333340883255, 0.0]	[174.54504381868367, 8.166299718076353, 1663.787441006073, 0.25333333015441895, 0.0]	[174.5047142143741, 8.161479604308882, 1663.432346100652, 0.2608333230018616, 0.0]	[174.51524200671147, 8.169628330819668, 1663.4561367589179, 0.2475000023841858, 0.0]	[174.5167202593525, 8.16797419382355, 1663.4874606552894, 0.2633333206176758, 0.0]	[174.52033731480057, 8.16426979495402, 1663.5606751984656, 0.2641666531562805, 0.0]
100	[3.327315080328256, 2.4146249944744858, 9.126900858537702, 1.0, 0.0]	[3.6104473680928875, 2.472109910365263, 11.383374577276246, 1.0, 0.0]	[3.703447955610907, 2.5264776479971793, 11.769703076137276, 1.0, 0.0]	[3.6879757953261736, 2.489974227998738, 11.980015673274355, 1.0, 0.0]	[3.242853709850256, 2.3241768465198365, 9.186768633304194, 1.0, 0.0]	[3.4104706016752244, 2.5178075009200973, 8.926631007551268, 1.0, 0.0]	[3.430955710346595, 2.3017451564346216, 11.292105539119731, 1.0, 0.0]	[3.5854993619146898, 2.432811010269343, 11.526883516453466, 1.0, 0.0]	[3.654585527732565, 2.451397611316315, 12.0318791641625, 1.0, 0.0]	[3.409987388814608, 2.394634177697918, 10.1535321111669, 1.0, 0.0]
200	[2.8827608135632543, 2.2780083391724935, 6.04752474390761, 1.0, 0.0]	[3.0353981609124867, 2.3171081634048685, 7.182899975076182, 1.0, 0.0]	[3.011231609382721, 2.409972414446023, 6.012591949366981, 1.0, 0.0]	[3.1287063409876867, 2.3930670219443173, 7.356393190433694, 1.0, 0.0]	[2.8214794972904254, 2.242757329220597, 5.787221680698281, 1.0, 0.0]	[2.9860499995194587, 2.381459001231197, 6.045909982882616, 1.0, 0.0]	[2.892667370522963, 2.249430577280807, 6.43236793242156, 1.0, 0.0]	[2.9951130436272857, 2.325927072592277, 6.6918597103500845, 1.0, 0.0]	[3.108025379744643, 2.3326326647033477, 7.7539271504129506, 1.0, 0.0]	[2.910768347254143, 2.292979453015749, 6.177888942383939, 1.0, 0.0]
300	[2.703837783954832, 2.2255741315173982, 4.782636524374338, 1.0, 0.0]	[2.8287670119631847, 2.281164560311276, 5.476024516519088, 1.0, 0.0]	[2.7926534974057997, 2.3676581610922716, 4.249953363135283, 1.0, 0.0]	[2.8969036864080575, 2.3402744637713866, 5.566292226366707, 1.0, 0.0]	[2.6587716137357784, 2.219704809668906, 4.390668040668725, 1.0, 0.0]	[2.816839130257224, 2.3314389138440843, 4.854002164131398, 1.0, 0.0]	[2.699922499739647, 2.2261478215652812, 4.737746781743654, 1.0, 0.0]	[2.781427194609003, 2.269412686145446, 5.120145084635572, 1.0, 0.0]	[2.8914186406725704, 2.2952722339750373, 5.9614640669753305, 1.0, 0.0]	[2.7259384580302517, 2.248013971099515, 4.779244869307367, 1.0, 0.0]
400	[2.6022741763902415, 2.1949264635515355, 4.073477128387061, 1.0, 0.0]	[2.7175571104233267, 2.261059550059761, 4.5649756036356575, 1.0, 0.0]	[2.6804907253907335, 2.3382426965666268, 3.4224802882410668, 1.0, 0.0]	[2.753972148424455, 2.3018490905064906, 4.521230579179644, 1.0, 0.0]	[2.573282025469112, 2.2055495617816145, 3.6773246368749737, 1.0, 0.0]	[2.708852215558656, 2.2883688249208127, 4.204833906378432, 1.0, 0.0]	[2.590855339508235, 2.2139748234150183, 3.7688051609321676, 1.0, 0.0]	[2.664618257179574, 2.237207437735026, 4.274108194445477, 1.0, 0.0]	[2.7738039123997407, 2.271579077527879, 5.022248348718618, 1.0, 0.0]	[2.6205624532957352, 2.2244011252499134, 3.961613280458217, 1.0, 0.0]
500	[2.5395430140448756, 2.175236820845006, 3.6430619319986954, 1.0, 0.0]	[2.6472438359522004, 2.2468879419041734, 4.003558940480271, 1.0, 0.0]	[2.6186537520234388, 2.318163896916112, 3.0048985510732695, 1.0, 0.0]	[2.6598986296206033, 2.274507169361365, 3.853914602592381, 1.0, 0.0]	[2.520708044831049, 2.195026184665107, 3.2568186016594165, 1.0, 0.0]	[2.6301610561507194, 2.2588623390550935, 3.712987170956258, 1.0, 0.0]	[2.5327765881526143, 2.203069338505638, 3.297072496469765, 1.0, 0.0]	[2.5888688515513394, 2.216259332541616, 3.7260951900972312, 1.0, 0.0]	[2.6960688563928548, 2.2559951694535654, 4.400736869392892, 1.0, 0.0]	[2.554289944251629, 2.209694330924744, 3.445956133268851, 1.0, 0.0]
600	[2.4953878466579447, 2.161170947438975, 3.342168992189695, 1.0, 0.0]	[2.598066373513342, 2.2361523231144975, 3.6191405039884414, 1.0, 0.0]	[2.581300622097965, 2.301984483954268, 2.793161381436971, 1.0, 0.0]	[2.5971827914643986, 2.2518455461095224, 3.453372453548762, 1.0, 0.0]	[2.4846500451653952, 2.1865860898412808, 2.9806395532411454, 1.0, 0.0]	[2.5718202640375893, 2.23823969762734, 3.3358056641024936, 1.0, 0.0]	[2.499075906423643, 2.191304658211295, 3.0777124821234834, 1.0, 0.0]	[2.536253771210314, 2.201438610031079, 3.3481516117923507, 1.0, 0.0]	[2.640519878346731, 2.2445527248364954, 3.959671535102357, 1.0, 0.0]	[2.508080593484243, 2.197960919311536, 3.1011967417270707, 1.0, 0.0]
700	[2.4629415615654393, 2.1503837261620697, 3.125578354033693, 1.0, 0.0]	[2.5618385084711637, 2.227658161471075, 3.341803470000886, 1.0, 0.0]	[2.5529286193573357, 2.2888764813896647, 2.6405213796767084, 1.0, 0.0]	[2.549488767358289, 2.230154160296289, 3.193346070620001, 1.0, 0.0]	[2.4590902630078033, 2.179335279291444, 2.797549837163592, 1.0, 0.0]	[2.530455911020985, 2.22272000508445, 3.077359059365353, 1.0, 0.0]	[2.472545840310054, 2.1828472995415433, 2.896985407685107, 1.0, 0.0]	[2.497074678903605, 2.19070799993461, 3.0636667896899494, 1.0, 0.0]	[2.6004868440916327, 2.234488956737871, 3.659978873537618, 1.0, 0.0]	[2.474645289880163, 2.1893352698141704, 2.8531002006599264, 1.0, 0.0]
800	[2.439209644302583, 2.1420757645806883, 2.9713387972189444, 1.0, 0.0]	[2.533239094169666, 2.220445373657433, 3.127937205122328, 1.0, 0.0]	[2.5054575712985403, 2.2636702515926745, 2.4178731970586567, 1.0, 0.0]	[2.5137570431025384, 2.215857118196023, 2.978999249065155, 1.0, 0.0]	[2.441732422530454, 2.1711652119898943, 2.7056721054055988, 1.0, 0.0]	[2.500092561546302, 2.2104050417833454, 2.896875197629565, 1.0, 0.0]	[2.4506728819083823, 2.176439986948654, 2.74232894959728, 1.0, 0.0]	[2.4676771879080213, 2.182837349692585, 2.8483983821543633, 1.0, 0.0]	[2.567848834025321, 2.225011064676752, 3.4283776934856927, 1.0, 0.0]	[2.45180086776475, 2.1817939486986417, 2.70006919066108, 1.0, 0.0]
900	[2.4212380674458744, 2.1352893516396176, 2.8594871580625703, 1.0, 0.0]	[2.5118183107456593, 2.213521121546578, 2.982971891990812, 1.0, 0.0]	[2.456790857876157, 2.2356453065433226, 2.211455513328343, 1.0, 0.0]	[2.4852133653442903, 2.2046252544100557, 2.8058811093423466, 1.0, 0.0]	[2.4256414853349435, 2.166048175467976, 2.5959330986696756, 1.0, 0.0]	[2.4756911761417126, 2.1950862622420475, 2.8060491389966495, 1.0, 0.0]	[2.4330805144786223, 2.170645088292541, 2.6243542618608124, 1.0, 0.0]	[2.4439803599997916, 2.1756276176462683, 2.6835274235352338, 1.0, 0.0]	[2.5372757510113377, 2.214101627251643, 3.231741237596945, 1.0, 0.0]	[2.434342191212359, 2.1755024553941382, 2.588397358182207, 1.0, 0.0]
