NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.064	44.535	0.039	98.254	0.172	0.751	20000.0
2	0.069	44.998	0.042	98.565	0.185	0.732	20000.0
3	0.07	26.004	0.045	98.861	0.133	0.73	20000.0
4	0.063	6.239	0.041	4.057	0.054	0.744	30000.0
5	0.058	43.996	0.035	97.891	0.192	0.772	20000.0
6	0.076	45.764	0.047	99.131	0.203	0.712	20000.0
7	0.067	16.199	0.041	4.078	0.091	0.722	30000.0
8	0.069	45.008	0.043	98.644	0.205	0.74	20000.0
9	0.059	5.893	0.038	3.767	0.05	0.754	30000.0
10	0.061	44.267	0.038	192.572	0.205	0.773	30000.0
