Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
5*,0.27,0.02,YES,Most Stab Sigs,95.7%,109.5%,185.5%,95.47%,186.89,2.0068,3.8578,0.37,0.794,0.535,-0.079
6,0.39,0.07,NO,N/A,111.56%,117.8%,188.2%,107.03%,244.27,2.426,4.503,0.408,0.826,0.502,-0.034
7,0.32,0.03,NO,N/A,122.04%,125.5%,183.8%,118.07%,232.8,2.6455,5.3227,0.442,0.761,0.463,-0.032
8,0.34,0.08,NO,N/A,133.12%,128.3%,183.2%,132.8%,271.95,2.973,5.1217,0.437,0.882,0.491,-0.125
9,0.34,0.05,NO,N/A,139.95%,131.4%,180.5%,132.9%,270.18,3.0574,5.3674,0.458,0.823,0.454,-0.057
10,0.32,0.02,NO,N/A,138.84%,130.2%,179.9%,132.86%,342.3,3.1071,5.548,0.451,0.845,0.478,-0.062
11,0.38,0.05,NO,N/A,169.91%,139.8%,182.3%,164.12%,346.82,3.4691,5.3905,0.474,0.816,0.454,-0.023
12,0.4,0.04,NO,N/A,175.8%,143.7%,179.6%,160.86%,369.9,3.6306,5.7495,0.492,0.814,0.435,-0.046
13,0.4,0.03,NO,N/A,198.56%,146.7%,177.1%,192.39%,392.64,3.7776,5.5437,0.486,0.863,0.456,-0.028
14,0.39,0.02,NO,N/A,195.36%,147.0%,178.1%,197.53%,387.17,3.8876,5.6151,0.479,0.859,0.477,-0.014
15,0.33,-0.04,NO,N/A,189.56%,147.0%,180.4%,182.39%,422.75,3.9251,5.6743,0.489,0.8,0.453,-0.026
16,0.33,0.04,NO,N/A,204.2%,147.8%,179.1%,198.39%,474.19,3.8672,5.8108,0.489,0.854,0.465,-0.005
17,0.39,-0.06,NO,N/A,224.02%,154.2%,178.3%,218.91%,475.5,4.1484,5.9254,0.492,0.826,0.461,-0.121
18,0.35,-0.03,NO,N/A,215.91%,152.3%,180.2%,205.21%,516.98,4.0679,5.5916,0.497,0.795,0.448,-0.032
19,0.35,0.02,NO,N/A,229.35%,155.5%,180.7%,228.62%,487.53,4.2419,5.7184,0.498,0.838,0.462,-0.036
20,0.37,-0.04,NO,N/A,237.52%,157.7%,180.2%,227.08%,547.23,4.3272,5.7753,0.514,0.835,0.439,-0.017
21,0.4,0.02,NO,N/A,243.5%,158.0%,183.3%,235.17%,545.77,4.3255,5.9962,0.512,0.865,0.439,-0.104
22,0.36,-0.01,NO,N/A,253.24%,158.9%,179.6%,258.61%,539.34,4.3968,5.8453,0.494,0.864,0.474,-0.005
23,0.39,-0.02,NO,N/A,253.94%,161.6%,185.3%,251.4%,532.76,4.5119,6.0375,0.489,0.809,0.48,-0.019
24,0.35,-0.01,YES,0.00e+00,247.18%,161.3%,181.7%,235.83%,564.3,4.5178,6.0967,0.504,0.814,0.46,-0.015
25,0.35,-0.03,NO,N/A,254.17%,159.9%,184.3%,252.6%,570.21,4.3845,6.126,0.501,0.828,0.471,0.039
