Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-3C-AAAU	0	7	6	0	10	0	4	13	0	6
BRCA_TCGA-3C-AALI	33	31	42	10	0	0	1	31	25	635
BRCA_TCGA-3C-AALJ	1	5	11	3	4	0	1	31	0	10
BRCA_TCGA-3C-AALK	3	12	6	10	0	0	4	17	0	12
BRCA_TCGA-4H-AAAK	1	4	11	3	4	0	1	6	3	0
BRCA_TCGA-5L-AAT0	4	0	77	0	13	0	0	0	8	177
BRCA_TCGA-5L-AAT1	89	0	235	0	15	0	0	0	15	1632
BRCA_TCGA-5T-A9QA	0	17	7	9	0	1	3	14	0	2
BRCA_TCGA-A1-A0SB	0	4	2	3	0	0	4	3	0	0
BRCA_TCGA-A1-A0SD	0	10	8	1	0	0	3	16	0	2
BRCA_TCGA-A1-A0SE	1	0	13	0	4	0	2	10	0	6
BRCA_TCGA-A1-A0SF	1	0	13	0	9	0	0	0	2	39
BRCA_TCGA-A1-A0SG	1	5	15	0	1	0	2	7	2	2
BRCA_TCGA-A1-A0SH	4	2	4	0	8	5	3	31	0	81
BRCA_TCGA-A1-A0SI	10	8	5	4	0	2	5	3	1	240
BRCA_TCGA-A1-A0SJ	0	8	0	1	7	0	0	14	0	10
BRCA_TCGA-A1-A0SK	2	15	8	1	0	0	1	53	0	4
BRCA_TCGA-A1-A0SM	3	4	9	0	3	1	4	7	1	0
BRCA_TCGA-A1-A0SN	4	6	14	0	6	0	0	18	3	25
BRCA_TCGA-A1-A0SO	13	3	29	10	7	45	6	209	0	31
BRCA_TCGA-A1-A0SP	0	4	15	11	9	0	0	28	0	3
BRCA_TCGA-A2-A04N	0	5	20	0	0	10	0	8	4	6
BRCA_TCGA-A2-A04R	5	3	5	0	5	19	2	50	2	11
BRCA_TCGA-A2-A04U	0	13	6	0	0	2	4	33	5	4
BRCA_TCGA-A2-A04W	6	2	35	0	11	0	3	7	8	115
