Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-3C-AAAU	0.00E+00	1.34E+00	1.64E+00	2.00E-01	1.47E+00	0.00E+00	1.22E+00	1.17E+00	1.11E+00	1.32E+00
BRCA_TCGA-3C-AALI	3.59E+00	2.54E+00	7.99E+00	2.58E+00	6.32E-01	1.57E+00	1.19E+00	3.77E+00	9.81E+00	9.71E+00
BRCA_TCGA-3C-AALJ	3.00E-01	9.75E-01	1.78E+00	8.47E-01	1.19E+00	0.00E+00	6.74E-01	2.83E+00	4.73E-01	1.32E+00
BRCA_TCGA-3C-AALK	5.97E-01	1.33E+00	2.49E+00	1.54E+00	5.26E-01	0.00E+00	7.92E-01	1.47E+00	0.00E+00	1.02E+00
BRCA_TCGA-4H-AAAK	3.06E-01	1.73E+00	1.44E+00	1.17E+00	7.34E-01	0.00E+00	4.33E-01	1.11E+00	1.02E+00	0.00E+00
BRCA_TCGA-5L-AAT0	3.00E-01	9.80E-01	4.62E+00	0.00E+00	1.62E+00	0.00E+00	5.21E-01	2.62E+00	5.41E+00	5.51E+00
BRCA_TCGA-5L-AAT1	3.22E+00	3.78E+00	1.14E+01	2.52E+00	3.07E+00	1.26E+00	0.00E+00	0.00E+00	2.32E+01	1.94E+01
BRCA_TCGA-5T-A9QA	0.00E+00	1.99E+00	3.19E+00	1.65E+00	9.87E-01	5.37E-01	4.82E-01	1.15E+00	1.33E-01	8.54E-01
BRCA_TCGA-A1-A0SB	2.13E-01	6.05E-01	6.99E-01	7.95E-01	5.12E-01	1.00E-01	6.70E-01	6.53E-01	1.67E-01	3.42E-01
BRCA_TCGA-A1-A0SD	2.00E-01	1.03E+00	1.90E+00	4.00E-01	0.00E+00	0.00E+00	1.01E+00	1.45E+00	4.27E-01	5.63E-01
BRCA_TCGA-A1-A0SE	1.19E+00	2.67E-01	1.01E+00	7.03E-01	7.12E-01	0.00E+00	9.40E-01	1.65E+00	1.11E+00	8.33E-01
BRCA_TCGA-A1-A0SF	7.33E-01	5.26E-01	7.92E-01	7.03E-01	1.05E+00	3.00E-01	1.00E-01	8.03E-01	7.16E-01	2.09E+00
BRCA_TCGA-A1-A0SG	5.17E-01	1.05E+00	1.00E+00	2.00E-01	6.32E-01	0.00E+00	8.69E-01	1.56E+00	1.24E+00	2.67E-01
BRCA_TCGA-A1-A0SH	5.22E-01	1.30E+00	1.71E+00	1.11E+00	1.42E+00	9.89E-01	7.57E-01	1.97E+00	0.00E+00	2.27E+00
BRCA_TCGA-A1-A0SI	1.41E+00	1.14E+00	1.45E+00	1.68E+00	3.40E-01	1.16E+00	6.67E-01	1.85E+00	1.26E+00	2.43E+00
BRCA_TCGA-A1-A0SJ	0.00E+00	1.04E+00	7.77E-01	5.81E-01	7.81E-01	0.00E+00	0.00E+00	1.40E+00	6.23E-01	1.30E+00
BRCA_TCGA-A1-A0SK	5.54E-01	1.54E+00	1.66E+00	1.04E+00	2.00E-01	0.00E+00	5.93E-01	1.67E+00	4.27E-01	8.79E-01
BRCA_TCGA-A1-A0SM	9.17E-01	8.33E-01	9.83E-01	2.00E-01	4.96E-01	3.79E-01	8.82E-01	1.64E+00	6.05E-01	0.00E+00
BRCA_TCGA-A1-A0SN	1.03E+00	1.16E+00	1.96E+00	0.00E+00	9.87E-01	0.00E+00	8.75E-01	2.53E+00	1.80E+00	1.49E+00
BRCA_TCGA-A1-A0SO	1.75E+00	8.03E-01	7.81E+00	3.16E+00	1.36E+00	4.22E+00	1.69E+00	8.63E+00	1.38E+00	2.24E+00
BRCA_TCGA-A1-A0SP	0.00E+00	1.63E+00	3.18E+00	2.07E+00	1.36E+00	1.00E-01	5.17E-01	1.69E+00	0.00E+00	8.27E-01
BRCA_TCGA-A2-A04N	3.06E-01	1.16E+00	2.49E+00	5.62E-01	4.27E-01	1.28E+00	3.00E-01	1.33E+00	7.75E-01	1.01E+00
BRCA_TCGA-A2-A04R	1.19E+00	5.59E-01	2.06E+00	1.10E+00	1.55E+00	1.58E+00	2.77E-01	1.38E+00	4.53E-01	1.36E+00
