Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-3C-AAAU	0.00E+00	1.46E+00	0.00E+00	1.43E+00	1.04E+00	1.15E+00	1.20E+00	0.00E+00	1.40E+00	1.30E+00	0.00E+00
BRCA_TCGA-3C-AALI	2.12E+00	2.30E+00	2.60E+00	2.00E-01	4.74E+00	2.08E+00	1.31E+00	1.45E+00	3.83E+00	6.89E+00	4.00E-01
BRCA_TCGA-3C-AALJ	2.98E-01	1.10E+00	8.44E-01	1.16E+00	6.16E-01	2.44E+00	7.16E-01	0.00E+00	2.38E+00	1.23E+00	0.00E+00
BRCA_TCGA-3C-AALK	5.81E-01	1.50E+00	1.75E+00	6.53E-01	3.59E-01	2.72E+00	8.33E-01	0.00E+00	1.39E+00	8.31E-01	0.00E+00
BRCA_TCGA-4H-AAAK	0.00E+00	1.99E+00	1.23E+00	7.52E-01	1.13E+00	5.00E-01	4.47E-01	0.00E+00	1.02E+00	0.00E+00	1.33E-01
BRCA_TCGA-5L-AAT0	2.13E-01	7.72E-01	3.00E-01	1.36E+00	2.54E+00	3.25E+00	1.33E-01	0.00E+00	2.43E+00	2.30E+00	5.42E-01
BRCA_TCGA-5L-AAT1	3.35E+00	3.58E+00	2.99E+00	3.05E+00	1.55E+01	6.67E+00	1.00E-01	1.17E+00	7.95E-01	1.50E+01	0.00E+00
BRCA_TCGA-5T-A9QA	0.00E+00	1.94E+00	1.62E+00	1.08E+00	0.00E+00	3.00E+00	4.42E-01	5.47E-01	1.31E+00	4.47E-01	2.67E-01
BRCA_TCGA-A1-A0SB	0.00E+00	6.53E-01	7.72E-01	4.33E-01	7.89E-01	9.29E-01	6.63E-01	1.00E-01	5.26E-01	1.00E-01	2.24E-01
BRCA_TCGA-A1-A0SD	0.00E+00	9.04E-01	1.00E-01	0.00E+00	5.39E-01	1.37E+00	1.00E+00	0.00E+00	1.80E+00	4.82E-01	0.00E+00
BRCA_TCGA-A1-A0SE	8.23E-01	2.67E-01	5.47E-01	6.33E-01	1.21E+00	1.02E+00	9.80E-01	4.00E-01	1.10E+00	1.03E+00	0.00E+00
BRCA_TCGA-A1-A0SF	5.17E-01	5.26E-01	4.99E-01	1.07E+00	1.18E+00	8.30E-01	0.00E+00	0.00E+00	6.63E-01	1.95E+00	6.01E-01
BRCA_TCGA-A1-A0SG	0.00E+00	9.21E-01	0.00E+00	6.32E-01	9.75E-01	7.37E-01	9.19E-01	0.00E+00	1.19E+00	2.11E-01	4.27E-01
BRCA_TCGA-A1-A0SH	6.63E-01	1.36E+00	9.24E-01	1.39E+00	5.00E-01	1.54E+00	9.80E-01	7.06E-01	1.12E+00	1.85E+00	0.00E+00
BRCA_TCGA-A1-A0SI	8.92E-01	1.16E+00	1.56E+00	3.67E-01	2.70E+00	1.67E+00	7.31E-01	1.05E+00	1.99E+00	4.13E+00	1.00E-01
BRCA_TCGA-A1-A0SJ	0.00E+00	1.08E+00	5.62E-01	7.61E-01	2.00E-01	8.59E-01	0.00E+00	5.00E-01	1.20E+00	1.34E+00	4.73E-01
BRCA_TCGA-A1-A0SK	4.07E-01	1.65E+00	1.20E+00	4.01E-01	6.33E-01	2.43E+00	7.49E-01	0.00E+00	1.66E+00	8.79E-01	0.00E+00
BRCA_TCGA-A1-A0SM	3.59E-01	6.36E-01	2.13E-01	4.27E-01	4.73E-01	7.45E-01	7.75E-01	4.42E-01	1.34E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SN	7.02E-01	1.09E+00	0.00E+00	7.18E-01	1.36E+00	1.97E+00	8.09E-01	0.00E+00	2.40E+00	1.49E+00	3.67E-01
BRCA_TCGA-A1-A0SO	2.45E+00	7.27E-01	2.16E+00	1.28E+00	8.59E-01	3.54E+00	1.39E+00	6.20E+00	6.11E+00	2.49E+00	1.32E+00
BRCA_TCGA-A1-A0SP	0.00E+00	1.32E+00	2.09E+00	1.20E+00	0.00E+00	1.93E+00	5.43E-01	1.33E-01	1.64E+00	9.07E-01	0.00E+00
BRCA_TCGA-A2-A04N	0.00E+00	8.88E-01	5.37E-01	4.00E-01	6.63E-01	1.68E+00	3.00E-01	1.29E+00	1.20E+00	9.71E-01	8.20E-01
