Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
BRCA_TCGA-3C-AAAU	1.57E+00	0.00E+00	8.19E-01	1.64E+00	0.00E+00	0.00E+00	1.05E+00	1.04E+00	1.60E+00	1.16E+00	1.43E+00	0.00E+00
BRCA_TCGA-3C-AALI	1.70E+00	3.39E+00	7.66E+00	1.00E-01	1.28E+00	1.66E+00	1.38E+00	2.21E+00	3.07E+00	4.84E+00	6.00E+00	6.00E-01
BRCA_TCGA-3C-AALJ	9.33E-01	3.14E-01	5.59E-01	1.04E+00	5.77E-01	0.00E+00	6.36E-01	2.39E+00	2.21E+00	3.36E+00	1.24E+00	0.00E+00
BRCA_TCGA-3C-AALK	1.30E+00	6.01E-01	3.67E-01	0.00E+00	1.90E+00	2.00E-01	7.72E-01	5.12E-01	2.34E+00	1.54E+00	8.03E-01	0.00E+00
BRCA_TCGA-4H-AAAK	2.00E+00	3.00E-01	1.22E+00	8.09E-01	7.15E-01	0.00E+00	5.37E-01	1.02E+00	6.05E-01	1.28E+00	0.00E+00	1.33E-01
BRCA_TCGA-5L-AAT0	8.94E-01	1.53E-01	4.01E+00	2.12E+00	1.14E+00	0.00E+00	3.06E-01	9.00E-01	2.92E+00	2.45E+00	3.35E+00	5.62E-01
BRCA_TCGA-5L-AAT1	3.06E+00	3.77E+00	2.06E+01	2.02E+00	2.97E+00	1.41E+00	4.00E-01	4.00E-01	4.32E+00	1.14E+00	1.80E+01	0.00E+00
BRCA_TCGA-5T-A9QA	1.97E+00	0.00E+00	0.00E+00	1.08E+00	1.26E+00	6.18E-01	5.73E-01	5.00E-01	2.83E+00	1.33E+00	3.67E-01	2.67E-01
BRCA_TCGA-A1-A0SB	8.03E-01	1.00E-01	2.21E-01	5.37E-01	3.35E-01	0.00E+00	5.16E-01	7.00E-01	8.82E-01	5.04E-01	4.00E-01	1.53E-01
BRCA_TCGA-A1-A0SD	1.07E+00	0.00E+00	7.61E-01	0.00E+00	5.33E-01	0.00E+00	7.02E-01	1.14E+00	1.25E+00	9.21E-01	5.67E-01	0.00E+00
BRCA_TCGA-A1-A0SE	1.33E-01	8.84E-01	9.52E-01	6.54E-01	2.13E-01	0.00E+00	1.15E+00	8.49E-01	9.09E-01	1.02E+00	9.43E-01	0.00E+00
BRCA_TCGA-A1-A0SF	4.96E-01	5.17E-01	9.55E-01	1.06E+00	3.06E-01	1.00E-01	0.00E+00	6.67E-01	9.91E-01	4.99E-01	1.91E+00	6.84E-01
BRCA_TCGA-A1-A0SG	7.49E-01	0.00E+00	1.03E+00	6.74E-01	1.00E-01	0.00E+00	9.29E-01	8.36E-01	1.00E+00	1.04E+00	2.58E-01	4.73E-01
BRCA_TCGA-A1-A0SH	1.48E+00	5.97E-01	5.00E-01	1.40E+00	7.18E-01	6.15E-01	8.84E-01	1.11E+00	1.71E+00	1.07E+00	1.62E+00	0.00E+00
BRCA_TCGA-A1-A0SI	1.06E+00	9.78E-01	2.70E+00	5.16E-01	8.33E-01	1.36E+00	8.06E-01	1.39E+00	1.61E+00	1.82E+00	3.72E+00	1.00E-01
BRCA_TCGA-A1-A0SJ	1.05E+00	0.00E+00	0.00E+00	9.98E-01	5.78E-01	0.00E+00	0.00E+00	6.51E-01	7.06E-01	8.36E-01	1.33E+00	4.73E-01
BRCA_TCGA-A1-A0SK	1.65E+00	4.71E-01	6.57E-01	2.00E-01	8.20E-01	0.00E+00	7.00E-01	2.47E+00	2.06E+00	2.67E+00	9.07E-01	0.00E+00
BRCA_TCGA-A1-A0SM	5.82E-01	6.96E-01	5.77E-01	4.00E-01	4.99E-01	5.47E-01	7.00E-01	3.67E-01	8.62E-01	1.30E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SN	1.17E+00	8.79E-01	1.63E+00	7.72E-01	1.00E-01	0.00E+00	8.46E-01	5.16E-01	1.81E+00	2.03E+00	1.44E+00	3.48E-01
BRCA_TCGA-A1-A0SO	6.63E-01	2.44E+00	8.49E-01	1.09E+00	3.04E+00	4.88E+00	1.61E+00	5.35E+00	4.77E+00	8.97E+00	2.48E+00	1.06E+00
BRCA_TCGA-A1-A0SP	1.24E+00	0.00E+00	9.00E-01	1.16E+00	1.20E+00	3.00E-01	3.89E-01	1.49E+00	1.78E+00	1.68E+00	8.00E-01	0.00E+00
BRCA_TCGA-A2-A04N	6.90E-01	0.00E+00	8.09E-01	5.00E-01	3.89E-01	8.06E-01	3.00E-01	1.09E+00	1.40E+00	1.30E+00	9.36E-01	6.96E-01
BRCA_TCGA-A2-A04R	7.42E-01	7.46E-01	6.71E-01	1.40E+00	1.15E+00	1.80E+00	3.89E-01	5.33E-01	1.60E+00	1.16E+00	1.41E+00	4.71E-01
BRCA_TCGA-A2-A04U	1.03E+00	1.00E-01	7.42E-01	0.00E+00	6.84E-01	3.06E-01	6.96E-01	9.75E-01	1.10E+00	1.45E+00	9.43E-01	1.33E+00
BRCA_TCGA-A2-A04W	7.12E-01	7.63E-01	2.81E+00	1.26E+00	1.81E+00	0.00E+00	1.16E+00	1.25E+00	2.27E+00	1.42E+00	2.42E+00	3.89E-01
BRCA_TCGA-A2-A0CK	1.45E+00	0.00E+00	4.42E-01	6.54E-01	0.00E+00	7.60E-01	5.04E-01	1.33E-01	1.20E+00	6.67E-01	6.86E-01	0.00E+00
BRCA_TCGA-A2-A0CL	1.26E+00	0.00E+00	1.89E+00	9.75E-01	6.67E-01	5.67E-01	6.32E-01	9.24E-01	1.42E+00	1.20E+00	2.37E+00	8.70E-01
