Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
BRCA_TCGA-3C-AAAU	1.30E+00	0.00E+00	1.32E+00	3.48E-01	0.00E+00	0.00E+00	1.10E+00	9.00E-01	8.98E-01	9.46E-01	1.51E+00	1.09E+00	1.48E+00	0.00E+00
BRCA_TCGA-3C-AALI	2.49E+00	1.45E+00	1.35E+00	4.03E+00	8.31E-01	1.41E+00	1.13E+01	1.19E+00	1.25E+01	1.92E+00	3.33E+00	4.15E+00	1.54E+01	4.00E-01
BRCA_TCGA-3C-AALJ	8.97E-01	2.00E-01	1.07E+00	4.33E-01	9.80E-01	0.00E+00	1.44E+00	6.67E-01	2.67E-01	7.16E-01	2.37E+00	2.99E+00	1.20E+00	0.00E+00
BRCA_TCGA-3C-AALK	1.29E+00	4.96E-01	3.42E-01	4.16E-01	1.34E+00	1.00E-01	5.97E-01	6.80E-01	1.16E+00	3.79E-01	1.48E+00	1.66E+00	8.88E-01	0.00E+00
BRCA_TCGA-4H-AAAK	1.39E+00	0.00E+00	6.80E-01	1.24E+00	8.67E-01	0.00E+00	5.00E-01	6.11E-01	6.05E-01	1.22E+00	5.16E-01	1.31E+00	0.00E+00	1.00E-01
BRCA_TCGA-5L-AAT0	9.04E-01	3.35E-01	1.54E+00	2.12E+00	1.27E+00	0.00E+00	1.00E+01	6.01E-01	1.12E+01	2.00E-01	2.17E+00	2.60E+00	1.31E+01	5.21E-01
BRCA_TCGA-5L-AAT1	2.80E+00	4.07E+00	1.87E+00	5.03E+00	2.39E+00	1.84E+00	4.55E+01	3.06E-01	5.63E+01	0.00E+00	5.92E+00	1.78E+00	6.38E+01	0.00E+00
BRCA_TCGA-5T-A9QA	1.47E+00	0.00E+00	5.22E-01	0.00E+00	7.02E-01	7.27E-01	7.89E-01	4.33E-01	1.40E+00	0.00E+00	2.73E+00	1.64E+00	4.58E-01	2.13E-01
BRCA_TCGA-A1-A0SB	5.12E-01	0.00E+00	4.16E-01	6.96E-01	4.52E-01	0.00E+00	2.21E-01	6.29E-01	0.00E+00	8.00E-01	5.81E-01	5.26E-01	1.00E-01	1.33E-01
BRCA_TCGA-A1-A0SD	9.32E-01	0.00E+00	3.42E-01	4.73E-01	5.59E-01	0.00E+00	1.33E-01	6.15E-01	6.00E-01	1.16E+00	1.39E+00	8.30E-01	5.12E-01	0.00E+00
BRCA_TCGA-A1-A0SE	2.13E-01	7.67E-01	6.18E-01	7.06E-01	4.90E-01	2.00E-01	8.44E-01	5.47E-01	1.11E+00	1.12E+00	1.27E+00	9.55E-01	7.86E-01	0.00E+00
BRCA_TCGA-A1-A0SF	2.00E-01	6.05E-01	1.00E+00	8.06E-01	0.00E+00	0.00E+00	3.30E+00	0.00E+00	2.99E+00	5.37E-01	1.12E+00	7.12E-01	4.03E+00	5.86E-01
