NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	109.579	64.843	18.902	43.534	0.578	0.832	70000.0
2	115.711	69.367	20.314	46.572	0.58	0.812	60000.0
3	115.99	68.199	20.352	45.671	0.57	0.818	50000.0
4	116.037	67.555	20.414	45.337	0.567	0.822	100000.0
5	116.241	68.919	20.073	46.088	0.578	0.816	40000.0
6	115.184	67.675	20.031	45.169	0.568	0.823	50000.0
7	114.744	67.586	19.939	45.124	0.579	0.822	70000.0
8	113.386	66.64	19.377	43.896	0.574	0.832	70000.0
9	121.267	69.772	22.093	46.652	0.572	0.813	70000.0
10	116.487	66.626	21.321	44.77	0.564	0.827	50000.0
