Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-3C-AAAU	0	8	2	6	3	0	0	0	0	3	0	3	4	0	13	0	2	2
BRCA_TCGA-3C-AALI	14	3	67	37	9	0	7	4	7	0	2	8	2	506	112	0	18	12
BRCA_TCGA-3C-AALJ	0	3	3	4	4	6	0	3	1	0	0	3	10	11	0	0	13	5
BRCA_TCGA-3C-AALK	3	0	1	14	6	6	2	0	4	3	0	0	2	9	5	0	5	4
BRCA_TCGA-4H-AAAK	0	3	6	3	3	2	0	0	3	0	0	5	1	0	0	0	5	2
BRCA_TCGA-5L-AAT0	1	7	22	0	4	7	0	0	0	0	0	0	6	96	136	0	0	0
BRCA_TCGA-5L-AAT1	49	3	124	48	10	0	4	0	8	0	0	0	0	1083	657	0	0	0
BRCA_TCGA-5T-A9QA	0	1	0	17	7	6	3	0	2	2	0	0	4	0	6	0	1	4
BRCA_TCGA-A1-A0SB	0	1	1	0	5	1	0	0	1	1	0	4	0	0	2	0	0	0
BRCA_TCGA-A1-A0SD	0	2	2	2	9	0	0	0	3	0	0	3	6	2	0	0	3	8
BRCA_TCGA-A1-A0SE	0	2	3	4	0	2	0	1	1	0	0	3	3	0	13	0	3	1
BRCA_TCGA-A1-A0SF	1	5	2	1	0	0	0	0	0	0	0	1	1	14	38	1	0	0
BRCA_TCGA-A1-A0SG	0	2	7	2	5	1	0	0	0	0	0	3	3	0	4	0	5	3
BRCA_TCGA-A1-A0SH	6	5	0	8	0	2	2	0	0	0	0	4	9	52	40	0	7	3
BRCA_TCGA-A1-A0SI	7	1	15	4	4	2	1	1	0	0	2	4	7	185	45	0	0	0
BRCA_TCGA-A1-A0SJ	0	6	0	9	2	1	0	0	2	0	0	1	0	6	5	2	6	0
BRCA_TCGA-A1-A0SK	2	3	3	0	15	0	1	1	3	0	0	4	9	3	3	0	27	10
BRCA_TCGA-A1-A0SM	1	3	4	7	0	0	2	1	1	3	0	1	2	0	0	0	1	6
BRCA_TCGA-A1-A0SN	1	5	8	8	2	4	0	1	0	1	0	1	9	25	0	1	6	4
BRCA_TCGA-A1-A0SO	14	5	6	0	7	0	7	0	25	0	58	10	31	24	16	7	82	61
BRCA_TCGA-A1-A0SP	0	6	0	6	4	3	3	0	12	1	0	2	11	0	11	0	7	4
BRCA_TCGA-A2-A04N	0	1	6	5	3	0	4	0	2	0	10	2	8	4	3	1	1	3
BRCA_TCGA-A2-A04R	4	5	3	0	2	1	4	2	2	1	23	1	6	9	5	3	17	14
BRCA_TCGA-A2-A04U	0	3	5	0	10	0	2	2	1	2	0	3	4	3	1	3	15	13
BRCA_TCGA-A2-A04W	3	7	18	7	1	1	0	0	5	3	0	6	10	91	29	1	5	0
BRCA_TCGA-A2-A0CK	0	3	0	3	5	0	1	0	0	0	3	1	1	1	7	0	1	1
BRCA_TCGA-A2-A0CL	0	3	12	16	10	1	2	1	0	0	0	3	0	115	36	1	0	0
BRCA_TCGA-A2-A0CR	1	1	8	0	4	1	0	1	0	1	0	0	1	124	64	0	0	4
BRCA_TCGA-A2-A0CS	0	7	2	5	5	0	0	1	6	0	1	4	2	1	0	1	10	3
BRCA_TCGA-A2-A0CV	0	7	3	4	0	0	0	0	0	1	2	0	3	1	0	0	1	2
BRCA_TCGA-A2-A0CW	2	1	4	9	8	0	1	2	0	1	2	0	2	22	15	0	8	7
BRCA_TCGA-A2-A0D3	0	4	1	11	3	0	0	2	1	0	3	1	3	1	1	0	0	1
BRCA_TCGA-A2-A0EN	0	1	3	0	7	2	0	0	1	2	3	3	7	1	0	0	2	7
BRCA_TCGA-A2-A0EP	0	0	0	0	1	2	2	0	0	2	0	0	2	4	1	1	1	0
BRCA_TCGA-A2-A0ES	0	1	1	1	1	2	0	0	3	1	0	0	5	0	1	0	3	0
BRCA_TCGA-A2-A0EW	0	1	1	5	1	0	0	0	3	0	0	4	1	1	2	0	1	0
BRCA_TCGA-A2-A0ST	0	2	1	0	5	0	0	0	0	1	0	2	2	3	3	0	9	0
BRCA_TCGA-A2-A0SU	0	5	0	1	0	2	0	1	1	0	5	1	8	3	0	0	1	7
BRCA_TCGA-A2-A0SX	3	6	0	0	2	1	0	4	0	3	0	0	4	6	4	2	6	0
BRCA_TCGA-A2-A0SY	1	1	15	4	7	2	0	0	4	0	0	2	14	97	30	0	0	0
BRCA_TCGA-A2-A0T0	6	7	4	5	1	0	6	0	26	17	15	12	8	26	3	7	40	34
BRCA_TCGA-A2-A0T1	0	2	3	0	5	3	0	0	0	5	0	0	2	0	1	2	3	6
BRCA_TCGA-A2-A0T3	2	2	1	15	0	0	0	0	6	1	4	0	0	2	0	0	11	0
BRCA_TCGA-A2-A0T4	0	4	0	7	1	1	0	0	3	0	0	4	3	10	0	0	3	5
BRCA_TCGA-A2-A0T5	0	2	1	0	4	0	0	0	0	0	0	0	1	1	0	1	2	1
BRCA_TCGA-A2-A0T6	0	4	2	4	5	0	0	0	2	0	1	0	1	2	3	0	0	4
BRCA_TCGA-A2-A0T7	0	1	2	7	4	0	0	0	0	2	2	1	3	1	3	3	0	0
BRCA_TCGA-A2-A0YC	0	1	0	11	1	2	2	0	0	1	0	0	0	4	3	0	5	2
BRCA_TCGA-A2-A0YD	2	3	13	0	7	1	0	0	2	0	0	0	7	37	12	0	1	2
BRCA_TCGA-A2-A0YE	1	5	1	8	3	0	0	0	0	0	0	2	3	4	10	0	6	0
BRCA_TCGA-A2-A0YF	4	3	0	6	0	1	0	0	0	0	4	1	2	0	4	0	10	4
BRCA_TCGA-A2-A0YG	0	2	3	9	6	0	0	2	8	1	7	5	8	2	16	0	4	5
BRCA_TCGA-A2-A0YH	3	3	5	0	10	2	0	1	4	0	0	3	10	43	8	0	7	1
BRCA_TCGA-A2-A0YI	0	1	1	0	1	0	2	0	0	1	0	0	1	1	1	0	7	2
BRCA_TCGA-A2-A0YJ	3	6	3	16	9	0	2	0	15	5	3	2	7	7	0	7	6	7
BRCA_TCGA-A2-A0YK	12	1	23	6	5	0	0	0	0	0	0	1	0	333	97	0	0	0
BRCA_TCGA-A2-A0YL	0	1	0	0	2	2	0	0	1	0	0	1	7	19	10	0	0	0
BRCA_TCGA-A2-A0YM	0	8	6	18	8	0	0	1	0	3	0	6	0	29	22	0	7	1
BRCA_TCGA-A2-A0YT	1	10	11	3	5	0	0	0	2	0	0	3	0	8	25	0	7	6
BRCA_TCGA-A2-A1FV	0	4	1	0	8	1	0	0	1	2	0	2	6	4	11	0	4	6
BRCA_TCGA-A2-A1FW	4	4	5	8	12	9	1	0	5	5	0	0	7	7	3	4	18	3
BRCA_TCGA-A2-A1FX	3	3	2	2	1	0	0	0	0	0	0	2	5	0	3	0	3	4
BRCA_TCGA-A2-A1FZ	0	2	0	3	6	0	0	0	4	3	0	4	1	0	3	0	3	0
BRCA_TCGA-A2-A1G0	0	0	2	0	2	0	0	0	0	0	0	2	9	2	0	0	4	2
BRCA_TCGA-A2-A1G1	0	0	1	4	4	2	0	3	5	0	0	2	2	1	5	0	6	4
BRCA_TCGA-A2-A1G6	0	1	0	0	1	2	0	0	0	0	3	0	0	1	0	0	1	1
BRCA_TCGA-A2-A259	0	1	2	0	3	2	0	0	0	0	0	1	5	1	9	0	5	0
BRCA_TCGA-A2-A25A	5	2	1	2	7	1	5	0	0	0	0	1	0	49	50	0	5	1
BRCA_TCGA-A2-A25B	4	6	5	6	0	0	10	3	12	1	3	0	11	3	17	0	22	25
BRCA_TCGA-A2-A25C	2	0	0	0	0	2	0	0	2	7	16	1	0	1	4	0	4	0
BRCA_TCGA-A2-A25D	0	2	2	2	4	7	0	1	1	0	1	4	9	8	4	4	14	1
BRCA_TCGA-A2-A25E	1	1	2	3	2	9	0	2	2	1	5	5	0	5	6	0	7	10
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1
BRCA_TCGA-A2-A3KD	0	1	0	1	4	0	0	0	0	2	0	0	4	0	3	0	0	3
BRCA_TCGA-A2-A3XT	4	1	0	0	7	7	0	0	2	2	0	13	11	34	0	4	29	8
BRCA_TCGA-A2-A3XU	0	1	0	7	4	0	2	0	5	2	0	2	1	1	1	0	1	4
BRCA_TCGA-A2-A3XV	0	6	4	0	2	2	0	1	5	7	2	0	8	0	0	2	8	1
BRCA_TCGA-A2-A3XW	0	1	2	3	0	0	0	2	0	0	0	3	0	0	2	0	0	4
BRCA_TCGA-A2-A3XX	0	6	5	0	5	1	0	2	4	0	3	2	3	3	4	0	8	6
BRCA_TCGA-A2-A3XZ	0	2	5	4	4	1	0	0	4	0	0	2	2	20	2	0	0	6
BRCA_TCGA-A2-A3Y0	3	11	4	5	5	1	2	0	14	18	11	16	25	55	0	5	46	22
BRCA_TCGA-A2-A4S1	7	5	0	17	2	6	2	0	0	6	0	1	1	7	3	2	27	12
BRCA_TCGA-A2-A4S2	0	3	0	2	3	0	0	0	4	4	0	2	4	5	4	0	10	2
