Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-3C-AAAU	0	7	2	5	1	1	0	0	0	3	2	3	9	0	2	2	0	0	6	2	1
BRCA_TCGA-3C-AALI	13	5	67	19	2	3	5	2	8	0	3	0	91	7	491	9	0	38	32	12	1
BRCA_TCGA-3C-AALJ	0	3	3	3	4	3	0	2	1	0	2	9	0	0	11	1	0	6	8	8	2
BRCA_TCGA-3C-AALK	2	1	1	12	5	0	1	0	4	2	0	1	5	0	9	3	0	4	6	6	2
BRCA_TCGA-4H-AAAK	0	3	7	3	3	1	0	0	2	0	4	1	0	0	0	1	0	0	2	4	2
BRCA_TCGA-5L-AAT0	1	7	25	0	4	6	0	0	5	0	0	5	102	0	109	0	0	5	6	4	0
BRCA_TCGA-5L-AAT1	46	8	140	22	7	0	7	0	32	0	0	0	476	0	1148	0	0	88	0	12	0
BRCA_TCGA-5T-A9QA	0	2	0	16	5	0	3	0	3	2	0	3	6	0	0	0	0	1	3	5	4
BRCA_TCGA-A1-A0SB	0	1	1	0	1	7	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0
BRCA_TCGA-A1-A0SD	0	1	2	4	0	10	0	0	2	0	2	4	0	0	2	1	0	3	3	1	5
BRCA_TCGA-A1-A0SE	0	2	2	0	1	0	0	0	2	0	2	2	9	0	1	3	0	9	0	0	3
BRCA_TCGA-A1-A0SF	1	5	3	1	0	0	0	0	1	0	0	1	28	0	20	0	1	1	0	1	1
BRCA_TCGA-A1-A0SG	0	2	7	3	1	4	0	0	0	0	3	2	4	0	0	0	0	0	3	4	2
BRCA_TCGA-A1-A0SH	6	5	0	5	0	0	1	0	2	0	3	8	30	0	57	1	0	0	14	6	0
BRCA_TCGA-A1-A0SI	7	2	16	5	3	1	2	1	0	0	3	6	40	2	182	0	0	4	3	1	0
BRCA_TCGA-A1-A0SJ	0	6	0	6	1	0	0	0	2	0	1	0	4	0	7	0	2	1	4	6	0
BRCA_TCGA-A1-A0SK	1	3	3	3	0	18	0	0	0	0	2	4	3	0	2	8	0	2	24	9	2
BRCA_TCGA-A1-A0SM	1	3	4	3	0	0	1	0	0	3	0	1	1	1	0	5	0	3	2	0	4
BRCA_TCGA-A1-A0SN	1	5	7	5	3	0	0	0	0	0	1	7	4	0	20	0	1	4	16	1	1
BRCA_TCGA-A1-A0SO	15	4	5	0	3	22	9	0	14	0	4	19	8	40	19	31	7	13	81	28	31
BRCA_TCGA-A1-A0SP	0	6	0	4	1	3	0	0	11	0	1	7	9	1	0	10	0	0	16	1	0
BRCA_TCGA-A2-A04N	0	2	6	5	0	2	5	0	2	0	2	7	3	6	4	0	1	3	2	1	2
BRCA_TCGA-A2-A04R	5	4	3	1	1	6	7	2	1	2	0	6	2	15	7	3	3	4	20	4	6
BRCA_TCGA-A2-A04U	0	3	4	3	0	12	2	2	0	1	3	3	2	0	2	0	3	0	12	8	7
BRCA_TCGA-A2-A04W	3	7	18	6	1	0	0	0	6	3	5	8	27	1	89	0	1	0	6	6	0
