Signatures	Stability	Total Mutations
SBS96A	0.996	145053
SBS96B	0.982	120484
SBS96C	1.0	109380
SBS96D	0.657	89709
SBS96E	0.507	79303
SBS96F	0.4	73591
SBS96G	0.957	62846
SBS96H	0.979	58974
SBS96I	0.92	48739
SBS96J	0.617	47438
SBS96K	0.885	45536
SBS96L	0.724	41146
SBS96M	0.111	33430
SBS96N	0.111	32187
SBS96O	0.742	31703
SBS96P	0.878	31194
SBS96Q	0.759	30366
SBS96R	0.575	23570
SBS96S	0.991	20962
SBS96T	0.297	20364
SBS96U	0.45	19075
SBS96V	0.839	15765
SBS96W	0.01	15153
SBS96X	0.713	12879
SBS96Y	0.702	12244
