Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
BRCA_TCGA-3C-AAAU	0.00E+00	1.32E+00	2.00E+00	9.75E-01	1.78E+00
BRCA_TCGA-3C-AALI	2.89E+00	2.35E+00	1.37E+00	7.54E+00	8.86E+00
BRCA_TCGA-3C-AALJ	4.22E-01	1.42E+00	1.82E+00	3.11E+00	3.02E+00
BRCA_TCGA-3C-AALK	5.77E-01	1.20E+00	1.79E+00	1.90E+00	2.35E+00
BRCA_TCGA-4H-AAAK	7.02E-01	1.65E+00	1.11E+00	1.51E+00	1.19E+00
BRCA_TCGA-5L-AAT0	9.43E-01	2.01E+00	1.48E+00	1.45E+00	2.36E+00
BRCA_TCGA-5L-AAT1	9.14E+00	4.09E+00	2.02E+00	0.00E+00	6.88E+00
BRCA_TCGA-5T-A9QA	0.00E+00	1.71E+00	1.81E+00	2.08E+00	1.87E+00
BRCA_TCGA-A1-A0SB	3.07E-01	5.26E-01	5.47E-01	6.00E-01	5.93E-01
BRCA_TCGA-A1-A0SD	0.00E+00	1.24E+00	7.16E-01	1.56E+00	1.32E+00
BRCA_TCGA-A1-A0SE	1.15E+00	7.48E-01	1.45E+00	1.22E+00	1.63E+00
BRCA_TCGA-A1-A0SF	9.20E-01	1.29E+00	5.00E-01	1.08E+00	2.07E+00
BRCA_TCGA-A1-A0SG	1.06E+00	9.78E-01	3.07E-01	1.14E+00	1.01E+00
BRCA_TCGA-A1-A0SH	5.97E-01	1.25E+00	1.56E+00	2.07E+00	2.43E+00
BRCA_TCGA-A1-A0SI	2.17E+00	7.31E-01	1.88E+00	1.15E+00	2.09E+00
BRCA_TCGA-A1-A0SJ	2.00E-01	9.04E-01	9.40E-01	1.80E+00	1.45E+00
BRCA_TCGA-A1-A0SK	5.12E-01	1.82E+00	2.83E+00	7.46E+00	4.69E+00
BRCA_TCGA-A1-A0SM	9.19E-01	1.05E+00	1.25E+00	1.14E+00	9.80E-01
BRCA_TCGA-A1-A0SN	1.48E+00	1.44E+00	8.59E-01	1.88E+00	1.96E+00
BRCA_TCGA-A1-A0SO	2.69E+00	2.02E+00	1.02E+01	2.87E+01	2.21E+01
BRCA_TCGA-A1-A0SP	0.00E+00	2.03E+00	2.61E+00	3.84E+00	3.48E+00
BRCA_TCGA-A2-A04N	1.04E+00	7.00E-01	2.45E+00	3.22E+00	1.82E+00
BRCA_TCGA-A2-A04R	1.42E+00	1.36E+00	1.74E+00	7.08E+00	5.77E+00
BRCA_TCGA-A2-A04U	6.99E-01	8.79E-01	8.57E-01	4.41E+00	4.07E+00
BRCA_TCGA-A2-A04W	1.70E+00	7.52E-01	2.77E+00	2.17E+00	2.46E+00
BRCA_TCGA-A2-A0CK	0.00E+00	1.05E+00	8.97E-01	1.02E+00	1.36E+00
BRCA_TCGA-A2-A0CL	4.07E-01	1.21E+00	9.55E-01	1.60E+00	2.01E+00
BRCA_TCGA-A2-A0CR	8.72E-01	9.04E-01	9.43E-01	2.06E+00	2.05E+00
BRCA_TCGA-A2-A0CS	0.00E+00	1.51E+00	1.93E+00	3.65E+00	1.69E+00
BRCA_TCGA-A2-A0CV	1.00E-01	7.75E-01	9.09E-01	1.52E+00	8.79E-01
BRCA_TCGA-A2-A0CW	1.15E+00	1.15E+00	8.44E-01	4.25E+00	4.35E+00
BRCA_TCGA-A2-A0D3	8.14E-01	7.48E-01	6.96E-01	1.45E+00	1.34E+00
BRCA_TCGA-A2-A0EN	0.00E+00	1.35E+00	1.32E+00	3.06E+00	2.23E+00
BRCA_TCGA-A2-A0EP	0.00E+00	3.59E-01	1.17E+00	6.57E-01	6.33E-01
BRCA_TCGA-A2-A0ES	0.00E+00	8.84E-01	9.91E-01	7.31E-01	1.36E+00
BRCA_TCGA-A2-A0EW	6.57E-01	1.28E+00	1.67E+00	1.03E+00	9.07E-01
BRCA_TCGA-A2-A0ST	0.00E+00	7.27E-01	1.19E+00	9.55E-01	1.38E+00
BRCA_TCGA-A2-A0SU	0.00E+00	1.09E+00	1.34E+00	2.44E+00	2.24E+00
BRCA_TCGA-A2-A0SX	1.02E+00	8.33E-01	9.04E-01	8.09E-01	9.75E-01
BRCA_TCGA-A2-A0SY	9.80E-01	1.75E+00	1.76E+00	1.38E+00	2.20E+00
BRCA_TCGA-A2-A0T0	1.15E+00	2.55E+00	2.91E+00	1.02E+01	1.13E+01
BRCA_TCGA-A2-A0T1	8.44E-01	1.25E+00	2.11E+00	1.18E+00	1.59E+00
BRCA_TCGA-A2-A0T3	1.24E+00	1.51E+00	1.00E+00	2.56E+00	2.72E+00
BRCA_TCGA-A2-A0T4	0.00E+00	1.01E+00	1.18E+00	2.41E+00	2.52E+00
BRCA_TCGA-A2-A0T5	0.00E+00	8.17E-01	2.13E-01	1.09E+00	7.46E-01
BRCA_TCGA-A2-A0T6	4.00E-01	1.44E+00	9.75E-01	1.04E+00	1.37E+00
BRCA_TCGA-A2-A0T7	1.00E-01	7.46E-01	7.02E-01	1.22E+00	9.71E-01
BRCA_TCGA-A2-A0YC	0.00E+00	1.13E+00	1.12E+00	1.61E+00	9.89E-01
BRCA_TCGA-A2-A0YD	1.95E+00	1.89E+00	3.67E-01	5.81E-01	1.93E+00
BRCA_TCGA-A2-A0YE	1.05E+00	1.43E+00	3.00E-01	1.99E+00	1.73E+00
BRCA_TCGA-A2-A0YF	1.49E+00	1.53E+00	1.38E+00	2.81E+00	2.03E+00
BRCA_TCGA-A2-A0YG	7.92E-01	1.30E+00	3.54E+00	3.26E+00	2.77E+00
BRCA_TCGA-A2-A0YH	7.02E-01	1.77E+00	1.03E+00	3.25E+00	2.71E+00
BRCA_TCGA-A2-A0YI	1.00E-01	4.82E-01	4.77E-01	1.71E+00	1.64E+00
BRCA_TCGA-A2-A0YJ	5.97E-01	2.08E+00	1.90E+00	5.55E+00	4.46E+00
BRCA_TCGA-A2-A0YK	2.11E+00	9.52E-01	9.64E-01	5.93E-01	1.59E+00
BRCA_TCGA-A2-A0YL	0.00E+00	9.48E-01	7.90E-01	7.63E-01	8.49E-01
BRCA_TCGA-A2-A0YM	2.00E-01	1.80E+00	9.07E-01	2.85E+00	3.55E+00
BRCA_TCGA-A2-A0YT	1.21E+00	2.25E+00	0.00E+00	4.20E+00	3.42E+00
BRCA_TCGA-A2-A1FV	0.00E+00	1.28E+00	1.29E+00	1.45E+00	1.94E+00
BRCA_TCGA-A2-A1FW	1.47E+00	1.91E+00	3.10E+00	4.36E+00	3.86E+00
BRCA_TCGA-A2-A1FX	7.52E-01	7.63E-01	7.22E-01	2.19E+00	2.08E+00
BRCA_TCGA-A2-A1FZ	0.00E+00	1.07E+00	1.28E+00	5.78E-01	8.83E-01
BRCA_TCGA-A2-A1G0	4.01E-01	4.07E-01	1.22E+00	2.25E+00	1.73E+00
BRCA_TCGA-A2-A1G1	6.53E-01	8.75E-01	1.22E+00	2.10E+00	1.89E+00
BRCA_TCGA-A2-A1G6	0.00E+00	4.52E-01	5.39E-01	8.70E-01	6.46E-01
BRCA_TCGA-A2-A259	0.00E+00	8.20E-01	8.94E-01	1.31E+00	1.01E+00
BRCA_TCGA-A2-A25A	9.24E-01	2.08E+00	1.89E+00	2.19E+00	2.50E+00
BRCA_TCGA-A2-A25B	1.39E+00	9.87E-01	2.43E+00	8.39E+00	7.76E+00
BRCA_TCGA-A2-A25C	1.04E+00	6.67E-01	1.55E+00	1.94E+00	1.15E+00
BRCA_TCGA-A2-A25D	1.00E-01	1.68E+00	1.56E+00	3.50E+00	2.72E+00
BRCA_TCGA-A2-A25E	7.57E-01	1.13E+00	1.22E+00	3.60E+00	2.97E+00
BRCA_TCGA-A2-A25F	0.00E+00	0.00E+00	4.23E-01	9.00E-01	6.80E-01
BRCA_TCGA-A2-A3KD	0.00E+00	7.19E-01	1.67E+00	1.33E+00	4.01E-01
BRCA_TCGA-A2-A3XT	6.90E-01	1.30E+00	1.70E+00	7.46E+00	6.30E+00
BRCA_TCGA-A2-A3XU	0.00E+00	1.39E+00	7.34E-01	1.87E+00	1.83E+00
BRCA_TCGA-A2-A3XV	4.23E-01	9.19E-01	1.57E+00	1.94E+00	1.30E+00
BRCA_TCGA-A2-A3XW	6.23E-01	5.97E-01	2.00E-01	9.43E-01	1.08E+00
BRCA_TCGA-A2-A3XX	5.73E-01	1.21E+00	1.05E+00	3.63E+00	3.17E+00
BRCA_TCGA-A2-A3XZ	0.00E+00	1.48E+00	4.58E-01	1.23E+00	2.02E+00
BRCA_TCGA-A2-A3Y0	1.75E+00	1.65E+00	3.26E+00	1.26E+01	1.37E+01
BRCA_TCGA-A2-A4S1	1.25E+00	1.18E+00	1.51E+00	6.27E+00	5.54E+00
BRCA_TCGA-A2-A4S2	0.00E+00	1.31E+00	1.14E+00	1.81E+00	2.41E+00
BRCA_TCGA-A2-A4S3	1.34E+00	1.84E+00	2.88E+00	3.78E+00	3.49E+00
BRCA_TCGA-A7-A0CE	3.14E-01	9.83E-01	1.98E+00	4.47E+00	3.53E+00
BRCA_TCGA-A7-A0CH	1.33E-01	5.17E-01	9.67E-01	2.01E+00	1.01E+00
BRCA_TCGA-A7-A0D9	2.13E-01	3.33E-01	3.06E-01	8.23E-01	7.12E-01
BRCA_TCGA-A7-A0DA	1.69E+00	2.29E+00	5.36E+00	1.59E+01	1.24E+01
BRCA_TCGA-A7-A0DB	8.16E-01	1.10E+00	4.16E-01	2.11E+00	2.01E+00
BRCA_TCGA-A7-A13D	1.04E+00	1.95E+00	1.79E+00	1.10E+01	8.97E+00
BRCA_TCGA-A7-A13E	0.00E+00	1.32E+00	1.65E+00	3.51E+00	2.92E+00
BRCA_TCGA-A7-A13F	1.00E+00	7.95E-01	1.05E+00	1.83E+00	1.58E+00
BRCA_TCGA-A7-A13G	3.14E-01	8.27E-01	1.41E+00	1.80E+00	1.55E+00
BRCA_TCGA-A7-A26E	1.64E+00	9.33E-01	1.09E+00	1.84E+00	1.51E+00
BRCA_TCGA-A7-A26F	9.55E-01	1.67E+00	1.27E+00	1.53E+00	2.27E+00
BRCA_TCGA-A7-A26G	9.55E-01	8.44E-01	2.17E+00	4.14E+00	2.60E+00
BRCA_TCGA-A7-A26H	1.39E+00	1.98E+00	4.00E-01	2.30E+00	3.07E+00
BRCA_TCGA-A7-A26I	7.86E-01	8.67E-01	7.30E-01	2.73E+00	2.48E+00
BRCA_TCGA-A7-A26J	9.10E-01	7.48E-01	7.92E-01	3.51E+00	2.62E+00
BRCA_TCGA-A7-A2KD	8.85E-01	1.41E+00	1.22E+00	2.45E+00	2.25E+00
BRCA_TCGA-A7-A3RF	0.00E+00	7.64E-01	1.35E+00	2.32E+00	1.15E+00
BRCA_TCGA-A7-A425	0.00E+00	7.06E-01	5.93E-01	2.13E+00	1.58E+00
BRCA_TCGA-A7-A4SC	1.60E+00	1.29E+00	2.13E-01	2.86E+00	2.08E+00
BRCA_TCGA-A7-A4SD	0.00E+00	1.67E+00	1.71E+00	2.94E+00	1.83E+00
BRCA_TCGA-A7-A4SE	7.67E-01	1.17E+00	1.56E+00	8.61E+00	8.48E+00
BRCA_TCGA-A7-A56D	1.69E+00	2.49E+00	1.71E+00	5.97E+00	6.08E+00
BRCA_TCGA-A7-A5ZV	1.07E+00	2.21E+00	4.53E+00	1.61E+01	1.26E+01
BRCA_TCGA-A7-A5ZW	8.03E-01	7.60E-01	1.86E+00	1.57E+00	1.32E+00
BRCA_TCGA-A7-A5ZX	1.11E+00	8.14E-01	1.36E+00	1.80E+00	2.07E+00
BRCA_TCGA-A7-A6VV	0.00E+00	1.39E+00	1.80E+00	3.13E+00	1.92E+00
BRCA_TCGA-A7-A6VW	0.00E+00	1.90E+00	2.62E+00	4.89E+00	4.19E+00
BRCA_TCGA-A7-A6VX	8.95E-01	1.08E+00	4.81E+00	1.11E+01	7.98E+00
