Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
BRCA_TCGA-3C-AAAU	1	16	0	9	11	9
BRCA_TCGA-3C-AALI	42	36	0	10	0	720
BRCA_TCGA-3C-AALJ	2	10	4	4	32	14
BRCA_TCGA-3C-AALK	2	12	9	6	20	15
BRCA_TCGA-4H-AAAK	6	10	1	8	7	1
BRCA_TCGA-5L-AAT0	20	14	7	5	14	219
BRCA_TCGA-5L-AAT1	107	29	11	0	0	1839
BRCA_TCGA-5T-A9QA	0	16	12	3	19	3
BRCA_TCGA-A1-A0SB	1	5	0	6	3	1
BRCA_TCGA-A1-A0SD	0	12	1	2	21	4
BRCA_TCGA-A1-A0SE	4	3	3	6	10	10
BRCA_TCGA-A1-A0SF	2	8	3	1	3	47
BRCA_TCGA-A1-A0SG	6	9	0	3	12	5
BRCA_TCGA-A1-A0SH	1	6	10	4	23	94
BRCA_TCGA-A1-A0SI	6	7	0	7	0	258
BRCA_TCGA-A1-A0SJ	0	13	1	1	14	11
BRCA_TCGA-A1-A0SK	3	16	0	0	58	7
BRCA_TCGA-A1-A0SM	8	9	1	5	8	1
BRCA_TCGA-A1-A0SN	8	14	0	3	20	31
BRCA_TCGA-A1-A0SO	29	0	67	0	215	42
BRCA_TCGA-A1-A0SP	0	12	20	3	29	6
BRCA_TCGA-A2-A04N	6	8	12	0	18	9
BRCA_TCGA-A2-A04R	12	4	21	0	52	13
BRCA_TCGA-A2-A04U	3	13	0	2	43	6
BRCA_TCGA-A2-A04W	14	18	0	14	5	136
BRCA_TCGA-A2-A0CK	0	11	4	0	7	5
BRCA_TCGA-A2-A0CL	0	25	0	4	0	171
BRCA_TCGA-A2-A0CR	0	4	0	7	0	199
BRCA_TCGA-A2-A0CS	0	18	2	4	22	2
BRCA_TCGA-A2-A0CV	3	13	0	2	4	2
BRCA_TCGA-A2-A0CW	6	12	0	0	29	37
BRCA_TCGA-A2-A0D3	0	19	1	0	10	2
