Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
BRCA_TCGA-3C-AAAU	0.00E+00	1.63E+00	1.00E-01	1.82E+00	1.89E+00	1.19E+00	1.04E+00	1.28E+00	1.87E+00
BRCA_TCGA-3C-AALI	3.10E+00	2.62E+00	2.38E+00	5.26E-01	1.03E+01	2.11E+00	1.55E+00	1.23E+01	1.17E+01
BRCA_TCGA-3C-AALJ	5.21E-01	1.13E+00	1.49E+00	1.36E+00	4.59E+00	1.00E+00	9.43E-01	1.16E+00	4.08E+00
BRCA_TCGA-3C-AALK	5.73E-01	1.18E+00	1.68E+00	5.00E-01	2.53E+00	1.90E+00	1.01E+00	1.12E+00	2.05E+00
BRCA_TCGA-4H-AAAK	9.83E-01	2.06E+00	1.39E+00	5.47E-01	1.37E+00	2.00E-01	3.67E-01	0.00E+00	1.52E+00
BRCA_TCGA-5L-AAT0	2.67E-01	1.47E+00	0.00E+00	2.29E+00	3.13E+00	1.09E+00	6.70E-01	4.45E+00	4.14E+00
BRCA_TCGA-5L-AAT1	4.67E+00	3.02E+00	3.03E+00	2.70E+00	9.38E+00	4.77E+00	2.00E-01	1.57E+01	1.89E+01
BRCA_TCGA-5T-A9QA	0.00E+00	1.26E+00	1.48E+00	1.26E+00	2.55E+00	2.18E+00	4.99E-01	6.83E-01	1.44E+00
BRCA_TCGA-A1-A0SB	1.00E-01	7.06E-01	7.49E-01	4.27E-01	6.86E-01	0.00E+00	7.12E-01	2.00E-01	7.48E-01
BRCA_TCGA-A1-A0SD	3.00E-01	7.19E-01	4.73E-01	0.00E+00	2.03E+00	1.46E+00	9.75E-01	6.63E-01	2.05E+00
BRCA_TCGA-A1-A0SE	1.34E+00	3.59E-01	7.46E-01	7.15E-01	1.46E+00	1.10E+00	1.33E+00	9.94E-01	8.27E-01
BRCA_TCGA-A1-A0SF	8.59E-01	9.52E-01	4.99E-01	1.13E+00	9.52E-01	6.99E-01	7.06E-01	2.25E+00	7.46E-01
BRCA_TCGA-A1-A0SG	8.83E-01	8.92E-01	1.00E-01	7.12E-01	1.97E+00	8.00E-01	8.95E-01	3.40E-01	1.92E+00
BRCA_TCGA-A1-A0SH	6.70E-01	1.18E+00	1.14E+00	1.57E+00	3.06E+00	1.32E+00	1.07E+00	1.65E+00	2.84E+00
BRCA_TCGA-A1-A0SI	1.37E+00	1.18E+00	1.76E+00	3.79E-01	1.83E+00	1.42E+00	7.18E-01	2.49E+00	1.54E+00
BRCA_TCGA-A1-A0SJ	0.00E+00	1.32E+00	6.80E-01	9.66E-01	2.04E+00	0.00E+00	1.00E-01	1.40E+00	1.81E+00
BRCA_TCGA-A1-A0SK	5.54E-01	1.37E+00	1.39E+00	3.00E-01	5.92E+00	1.00E+00	8.46E-01	9.21E-01	7.43E+00
BRCA_TCGA-A1-A0SM	5.97E-01	8.36E-01	3.00E-01	4.27E-01	1.60E+00	5.22E-01	6.67E-01	0.00E+00	2.00E+00
BRCA_TCGA-A1-A0SN	1.41E+00	1.07E+00	1.00E-01	1.11E+00	3.26E+00	1.70E+00	8.41E-01	1.48E+00	3.30E+00
BRCA_TCGA-A1-A0SO	2.61E+00	3.06E-01	3.13E+00	2.44E+00	3.00E+01	4.43E+00	1.42E+00	2.72E+00	2.94E+01
BRCA_TCGA-A1-A0SP	0.00E+00	1.80E+00	2.28E+00	1.68E+00	3.86E+00	2.60E+00	3.79E-01	9.68E-01	3.39E+00
BRCA_TCGA-A2-A04N	7.27E-01	1.05E+00	2.21E-01	8.95E-01	1.53E+00	1.83E+00	8.06E-01	1.22E+00	2.02E+00
BRCA_TCGA-A2-A04R	7.31E-01	6.71E-01	9.17E-01	1.79E+00	7.19E+00	1.21E+00	2.00E-01	1.52E+00	7.20E+00
BRCA_TCGA-A2-A04U	3.06E-01	9.36E-01	6.05E-01	0.00E+00	5.27E+00	3.65E-01	7.95E-01	1.20E+00	5.46E+00
BRCA_TCGA-A2-A04W	1.20E+00	1.09E+00	1.85E+00	1.56E+00	1.61E+00	1.30E+00	1.19E+00	3.28E+00	2.36E+00
BRCA_TCGA-A2-A0CK	0.00E+00	1.26E+00	0.00E+00	6.00E-01	1.38E+00	1.15E+00	5.04E-01	6.80E-01	7.89E-01
BRCA_TCGA-A2-A0CL	6.00E-01	1.27E+00	9.32E-01	7.61E-01	1.66E+00	1.22E+00	9.45E-01	2.21E+00	1.19E+00
BRCA_TCGA-A2-A0CR	9.04E-01	8.75E-01	3.06E-01	2.21E-01	1.79E+00	1.50E+00	1.37E+00	1.65E+00	2.21E+00
BRCA_TCGA-A2-A0CS	0.00E+00	1.26E+00	1.12E+00	8.49E-01	3.19E+00	7.95E-01	4.00E-01	3.67E-01	3.04E+00
BRCA_TCGA-A2-A0CV	1.00E-01	8.27E-01	1.33E-01	5.26E-01	1.30E+00	5.96E-01	9.94E-01	5.39E-01	1.19E+00
BRCA_TCGA-A2-A0CW	9.83E-01	1.18E+00	0.00E+00	5.00E-01	4.31E+00	1.16E+00	7.18E-01	1.46E+00	4.06E+00
BRCA_TCGA-A2-A0D3	5.47E-01	8.75E-01	4.16E-01	4.73E-01	1.93E+00	6.54E-01	1.33E-01	4.99E-01	1.25E+00
BRCA_TCGA-A2-A0EN	0.00E+00	1.05E+00	3.07E-01	4.47E-01	2.42E+00	8.69E-01	1.02E+00	2.91E-01	2.39E+00
BRCA_TCGA-A2-A0EP	0.00E+00	1.00E-01	0.00E+00	2.21E-01	7.46E-01	8.70E-01	6.33E-01	6.00E-01	3.59E-01
BRCA_TCGA-A2-A0ES	0.00E+00	6.36E-01	4.71E-01	6.01E-01	1.17E+00	1.07E+00	3.00E-01	2.13E-01	1.32E+00
BRCA_TCGA-A2-A0EW	7.19E-01	1.20E+00	1.52E+00	4.00E-01	1.33E+00	5.47E-01	6.50E-01	2.58E-01	1.15E+00
