Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-3C-AAAU	0	9	0	10	3	0	0	0	17	7	0
BRCA_TCGA-3C-AALI	0	38	0	0	84	0	0	0	0	686	0
BRCA_TCGA-3C-AALJ	0	0	0	7	4	15	0	0	31	9	0
BRCA_TCGA-3C-AALK	4	11	9	0	0	13	0	0	15	12	0
BRCA_TCGA-4H-AAAK	0	6	7	3	6	0	0	0	11	0	0
BRCA_TCGA-5L-AAT0	0	0	0	14	37	45	0	0	0	183	0
BRCA_TCGA-5L-AAT1	62	0	0	0	180	128	0	0	0	1616	0
BRCA_TCGA-5T-A9QA	0	15	0	0	0	31	7	0	0	0	0
BRCA_TCGA-A1-A0SB	0	6	5	0	0	0	5	0	0	0	0
BRCA_TCGA-A1-A0SD	0	11	0	0	0	12	0	0	17	0	0
BRCA_TCGA-A1-A0SE	0	0	0	4	5	9	0	0	12	6	0
BRCA_TCGA-A1-A0SF	0	0	0	9	5	11	0	0	0	39	0
BRCA_TCGA-A1-A0SG	0	7	0	0	8	6	0	0	14	0	0
BRCA_TCGA-A1-A0SH	8	0	0	8	0	20	0	0	24	78	0
BRCA_TCGA-A1-A0SI	0	0	0	0	20	0	0	0	0	258	0
BRCA_TCGA-A1-A0SJ	0	9	0	7	0	0	0	0	11	10	3
BRCA_TCGA-A1-A0SK	0	14	0	0	3	12	0	0	55	0	0
BRCA_TCGA-A1-A0SM	0	6	0	0	5	0	6	4	11	0	0
BRCA_TCGA-A1-A0SN	0	9	0	6	9	0	0	0	26	26	0
BRCA_TCGA-A1-A0SO	13	0	0	0	8	55	0	44	203	30	0
BRCA_TCGA-A1-A0SP	0	0	0	13	0	32	0	0	25	0	0
BRCA_TCGA-A2-A04N	0	5	0	0	8	14	0	9	12	5	0
BRCA_TCGA-A2-A04R	0	0	0	7	4	11	0	22	48	10	0
BRCA_TCGA-A2-A04U	0	15	0	0	4	0	0	0	39	4	5
BRCA_TCGA-A2-A04W	0	0	0	14	25	22	0	0	0	126	0
BRCA_TCGA-A2-A0CK	0	11	0	0	0	7	0	4	0	5	0
BRCA_TCGA-A2-A0CL	0	26	0	0	14	0	0	0	0	160	0
BRCA_TCGA-A2-A0CR	0	0	0	0	12	0	0	0	0	198	0
BRCA_TCGA-A2-A0CS	0	13	6	5	0	0	0	0	24	0	0
BRCA_TCGA-A2-A0CV	0	4	0	7	4	0	0	0	9	0	0
BRCA_TCGA-A2-A0CW	4	14	0	0	5	0	0	0	30	31	0
BRCA_TCGA-A2-A0D3	0	18	0	3	0	11	0	0	0	0	0
BRCA_TCGA-A2-A0EN	0	6	0	0	3	12	5	0	13	0	0
BRCA_TCGA-A2-A0EP	0	0	0	0	0	3	3	2	0	6	2
BRCA_TCGA-A2-A0ES	0	0	0	2	1	9	0	0	7	0	0
BRCA_TCGA-A2-A0EW	0	5	7	0	2	6	0	0	0	0	0
BRCA_TCGA-A2-A0ST	0	6	0	0	0	0	4	0	13	5	0
BRCA_TCGA-A2-A0SU	0	0	0	9	0	8	0	0	15	3	0
BRCA_TCGA-A2-A0SX	5	3	0	9	0	0	0	0	14	10	0
BRCA_TCGA-A2-A0SY	0	0	0	0	19	32	0	0	0	126	0
BRCA_TCGA-A2-A0T0	7	6	22	6	4	9	22	9	99	26	7
BRCA_TCGA-A2-A0T1	0	8	0	0	3	0	9	0	9	0	3
BRCA_TCGA-A2-A0T3	4	9	0	0	0	9	0	0	22	0	0
BRCA_TCGA-A2-A0T4	0	6	6	4	0	0	0	0	15	10	0
BRCA_TCGA-A2-A0T5	0	6	0	0	0	0	0	0	5	2	0
BRCA_TCGA-A2-A0T6	0	13	0	2	1	0	0	0	8	4	0
BRCA_TCGA-A2-A0T7	0	8	0	0	3	5	0	0	7	3	3
BRCA_TCGA-A2-A0YC	0	7	4	0	0	0	0	0	14	7	0
BRCA_TCGA-A2-A0YD	0	13	0	0	18	0	0	0	0	56	0
