Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
BRCA_TCGA-3C-AAAU	2.33E-02	2.29E-02	2.60E-03	1.76E-04	9.01E-04
BRCA_TCGA-3C-AALI	2.54E-03	4.56E-03	9.44E-03	6.90E-04	1.21E-03
BRCA_TCGA-3C-AALJ	1.51E-02	2.64E-02	3.58E-03	5.14E-04	1.17E-03
BRCA_TCGA-3C-AALK	3.74E-02	3.95E-02	3.17E-03	1.26E-04	1.23E-03
BRCA_TCGA-4H-AAAK	3.09E-02	3.75E-02	9.12E-04	1.22E-03	3.89E-03
BRCA_TCGA-5L-AAT0	8.34E-03	7.22E-03	8.95E-03	5.67E-04	1.51E-03
BRCA_TCGA-5L-AAT1	0.00E+00	4.89E-04	1.05E-02	5.82E-04	8.20E-04
BRCA_TCGA-5T-A9QA	5.34E-02	5.66E-02	1.52E-03	1.12E-04	0.00E+00
BRCA_TCGA-A1-A0SB	9.02E-02	7.91E-02	1.08E-03	1.04E-03	2.14E-03
BRCA_TCGA-A1-A0SD	8.77E-02	7.10E-02	5.20E-04	1.01E-03	1.26E-03
BRCA_TCGA-A1-A0SE	9.13E-03	8.82E-03	4.82E-03	1.41E-03	3.39E-03
BRCA_TCGA-A1-A0SF	0.00E+00	1.13E-03	9.34E-03	2.18E-04	1.15E-03
BRCA_TCGA-A1-A0SG	5.28E-02	4.67E-02	1.10E-03	7.20E-04	2.97E-03
BRCA_TCGA-A1-A0SH	3.27E-03	1.75E-04	7.95E-03	3.03E-04	3.72E-04
BRCA_TCGA-A1-A0SI	0.00E+00	1.72E-03	1.02E-02	4.74E-04	4.56E-04
BRCA_TCGA-A1-A0SJ	4.59E-03	2.10E-02	5.15E-03	3.77E-04	0.00E+00
BRCA_TCGA-A1-A0SK	4.98E-02	4.98E-02	1.73E-03	2.00E-04	3.93E-04
BRCA_TCGA-A1-A0SM	4.46E-03	1.35E-02	7.39E-04	1.90E-03	5.98E-03
BRCA_TCGA-A1-A0SN	7.92E-03	1.67E-02	5.11E-03	1.03E-03	2.95E-03
BRCA_TCGA-A1-A0SO	1.44E-02	1.59E-02	4.43E-03	1.27E-03	2.11E-03
BRCA_TCGA-A1-A0SP	2.90E-03	2.42E-02	4.02E-03	5.37E-04	0.00E+00
BRCA_TCGA-A2-A04N	2.36E-02	3.42E-02	2.91E-03	1.16E-03	3.28E-03
BRCA_TCGA-A2-A04R	1.21E-02	1.64E-02	4.15E-03	1.23E-03	2.85E-03
BRCA_TCGA-A2-A04U	3.44E-02	4.71E-02	2.51E-03	3.83E-04	8.88E-04
BRCA_TCGA-A2-A04W	2.87E-03	4.86E-03	7.78E-03	8.17E-04	2.10E-03
BRCA_TCGA-A2-A0CK	8.53E-02	6.68E-02	1.00E-03	1.25E-03	0.00E+00
BRCA_TCGA-A2-A0CL	1.72E-02	1.59E-02	8.76E-03	9.52E-05	1.40E-04
BRCA_TCGA-A2-A0CR	8.47E-04	3.02E-03	1.12E-02	1.80E-42	0.00E+00
BRCA_TCGA-A2-A0CS	3.85E-02	4.10E-02	1.32E-03	1.58E-04	2.61E-04
BRCA_TCGA-A2-A0CV	7.86E-03	1.18E-02	1.22E-03	1.13E-03	4.05E-03
BRCA_TCGA-A2-A0CW	3.86E-02	3.36E-02	4.58E-03	1.50E-04	1.11E-03
BRCA_TCGA-A2-A0D3	5.51E-02	5.15E-02	1.79E-05	1.77E-04	1.64E-03
BRCA_TCGA-A2-A0EN	6.75E-02	6.24E-02	1.23E-03	2.51E-04	6.98E-05
BRCA_TCGA-A2-A0EP	2.78E-02	1.96E-02	9.91E-03	1.45E-03	0.00E+00
BRCA_TCGA-A2-A0ES	1.50E-02	3.32E-02	3.26E-03	6.76E-04	1.40E-03
BRCA_TCGA-A2-A0EW	1.61E-02	2.99E-02	2.68E-03	7.05E-04	1.40E-03
BRCA_TCGA-A2-A0ST	7.21E-02	6.06E-02	2.35E-03	1.15E-03	4.25E-86
BRCA_TCGA-A2-A0SU	1.88E-04	1.59E-02	3.50E-03	2.99E-04	0.00E+00
BRCA_TCGA-A2-A0SX	6.43E-03	1.55E-02	5.38E-03	7.50E-04	1.89E-03
BRCA_TCGA-A2-A0SY	1.49E-02	1.37E-02	8.84E-03	4.83E-04	8.80E-04
BRCA_TCGA-A2-A0T0	2.56E-02	9.67E-03	5.10E-03	1.40E-03	2.07E-03
BRCA_TCGA-A2-A0T1	3.59E-02	5.52E-02	2.51E-03	6.59E-04	2.02E-03
BRCA_TCGA-A2-A0T3	1.14E-02	2.11E-02	1.47E-03	1.11E-03	3.87E-03
BRCA_TCGA-A2-A0T4	1.07E-03	1.28E-02	4.70E-03	4.12E-04	0.00E+00
BRCA_TCGA-A2-A0T5	8.48E-02	6.98E-02	9.80E-04	8.51E-04	8.68E-04
BRCA_TCGA-A2-A0T6	8.50E-02	6.69E-02	3.81E-04	9.87E-04	7.62E-04
BRCA_TCGA-A2-A0T7	3.95E-02	5.28E-02	2.51E-03	6.68E-04	3.18E-03
BRCA_TCGA-A2-A0YC	1.63E-02	2.22E-02	3.57E-03	2.25E-04	0.00E+00
BRCA_TCGA-A2-A0YD	3.48E-02	2.80E-02	6.76E-03	9.26E-04	2.67E-03
BRCA_TCGA-A2-A0YE	4.14E-02	3.35E-02	2.72E-03	1.32E-04	1.01E-03
BRCA_TCGA-A2-A0YF	2.10E-03	1.57E-02	2.63E-03	1.48E-03	4.06E-03
BRCA_TCGA-A2-A0YG	2.72E-02	3.57E-02	3.32E-03	3.22E-04	1.21E-03
BRCA_TCGA-A2-A0YH	3.40E-02	2.91E-02	6.16E-03	5.93E-05	1.57E-04
BRCA_TCGA-A2-A0YI	1.46E-02	2.83E-02	3.64E-03	7.12E-04	1.07E-03
BRCA_TCGA-A2-A0YJ	7.55E-03	3.33E-02	3.22E-03	8.86E-04	2.28E-03
BRCA_TCGA-A2-A0YK	0.00E+00	4.62E-143	1.14E-02	0.00E+00	2.25E-04
BRCA_TCGA-A2-A0YL	2.11E-02	1.98E-02	9.00E-03	4.92E-05	0.00E+00
BRCA_TCGA-A2-A0YM	3.23E-02	2.70E-02	4.10E-03	3.83E-05	7.08E-04
BRCA_TCGA-A2-A0YT	3.32E-02	2.57E-02	3.01E-03	5.73E-04	2.46E-03
BRCA_TCGA-A2-A1FV	6.60E-02	5.51E-02	2.65E-03	9.05E-04	0.00E+00
BRCA_TCGA-A2-A1FW	3.04E-02	4.44E-02	2.81E-03	6.81E-04	2.09E-03
BRCA_TCGA-A2-A1FX	1.08E-02	2.12E-02	1.87E-03	1.56E-03	4.55E-03
